epoch,curve_loss,spectral_loss,derivative_loss,weak_loss,active_spectral_weight,active_derivative_weight,active_weak_weight,total_loss,curve_gradient_norm,spectral_gradient_norm,derivative_gradient_norm,weak_gradient_norm,validation_curve_mae_deg
1,0.017483755946159363,3.4768476486206055,0.0,0.0,0.5,0.0,0.0,1.7559075355529785,0.0027540249284356833,5.928849697113037,nan,nan,0.001858772593550384
2,0.017481239512562752,3.473241090774536,0.0,0.0,0.5,0.0,0.0,1.7541017532348633,nan,nan,nan,nan,0.001858603092841804
3,0.017478669062256813,3.4694247245788574,0.0,0.0,0.5,0.0,0.0,1.7521910667419434,nan,nan,nan,nan,0.0018583551282063127
4,0.017476024106144905,3.465310573577881,0.0,0.0,0.5,0.0,0.0,1.750131368637085,nan,nan,nan,nan,0.0018580494215711951
5,0.017473293468356133,3.4608631134033203,0.0,0.0,0.5,0.0,0.0,1.747904896736145,nan,nan,nan,nan,0.0018577015725895762
6,0.0174704622477293,3.456058979034424,0.0,0.0,0.5,0.0,0.0,1.7454999685287476,nan,nan,nan,nan,0.001857336494140327
7,0.017467519268393517,3.450876474380493,0.0,0.0,0.5,0.0,0.0,1.7429057359695435,nan,nan,nan,nan,0.0018569763051345944
8,0.01746445521712303,3.445294141769409,0.0,0.0,0.5,0.0,0.0,1.7401114702224731,0.0026949334423989058,6.011722087860107,nan,nan,0.0018566378857940435
9,0.017461257055401802,3.439291000366211,0.0,0.0,0.5,0.0,0.0,1.7371068000793457,nan,nan,nan,nan,0.001856322051025927
10,0.017457911744713783,3.432847261428833,0.0,0.0,0.5,0.0,0.0,1.7338815927505493,nan,nan,nan,nan,0.0018560194876044989
11,0.01745441183447838,3.4259419441223145,0.0,0.0,0.5,0.0,0.0,1.7304253578186035,nan,nan,nan,nan,0.0018557158764451742
12,0.01745075173676014,3.41855525970459,0.0,0.0,0.5,0.0,0.0,1.7267284393310547,nan,nan,nan,nan,0.001855395850725472
13,0.01744692586362362,3.4106664657592773,0.0,0.0,0.5,0.0,0.0,1.7227801084518433,nan,nan,nan,nan,0.0018550485838204622
14,0.017442932352423668,3.402254104614258,0.0,0.0,0.5,0.0,0.0,1.7185699939727783,nan,nan,nan,nan,0.001854667323641479
15,0.01743876375257969,3.393298625946045,0.0,0.0,0.5,0.0,0.0,1.7140880823135376,nan,nan,nan,nan,0.0018542540492489934
16,0.01743442192673683,3.3837780952453613,0.0,0.0,0.5,0.0,0.0,1.709323525428772,0.0026007951237261295,6.238275527954102,nan,nan,0.0018538146978244185
17,0.017429905012249947,3.3736720085144043,0.0,0.0,0.5,0.0,0.0,1.7042659521102905,nan,nan,nan,nan,0.0018533575348556042
18,0.017425214871764183,3.3629584312438965,0.0,0.0,0.5,0.0,0.0,1.6989043951034546,nan,nan,nan,nan,0.0018528893124312162
19,0.01742035150527954,3.3516151905059814,0.0,0.0,0.5,0.0,0.0,1.693228006362915,nan,nan,nan,nan,0.0018524155020713806
20,0.01741531863808632,3.3396217823028564,0.0,0.0,0.5,0.0,0.0,1.6872261762619019,nan,nan,nan,nan,0.0018519399454817176
21,0.017410119995474815,3.3269550800323486,0.0,0.0,0.5,0.0,0.0,1.6808876991271973,nan,nan,nan,nan,0.0018514649709686637
22,0.017404766753315926,3.313594102859497,0.0,0.0,0.5,0.0,0.0,1.6742018461227417,nan,nan,nan,nan,0.0018509920919314027
23,0.01739925891160965,3.2995145320892334,0.0,0.0,0.5,0.0,0.0,1.6671565771102905,nan,nan,nan,nan,0.0018505216576159
24,0.017393609508872032,3.2846949100494385,0.0,0.0,0.5,0.0,0.0,1.6597410440444946,0.0024310494773089886,6.633691787719727,nan,nan,0.0018500509904697537
25,0.017387831583619118,3.269110918045044,0.0,0.0,0.5,0.0,0.0,1.651943325996399,nan,nan,nan,nan,0.0018495798576623201
26,0.017381932586431503,3.2527382373809814,0.0,0.0,0.5,0.0,0.0,1.6437510251998901,nan,nan,nan,nan,0.0018491072114557028
27,0.017375929281115532,3.235553741455078,0.0,0.0,0.5,0.0,0.0,1.635152816772461,nan,nan,nan,nan,0.0018486337503418326
28,0.0173698328435421,3.217533826828003,0.0,0.0,0.5,0.0,0.0,1.6261367797851562,nan,nan,nan,nan,0.0018481607548892498
29,0.0173636581748724,3.198655605316162,0.0,0.0,0.5,0.0,0.0,1.6166914701461792,nan,nan,nan,nan,0.0018476895056664944
30,0.017357414588332176,3.1788978576660156,0.0,0.0,0.5,0.0,0.0,1.6068063974380493,nan,nan,nan,nan,0.0018472205847501755
31,0.017351118847727776,3.1582412719726562,0.0,0.0,0.5,0.0,0.0,1.5964717864990234,nan,nan,nan,nan,0.0018467530608177185
32,0.017344776540994644,3.136666774749756,0.0,0.0,0.5,0.0,0.0,1.585678219795227,0.0021486328914761543,7.224457263946533,nan,nan,0.001846285187639296
33,0.017338402569293976,3.1141581535339355,0.0,0.0,0.5,0.0,0.0,1.5744174718856812,nan,nan,nan,nan,0.0018458133563399315
34,0.017332011833786964,3.090703010559082,0.0,0.0,0.5,0.0,0.0,1.5626834630966187,nan,nan,nan,nan,0.0018453358206897974
35,0.017325615510344505,3.0662896633148193,0.0,0.0,0.5,0.0,0.0,1.5504704713821411,nan,nan,nan,nan,0.001844853744842112
36,0.01731923781335354,3.040907382965088,0.0,0.0,0.5,0.0,0.0,1.5377728939056396,nan,nan,nan,nan,0.0018443678272888064
37,0.017312899231910706,3.014552354812622,0.0,0.0,0.5,0.0,0.0,1.5245890617370605,nan,nan,nan,nan,0.0018438802799209952
38,0.017306627705693245,2.9872195720672607,0.0,0.0,0.5,0.0,0.0,1.5109164714813232,nan,nan,nan,nan,0.0018433972727507353
39,0.017300456762313843,2.958911180496216,0.0,0.0,0.5,0.0,0.0,1.4967560768127441,nan,nan,nan,nan,0.0018429240444675088
40,0.01729441247880459,2.9296281337738037,0.0,0.0,0.5,0.0,0.0,1.482108473777771,0.0016399897867813706,7.9888997077941895,nan,nan,0.001842463854700327
41,0.017288537696003914,2.899376630783081,0.0,0.0,0.5,0.0,0.0,1.4669768810272217,nan,nan,nan,nan,0.0018420160049572587
42,0.017282864078879356,2.8681657314300537,0.0,0.0,0.5,0.0,0.0,1.4513657093048096,nan,nan,nan,nan,0.0018415865488350391
43,0.0172774288803339,2.836005926132202,0.0,0.0,0.5,0.0,0.0,1.435280442237854,nan,nan,nan,nan,0.001841183751821518
44,0.017272261902689934,2.8029098510742188,0.0,0.0,0.5,0.0,0.0,1.418727159500122,nan,nan,nan,nan,0.0018408180912956595
45,0.017267394810914993,2.768894910812378,0.0,0.0,0.5,0.0,0.0,1.40171480178833,nan,nan,nan,nan,0.0018404924776405096
46,0.017262857407331467,2.7339799404144287,0.0,0.0,0.5,0.0,0.0,1.3842527866363525,nan,nan,nan,nan,0.0018402107525616884
47,0.017258668318390846,2.698187828063965,0.0,0.0,0.5,0.0,0.0,1.3663525581359863,nan,nan,nan,nan,0.0018399714026600122
48,0.017254848033189774,2.6615474224090576,0.0,0.0,0.5,0.0,0.0,1.348028540611267,0.0007955317269079387,8.811738014221191,nan,nan,0.0018397757085040212
