candidate_id,model_kind,order_set_name,spectral_mode,spectral_weight,derivative_weight,weak_weight,failure_weighted,curriculum,matched_control_id,promotion_eligible,random_seed,run_instance_id,validation_curve_mae_deg,mae_deg,rmse_deg,centered_mae_deg,centered_rmse_deg,offset_abs_error_deg,peak_to_peak_abs_error_deg,derivative_mae_deg_per_sample,periodic_closure_error_deg,retained_amplitude_mae_deg,retained_phase_mae_rad,sobolev_derivative_mae,sobolev_derivative_correlation,per_curve_mae_p95,per_curve_mae_worst,unsupported_high_frequency_energy_ratio,correction_to_anchor_rms,checkpoint_path
FI01,coefficient_bounded,core,uniform,0.5,0.1,0.0,True,False,DS01,True,314159,2026-07-29-15-34-13__stage6_fi01,0.001795938704162836,0.0017106383480172348,0.0020171657317862284,0.0013554388016840894,0.0016324603889849923,0.0008622131663353578,0.004702993170490526,0.0009283027628993317,0.0002857980908845196,0.00018050999946030648,0.3101555082367037,0.28110056042103526,0.33834690044245747,0.003928017340173686,0.009222068076571228,3.207132225812634e-10,0.00850127997571937,output/training_runs/spectral_sobolev_guidance/2026-07-29-15-34-13__stage6_fi01/best_model.pt
CU01,coefficient_bounded,core,uniform,0.5,0.1,0.0,False,True,DS01,True,314159,2026-07-29-15-34-13__stage6_cu01,0.0017935240175575018,0.001710744531591635,0.0020175591347546653,0.0013557902653597719,0.0016329727413942772,0.0008620389465449071,0.004703512598854306,0.0009284686257893471,0.0002861433703279526,0.00018076336319012586,0.31087919157541544,0.281147713307211,0.3386319767263698,0.003928033148046786,0.0092225437927258,3.22537633738966e-10,0.008715583015980894,output/training_runs/spectral_sobolev_guidance/2026-07-29-15-34-13__stage6_cu01/best_model.pt
DS01,coefficient_bounded,core,uniform,0.5,0.1,0.0,False,False,C02,True,314159,2026-07-29-15-34-11__stage6_ds01,0.00179716432467103,0.0017116462035502253,0.002018229891373481,0.0013554703020605353,0.001632512710998954,0.0008636500961939372,0.004702398276194411,0.0009283089463954456,0.00028558469319850513,0.00018057473127491315,0.31010541301038713,0.28110266591365357,0.3383085958270631,0.0039282939499143315,0.009220915768611955,3.2109484767014496e-10,0.008487400826239633,output/training_runs/spectral_sobolev_guidance/2026-07-29-15-34-11__stage6_ds01/best_model.pt
C02,coefficient_bounded,core,uniform,0.5,0.0,0.0,False,False,C01,False,314159,2026-07-29-15-34-07__stage6_c02,0.0017967164749279618,0.0017121207337379052,0.0020187938079061574,0.0013558479751408082,0.0016329484997795205,0.0008639039488651495,0.004701849775204281,0.0009284513633985064,0.000285591559302177,0.0001807575149407391,0.30945169929824834,0.28115223303802145,0.3379650706043583,0.003928051633786635,0.009224418762034399,3.2147360537991497e-10,0.008512751770162068,output/training_runs/spectral_sobolev_guidance/2026-07-29-15-34-07__stage6_c02/best_model.pt
D01,coefficient_bounded,core,none,0.0,0.1,0.0,False,False,C01,True,314159,2026-07-29-15-34-09__stage6_d01,0.0018021087162196636,0.0017152006464327132,0.0020217812572180765,0.0013546427057104652,0.0016316714914788128,0.0008690268230437293,0.004706975121769035,0.0009281961550920227,0.0002868180811289967,0.00017947789837830254,0.31270463988236913,0.2810336318656481,0.3398775121424409,0.003930744481258976,0.009211066562163757,3.22319778843249e-10,0.007933049935763428,output/training_runs/spectral_sobolev_guidance/2026-07-29-15-34-09__stage6_d01/best_model.pt
C01,coefficient_bounded,core,none,0.0,0.0,0.0,False,False,,False,314159,2026-07-29-15-34-06__stage6_c01,0.001793788163922727,0.0017177944618268475,0.0020255855215915706,0.0013578707820545999,0.0016357502701629238,0.0008696619995022963,0.0047049392698234535,0.0009295282026798955,0.00028746516549402906,0.00018116032519318264,0.31194466475431304,0.28146661850921273,0.33864362950130117,0.003928438997670014,0.009218008232944056,3.2142736477194356e-10,0.008395253678185756,output/training_runs/spectral_sobolev_guidance/2026-07-29-15-34-06__stage6_c01/best_model.pt
W01,coefficient_bounded,core,none,0.0,0.0,0.25,False,False,C01,True,314159,2026-07-29-15-34-16__stage6_w01,0.0018125366186723113,0.0017293864087145926,0.0020355952926888166,0.0013557055844463505,0.001633576576345178,0.000881688230230406,0.004749071555027584,0.0009278438122330787,0.0002813712374508842,0.00018118423908469568,0.3150304326715878,0.280855354843466,0.34116579447383255,0.003947316051584102,0.009230160859402934,3.0861696956969507e-10,0.007025301747947846,output/training_runs/spectral_sobolev_guidance/2026-07-29-15-34-16__stage6_w01/best_model.pt
DS02,coefficient_bounded,data_selected,fragile,0.5,0.1,0.0,False,False,C04,True,314159,2026-07-29-15-34-12__stage6_ds02,0.0018396519590169191,0.0017866261401894323,0.0020936878063943843,0.0013608320159219243,0.0016369837664636678,0.0009679978784557494,0.004007782640996659,0.0009349463296552603,0.0005358848168716295,0.00019196772506713738,0.3344954786415895,0.2836789216404469,0.34177263247063117,0.0038822989193554053,0.009464134878639395,3.9593327768982587e-10,0.005458707559446968,output/training_runs/spectral_sobolev_guidance/2026-07-29-15-34-12__stage6_ds02/best_model.pt
S02,coefficient_bounded,data_selected,fragile,0.5,0.0,0.0,False,False,C04,True,314159,2026-07-29-15-34-10__stage6_s02,0.0018397757085040212,0.0017866587490469575,0.002093799910197034,0.0013610746334069858,0.001637285853713143,0.0009679138097911789,0.004003562463164322,0.0009350397419238589,0.0005370721355387845,0.00019198714394202067,0.33477537173207045,0.28371624622004493,0.34158885494906627,0.003882406540591062,0.009464959142773675,3.947158939858775e-10,0.005484867273565576,output/training_runs/spectral_sobolev_guidance/2026-07-29-15-34-10__stage6_s02/best_model.pt
SI00,coordinate_tanh,core,uniform,0.5,0.1,0.0,False,False,,False,314159,2026-07-29-15-34-15__stage6_si00,0.0018555955030024052,0.0018049394363906107,0.0021176143882734363,0.0013822054426849983,0.0016654590627576424,0.0009678836942929895,0.004728348610008442,0.0009373032588587553,0.00031910071235879793,0.00019426842740518475,0.3372992313079339,0.2842870593017885,0.32453254635361545,0.003948593337681413,0.009460556877392421,0.00026476516754357784,0.0010243755091461125,output/training_runs/spectral_sobolev_guidance/2026-07-29-15-34-15__stage6_si00/best_model.pt
FF01,coordinate_fourier,core,uniform,0.5,0.1,0.0,False,False,FF00,True,314159,2026-07-29-15-34-14__stage6_ff01,0.0018554613925516605,0.001805534301401251,0.002118803894092548,0.0013818500361360642,0.0016652012962809553,0.0009718953518812502,0.004708304551139877,0.000937333752570213,0.0002989300608289303,0.00019482186432437867,0.3339285288319646,0.2842875161801017,0.32502508864586954,0.003951562065555981,0.009457794161476057,7.739647973199292e-05,0.0006184973981104567,output/training_runs/spectral_sobolev_guidance/2026-07-29-15-34-14__stage6_ff01/best_model.pt
