filtered_row_index,rpm,deg,tor,fft_y_Bw_filtered_ampl_0,fft_y_Bw_filtered_phase_0,fft_y_Bw_filtered_ampl_1,fft_y_Bw_filtered_phase_1,fft_y_Bw_filtered_ampl_3,fft_y_Bw_filtered_phase_3,fft_y_Bw_filtered_ampl_39,fft_y_Bw_filtered_phase_39,fft_y_Bw_filtered_ampl_40,fft_y_Bw_filtered_phase_40,fft_y_Bw_filtered_ampl_78,fft_y_Bw_filtered_phase_78,fft_y_Bw_filtered_ampl_81,fft_y_Bw_filtered_phase_81,fft_y_Bw_filtered_ampl_156,fft_y_Bw_filtered_phase_156,fft_y_Bw_filtered_ampl_162,fft_y_Bw_filtered_phase_162,fft_y_Bw_filtered_ampl_240,fft_y_Bw_filtered_phase_240
0,1000.0,25.0,100.0,0.0066444859564927595,0.0,0.017249028024136935,0.009527783385143157,0.0007945367564529283,1.7119261051261918,0.0005610362364486008,-1.4825344805832874,0.00045402621850043325,0.27507983621997134,0.0002179177077813923,-0.39603085815017935,0.00015385550573665657,0.005473796314508276,0.00025884190270364035,1.1318544336809653,0.0001261289021445195,1.7856102403455618,0.00032075292721883177,2.6969092415105576
1,1000.0,25.0,1000.0,0.01858206554585909,0.0,0.017115993390595833,0.010042698364406945,0.0009660704646126091,1.3056018567723784,0.0003520029100671223,-2.7812764227982587,0.0003155072458279816,0.34770943742227356,0.0011409195461101432,0.23773224082048044,0.00012356710741305227,0.7229071148439394,0.0005281389037179655,1.0265300751430628,0.00025511921801576803,1.6367116252279879,0.0010158373616471089,1.8027388638550352
2,1000.0,25.0,1100.0,0.02851724639650667,0.0,0.01713525358194093,0.00874492130474717,0.0009593822616325454,1.2582713957547405,0.0003945071136896379,-2.98955017368181,0.00026692801270517187,0.4998002568410233,0.0012579995961225334,0.2413603849671267,0.00010851025098355688,0.6455828872684588,0.0005785706121796933,1.0306542893030533,0.00028958182104464256,1.5509205917543827,0.0011588827477591573,1.7947096927523312
3,1000.0,25.0,1200.0,0.032700352270845605,0.0,0.017100576880853244,0.010592055251782244,0.0010050362370171227,1.2362197019474828,0.00038215189580802624,-3.053267793254009,0.0003115370700138143,0.30581493049160896,0.0013932420476810827,0.2500647239965614,0.00012080636045818086,0.6845475471960406,0.0006242409520918773,1.0664631802875097,0.00031968077172039123,1.5327013571997863,0.0012931255210286955,1.7434900500326007
4,1000.0,25.0,1300.0,0.035953148793252065,0.0,0.017102819449000134,0.009539473833505872,0.0010047098645996227,1.2082617418481485,0.00043746811799323426,3.065296678424616,0.0002643101083316798,0.2585301069441629,0.0015542477660864845,0.2661673121857242,0.00012185038286371815,0.7842269524025383,0.0007017250454785503,1.085671448020057,0.0003469289552526965,1.506759300228136,0.001469296942021639,1.7040651351024951
5,1000.0,25.0,1400.0,0.04013845629765561,0.0,0.01709499599404748,0.012823285082366851,0.0010533649477820406,1.164033184383498,0.0004742018222556993,2.9663223112315618,0.00026775477093282353,0.3439101786864269,0.0016824230934100132,0.25843765831423005,0.00011439269691522765,0.8133344939402788,0.0007188533858321937,1.0929738332883094,0.0003921759498119647,1.5208919093569748,0.0016539687374296254,1.7074440321081403
6,1000.0,25.0,1500.0,0.04376518207389119,0.0,0.01718010763259849,0.012330996806878014,0.001043709731374535,1.0965187553021967,0.00039861804329923616,3.0173354369298617,0.0004483689089636042,0.4998450482681916,0.0018526996641014648,0.2702507699301195,0.00012399350260219495,0.7625203162109966,0.0007146573389356135,1.0915156983674081,0.00036523615618886535,1.575992979720347,0.0017280309321003366,1.7128911108845548
7,1000.0,25.0,1600.0,0.04718467957798614,0.0,0.01708217780667064,0.009665648149200403,0.0010622110522138732,1.0950129363050125,0.0005554142599997992,2.849984915955544,0.0002337571210950279,0.22102166106834067,0.00202030306371443,0.2911009517999412,0.0001173834821436884,0.7385342549245147,0.0006709571458681822,1.028159189346103,0.0003692163246138403,1.4752377259424443,0.0018694414818017598,1.6688781780892679
8,1000.0,25.0,1700.0,0.05067824056137845,0.0,0.017115772306726253,0.016324304998105606,0.0011224131371406123,1.0596329583620367,0.0006182960254855274,2.7851830344421105,0.00017426447720766996,0.36604838367296144,0.0021452781964619236,0.2860266365743572,0.0001128072844980702,0.6430607113130802,0.0006873755142300368,1.0405733140123983,0.0004064719569173525,1.4463520458388943,0.0020348657733006417,1.6757475410889007
9,1000.0,25.0,1800.0,0.054494784979830506,0.0,0.01708719549010866,0.013839954799146443,0.0011450978739029872,1.0284212540118471,0.0006815431721627423,2.7384874557684005,0.0002273908649727156,0.4508381564302613,0.002307960304073548,0.28892897549723223,0.00010357703883041027,0.6949746392459166,0.000680943945683497,1.0213651043506762,0.00043174997307843097,1.4715981587349458,0.002180426024885023,1.6894157271411927
