epoch,training_loss,validation_loss
1,0.0018313087896595513,0.001865472411736846
2,0.0018263392524014031,0.0018644321244210005
3,0.0018137934858650836,0.001863859361037612
4,0.0018766055988191173,0.0018635812448337674
5,0.0018151406074202684,0.0018634729785844684
6,0.0018440040321154303,0.0018634095322340727
7,0.0018313439064767472,0.0018635268788784742
8,0.001825334596296036,0.0018634845037013292
9,0.0018236910095871535,0.001863471232354641
10,0.0018231880615551977,0.0018634863663464785
11,0.0018396391776975157,0.0018635464366525412
12,0.0018626079558892999,0.0018635850865393877
13,0.0018134301590603278,0.0018636902095749974
14,0.0018551419001765722,0.0018638009205460548
15,0.0018159561806769912,0.001863836427219212
16,0.0018124293487215804,0.0018640091875568032
17,0.001814904683648587,0.0018639046465978026
18,0.0018373722356722453,0.0018639671616256237
19,0.0018119537515219213,0.001863997895270586
20,0.0018401881436232565,0.0018641885835677385
21,0.0018356736657361304,0.0018645600648596883
22,0.0018236700412925593,0.0018641740316525102
23,0.0018285213790963902,0.0018641954520717263
24,0.0018177912895416105,0.001864187535829842
25,0.001832964204706598,0.001864330261014402
26,0.001904411287436825,0.0018643233925104141
27,0.0018393706400380578,0.0018644309602677822
28,0.001825174898840487,0.0018644178053364158
29,0.0018154814065065841,0.0018645008094608784
30,0.001814030496630991,0.001864332938566804
31,0.001819700802687209,0.0018644703086465597
32,0.0018203055112471069,0.001864420366473496
33,0.0018397265108475505,0.0018645096570253372
34,0.001824612870032704,0.0018644722877070308
35,0.001823298210754644,0.0018645903328433633
36,0.0018173064440921989,0.0018646095413714647
37,0.0018380837471679199,0.0018645114032551646
38,0.0018321617186979153,0.001864555524662137
39,0.0018144580170100684,0.00186441489495337
40,0.0018249467627123692,0.0018644732190296054
