candidate_id,queue_index,formulation,order_set_name,capacity_name,random_seed,run_instance_id,run_directory,best_epoch,validation_curve_mae_deg,mae_deg,rmse_deg,centered_mae_deg,centered_rmse_deg,offset_abs_error_deg,peak_to_peak_abs_error_deg,derivative_mae_deg_per_sample,periodic_closure_error_deg,retained_amplitude_mae_deg,retained_phase_mae_rad,correction_to_anchor_rms,status
H04,12,bounded_coefficient,core,deep,161803,2026-07-28-16-19-56__stage5_h04__seed_161803,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-28-16-19-56__stage5_h04__seed_161803,10,0.0018580631585791707,0.0018051146880514754,0.0021183666262235266,0.0013810328022032471,0.0016640876159732954,0.0009714322829351296,0.004721740559499844,0.0009368841467748868,0.0002928727232015778,0.00019416092932156442,0.3323747623051655,0.0006661876101450926,completed
C04,4,direct_coefficient,core,deep,161803,2026-07-28-16-19-56__stage5_c04__seed_161803,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-28-16-19-56__stage5_c04__seed_161803,43,0.00442397641018033,0.00430225648093131,0.004643000514634737,0.0014796584060300629,0.0017870386168320092,0.0039487501181606766,0.00505121939772538,0.0009313400007067023,0.000290383650205991,0.00028311534590628535,0.4651894816338983,nan,completed
H04,12,bounded_coefficient,core,deep,271828,2026-07-28-16-19-56__stage5_h04__seed_271828,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-28-16-19-56__stage5_h04__seed_271828,48,0.0018104652408510447,0.0017162401677233063,0.0020251594581685707,0.0013588807902670027,0.001637388157436412,0.0008703450842404532,0.004694262549423007,0.0009290391735421951,0.00029682095124165423,0.0001828695790504709,0.3325600174681138,0.007780772650747347,completed
C04,4,direct_coefficient,core,deep,271828,2026-07-28-16-19-55__stage5_c04__seed_271828,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-28-16-19-55__stage5_c04__seed_271828,48,0.003595595946535468,0.0031822183314271246,0.0035314812412948486,0.00154064913543631,0.0018599673628270363,0.002526127824772589,0.004697823078143563,0.0009413467677048487,0.0003520503793795084,0.00032807914652329323,0.5611117768727263,nan,completed
