surface,candidate_id,raw_mae_deg,raw_rmse_deg,mean_percentage_error_pct,p95_mean_percentage_error_pct,absolute_offset_error_deg,centered_shape_mae_deg,peak_to_peak_error_pct,closure_mismatch_deg,harmonic_amplitude_error_pct,harmonic_phase_error_deg,deployment_penalty,shape_harmonic_fidelity_score,raw_operating_error_score,offset_continuity_score,robustness_score,deployment_readiness_score,composite_score,veto_reason,rank
Fw,wave52r_integrated_a02_seed_314159,0.0014004494036549595,0.0016583754158252973,2.8558796341291033,7.462640787746469,0.0006092268041237113,0.0011479690721649485,6.057600123711341,0.0008768041237113402,4.750917329896907,3.272573845360825,0.2,0.3125,0.25,0.35416666666666663,0.625,0.2,0.34395833333333337,,1
Fw,wave52r_integrated_a04_seed_161803,0.0013982512725409773,0.00165512167137046,2.8475111347200994,7.308591963843361,0.0006092268041237113,0.0011464948453608248,6.167653969072164,0.0008769896907216496,5.535868360824742,3.0083643608247423,1.0,0.3125,0.0,0.47916666666666663,0.375,1.0,0.3614583333333333,campaign_branch_gate_failed,2
Fw,wave52r_integrated_a05_seed_161803,0.0014000554475976886,0.0016576263078124226,2.851599288358634,7.27783834619324,0.0006092268041237113,0.0011496288659793815,6.0515000206185565,0.0008780927835051547,5.661869288659794,3.019331670103093,1.0,0.3125,0.125,0.6041666666666666,0.25,1.0,0.3927083333333333,campaign_branch_gate_failed,3
Fw,wave52r_integrated_a06_seed_271828,0.0014038171733464183,0.0016623661404559721,2.8583887001372963,7.229681840722115,0.0006092164948453609,0.0011534845360824742,6.061699773195876,0.0008768659793814434,5.119919701030928,3.1517752577319587,1.0,0.5625,0.5833333333333334,0.25,0.125,1.0,0.4822916666666667,campaign_branch_gate_failed,4
Fw,wave52r_promotion_k01_global_seed_271828,0.001404833168904203,0.0016637991057326768,2.8629605328225365,7.512886569530812,0.0006092577319587629,0.0011534123711340206,5.988520453608247,0.000876041237113402,5.0958258453608245,3.1200345051546394,0.0,0.3125,0.7916666666666666,0.4583333333333333,0.875,0.0,0.490625,,5
Fw,wave52r_integrated_a07_seed_314159,0.0014034457984614193,0.0016609554587414255,2.8577017994368172,7.196575052892122,0.0006092268041237113,0.0011512268041237114,6.33138349484536,0.0008782061855670103,5.28174730927835,3.0601561649484537,1.0,0.53125,0.4166666666666667,0.6666666666666666,0.0,1.0,0.5026041666666666,campaign_branch_gate_failed,6
Fw,wave52r_integrated_a03_seed_161803,0.0014026604334572217,0.0016616782732826693,2.8617394426566682,7.46248884822154,0.0006092268041237113,0.0011511030927835052,6.058886216494845,0.0008771340206185568,6.24728718556701,3.120342804123711,1.0,0.59375,0.5,0.5416666666666666,0.5,1.0,0.5911458333333334,campaign_branch_gate_failed,7
Fw,wave52r_integrated_a07_seed_161803,0.001404885550283128,0.001663986140638818,2.8622648300255906,7.4906588267124805,0.0006092268041237113,0.0011540309278350515,6.180217979381443,0.0008752061855670103,5.372078185567011,3.0333672164948453,1.0,0.59375,0.8333333333333334,0.22916666666666666,0.75,1.0,0.6328125,campaign_branch_gate_failed,8
Fw,wave52r_promotion_h08_fw_seed_161803,0.0016877216942413089,0.001984632909081134,3.4772609626812065,7.595649767742147,0.000861659793814433,0.0013196082474226805,7.958770092783506,0.0008716185567010309,5.931030030927835,4.713398876288659,0.15,0.96875,1.0,0.5,1.0,0.15,0.8040625,frozen_h08_raw_and_offset_regression_vs_k01,9
Bw,wave52r_integrated_a07_seed_161803,0.001521262176211848,0.0018088014195654432,2.9177805637997327,6.645493554933439,0.0005454639175257732,0.0012935257731958763,6.92596550515464,0.0008636804123711341,4.898997773195877,2.5967810103092783,1.0,0.625,0.42857142857142855,0.0,0.0,1.0,0.4044642857142857,campaign_branch_gate_failed,1
