epoch,chunk_length,training_total_loss,training_raw_mae_deg,training_mean_mae_deg,training_shape_mae_deg,validation_score,validation_curve_mae_deg
1,33,0.002881030419429894,0.0020360370047477097,0.0008360322078874032,0.0017077659681807597,0.002769690938293934,0.0019767347257584333
2,33,0.0028629380110434667,0.0020220598292558694,0.0008370249686481128,0.0016892612871150811,0.0027472965884953737,0.0019589022267609835
3,33,0.0028407427152012323,0.002007969736316523,0.000830765041322339,0.0016693245933586081,0.0027336229104548693,0.001941537018865347
4,33,0.0028402871062415975,0.0020050041751156367,0.0008366749565073744,0.0016675537660566354,0.0027236121241003275,0.0019389381632208824
5,33,0.0028603244220924587,0.0020235635253579116,0.0008317660073327377,0.001683258823779693,0.002705486724153161,0.0019294142257422209
6,33,0.0029080905139359623,0.0020615091590687287,0.0008304585339934673,0.0017251320194106461,0.0026741428300738335,0.001903854077681899
7,33,0.0028629940826185914,0.0020306377541707003,0.0008184442778529469,0.0016922259738473872,0.0026869827415794134,0.0019088680855929852
8,33,0.0028182416694065514,0.0019888850687028365,0.0008463355161650323,0.0016244349941654608,0.0026408028788864613,0.001882606535218656
9,33,0.0027796005272458114,0.001965217452041458,0.0008230236119341625,0.0016111288528326293,0.0026071600150316954,0.0018554024863988161
10,33,0.002761440838925367,0.0019508974401951703,0.0008218477075367213,0.0015980872612576498,0.0026167004834860563,0.0018654013983905315
11,33,0.0027746142505473176,0.0019678421870826983,0.0008011595332496908,0.0016243958095803338,0.002594951307401061,0.0018462640000507236
12,33,0.002748247994066671,0.0019448520277280273,0.0008075516650637309,0.0015981420617399002,0.002593336161226034,0.0018533931579440832
13,33,0.0027258379038336664,0.001933355865794299,0.0007890955907790813,0.001591349289979959,0.0025768219493329525,0.0018438391853123903
14,33,0.0027141659168613166,0.0019294284013381532,0.0007709722524660445,0.0015966159448590736,0.002561582950875163,0.0018338666995987296
15,33,0.0027223057925787777,0.0019327565773151988,0.0007828102970961481,0.0015921881043373845,0.0025574571918696165,0.001831128029152751
16,33,0.002697468421227017,0.0019173952209395031,0.0007689956739425746,0.001581910121806919,0.002541068010032177,0.001821529003791511
17,33,0.0026802405942404684,0.0019056498422287405,0.0007588768927488735,0.0015802225937287127,0.002533914986997843,0.0018190068658441305
18,33,0.0026734843173302535,0.0019035106524825096,0.0007499230566683637,0.0015796727844687223,0.0025216718204319477,0.0018130445387214422
19,33,0.0026556223652563814,0.0018956884850076464,0.0007307773921638727,0.0015777811519043564,0.002527709351852536,0.001813330571167171
20,33,0.002745003249972712,0.0019615125818026446,0.0007401257597700541,0.0016532836963834112,0.002579164458438754,0.0018532790709286928
21,33,0.002663518245288626,0.001897349559734467,0.0007412753441522634,0.0015817696626601351,0.002525376621633768,0.001819946919567883
22,33,0.0026426273533467983,0.0018883783960455033,0.0007196405650722946,0.0015773096346556274,0.0024832976050674915,0.0017947989981621504
23,33,0.0026777138213388797,0.0019056377120229395,0.000750550594137505,0.0015867897146922905,0.002512499690055847,0.001812018221244216
24,33,0.002762419661658621,0.0019825300131382983,0.0007197482309704863,0.0016796567117210565,0.0024940376169979572,0.0017987341852858663
25,33,0.0026090194898939064,0.0018635095546541865,0.000711761198418085,0.0015581232511849945,0.0024871686473488808,0.0017971369670704007
26,33,0.0026929622792184007,0.0019272527668278577,0.000723645394278127,0.0016151497893165364,0.00249268114566803,0.0017992189386859536
27,33,0.002694661239010477,0.0019330298622831875,0.0007099561436578284,0.0016261994105027338,0.0024782426189631224,0.0017894507618620992
28,33,0.002631997272675467,0.0018784885733323388,0.0007203836278275175,0.0015728829095551615,0.0024863306898623705,0.0017931394977495074
29,33,0.0025784685804378675,0.0018428446614010216,0.0006988050661802422,0.0015444631531271477,0.002464112127199769,0.0017852871678769588
30,33,0.0025776756283025755,0.001843843434471637,0.0006982961894272891,0.0015383233745354986,0.0024505166802555323,0.0017727226950228214
31,33,0.0025687135179353836,0.0018369993601037667,0.0006953626356715726,0.0015357252126451321,0.0024262487422674894,0.0017630398506298661
32,33,0.0025679857421363164,0.0018369101643085826,0.0006946823431103123,0.0015345099422712485,0.002458237810060382,0.0017795737367123365
33,33,0.0025967915250031753,0.0018611273777043057,0.0006916894561199602,0.0015588532118018456,0.0024362190160900354,0.001765373395755887
34,33,0.002597247997602058,0.0018617555764395483,0.0006871421619719111,0.0015672550301154165,0.00242253253236413,0.001756363664753735
35,33,0.002546901148635634,0.001822325687985434,0.0006871780605315295,0.001523472460766518,0.002421909011900425,0.0017571270000189543
36,33,0.002609623604194196,0.0018765982957881723,0.0006720237048115408,0.001587626659636234,0.002385916654020548,0.001730241347104311
37,33,0.0026681352025006225,0.001921108436532492,0.0006795828772145648,0.0016284916336041723,0.0024100011214613914,0.0017425704281777143
38,33,0.002546099978390821,0.0018209107897006148,0.0006858783964944873,0.001528555220047142,0.0024018920958042145,0.0017381334910169244
39,33,0.0025529653933115824,0.0018259631348015784,0.000690124714395118,0.0015273300015779083,0.0023909646552056074,0.0017264008056372404
40,33,0.0025589039094399573,0.0018320245448998067,0.0006829538845543772,0.0015411666867886345,0.0023684522602707148,0.0017095583025366068
41,33,0.0024956246556410958,0.0017861018043964407,0.0006709503711114616,0.0014957449734644141,0.002334355842322111,0.0016890271799638867
42,33,0.0025113960213655998,0.001797793230020203,0.000675291562084715,0.0015033443396109654,0.002426330465823412,0.0017594139790162444
43,33,0.0025444626483286537,0.0018174393024014005,0.0006963153698665718,0.0015149981915127746,0.002332011004909873,0.0016800364246591926
44,33,0.0024448276150885015,0.0017428112901249077,0.0006738669167240259,0.0014597996839235516,0.002433296525850892,0.001759125618264079
45,33,0.002444239639200617,0.0017440116972402605,0.0006713961869705641,0.0014575387399946881,0.0022174057085067034,0.001592632383108139
46,33,0.0024235670963778746,0.001720469815894788,0.0006921460552866635,0.00142744567034073,0.002228237222880125,0.0016058147884905338
47,33,0.0024944025357145558,0.0017833393947004753,0.0006719382200931567,0.0014997470208855217,0.002164506120607257,0.0015509708318859339
48,33,0.0023929643888719555,0.0017004081313390024,0.0006792374438508739,0.0014110465377006073,0.0022008270025253296,0.0015622368082404137
