candidate_id,formulation,random_seed,run_instance_id,best_epoch,best_validation_mae_deg,checkpoint_path,mae_deg,rmse_deg,centered_mae_deg,centered_rmse_deg,offset_abs_error_deg,peak_to_peak_abs_error_deg,derivative_mae_deg_per_sample,periodic_closure_error_deg,retained_amplitude_mae_deg,retained_phase_mae_rad,sobolev_derivative_mae,sobolev_derivative_correlation,per_curve_mae_p95,per_curve_mae_worst,unsupported_high_frequency_energy_ratio,mean_mae_deg,centered_shape_mae_deg,compliance_derivative_mean_deg_per_nm,compliance_derivative_min_deg_per_nm,compliance_derivative_max_deg_per_nm,compliance_negative_fraction,effective_stiffness_nm_per_deg
C00,data_only,314159,2026-07-29-18-19-22__stage8_c00,64,0.001788234687410295,output/training_runs/weak_forward_compliance_priors/2026-07-29-18-19-22__stage8_c00/best_model.pt,0.001716861714907553,0.0020244654806581943,0.0013576918475080274,0.0016354706875952578,0.0008680606344420926,0.00470522100930417,0.0009293949557877353,0.0002868154971889153,0.000180981405271729,0.31118386487354,0.28143481071855325,0.3385579006557592,0.003927105775574544,0.009202022302867489,3.206639827606581e-10,0.0008680606344420926,0.001357691847508027,9.981975068740212e-08,-1.0676247939045425e-06,1.0631057421051082e-06,0.3711340206185567,28164.361328125
N01,shuffled_interval,314159,2026-07-29-18-19-30__stage8_n01,64,0.001788234687410295,output/training_runs/weak_forward_compliance_priors/2026-07-29-18-19-30__stage8_n01/best_model.pt,0.001716861714907553,0.0020244654806581943,0.0013576918475080274,0.0016354706875952578,0.0008680606344420926,0.00470522100930417,0.0009293949557877353,0.0002868154971889153,0.000180981405271729,0.31118386487354,0.28143481071855325,0.3385579006557592,0.003927105775574544,0.009202022302867489,3.206639827606581e-10,0.0008680606344420926,0.001357691847508027,9.981975068740212e-08,-1.0676247939045425e-06,1.0631057421051082e-06,0.3711340206185567,28164.361328125
S01,sign_only,314159,2026-07-29-18-19-25__stage8_s01,64,0.0017904704436659813,output/training_runs/weak_forward_compliance_priors/2026-07-29-18-19-25__stage8_s01/best_model.pt,0.0017195961127823036,0.002027075181762157,0.0013576744200799675,0.0016354391300616468,0.0008710072029799323,0.004704775433860431,0.00092944385756728,0.00028714095962416265,0.0001805995326149234,0.31137915327085364,0.2814476651463683,0.3384980956299095,0.003926874286799373,0.009201855277803487,3.219731225961762e-10,0.0008710072029799323,0.0013576744200799675,1.0927280413852714e-07,-9.759652357388404e-07,9.956995654647471e-07,0.3711340206185567,28164.361328125
A01,delayed_interval,314159,2026-07-29-18-19-28__stage8_a01,16,0.0018087223870679736,output/training_runs/weak_forward_compliance_priors/2026-07-29-18-19-28__stage8_a01/best_model.pt,0.001722414173428554,0.00202993663433689,0.0013560846867289326,0.0016335591039586012,0.0008790264564321982,0.004712461283821977,0.0009287819583065795,0.0002888338472310108,0.00018124920178214275,0.3118758555418152,0.2811911184776139,0.340553466273805,0.0039320700031281125,0.009265929430696877,3.2115641392509194e-10,0.0008790264564321982,0.0013560846867289326,2.0690125168698614e-08,-7.281332159436715e-07,7.928182981231657e-07,0.44329896907216493,28164.361328125
D00,frozen_diagnostic,314159,frozen_stage5_h04,0,nan,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-28-16-17-13__stage5_h04/best_model.pt,0.0017258842837573713,0.0020333838785798622,0.0013555281986925918,0.001633028523692958,0.0008843988243082905,0.004714630324496993,0.0009283035326181114,0.00029120176248060366,0.0001815672434757803,0.321016683607805,0.2810656776787832,0.3407821650000457,0.003933436440819541,0.009276846365901991,3.2099982865889657e-10,0.0008843988243082905,0.0013555281986925918,-1.0200800204529514e-08,-6.927646722942882e-07,7.056270305838552e-07,0.6082474226804123,28164.361328125
W01,confidence_interval,314159,2026-07-29-18-19-26__stage8_w01,1,0.0018222309881821275,output/training_runs/weak_forward_compliance_priors/2026-07-29-18-19-26__stage8_w01/best_model.pt,0.001735204143396258,0.0020430803376204325,0.0013567414054719115,0.0016346931938060535,0.0008954262024884151,0.004702528085279037,0.0009286469297924956,0.00029123064428183834,0.00018343154276416408,0.31420297622496485,0.28117593903120147,0.33990036705295745,0.003934250169955013,0.00925100502733351,3.244334657074127e-10,0.0008954262024884151,0.0013567414054719115,4.4507032725960016e-08,-6.39590211903851e-07,7.562795190096949e-07,0.35051546391752575,28164.361328125
B01,broad_interval,314159,2026-07-29-18-19-26__stage8_b01,1,0.0018222329672425985,output/training_runs/weak_forward_compliance_priors/2026-07-29-18-19-26__stage8_b01/best_model.pt,0.0017352123441761007,0.0020430863800144643,0.001356737364473195,0.00163468713485511,0.0008954358997647075,0.004702735587789168,0.0009286450236106232,0.00029122281085085315,0.00018343186491890818,0.31416793088931727,0.2811753237317265,0.339899157553399,0.003934223856636201,0.009251075764193435,3.237850754860148e-10,0.0008954358997647075,0.0013567373644731947,4.44980692293484e-08,-6.396848561962543e-07,7.563613735328545e-07,0.35051546391752575,28164.361328125
R01,adaptive_interval,314159,2026-07-29-18-19-29__stage8_r01,1,0.0018222453072667122,output/training_runs/weak_forward_compliance_priors/2026-07-29-18-19-29__stage8_r01/best_model.pt,0.0017352131849162548,0.002043089703522463,0.0013567389084493176,0.001634692425866301,0.0008954355157141612,0.004702635696242092,0.0009286458341619067,0.00029117376039515145,0.00018343297964153868,0.31413159116643175,0.2811754953013951,0.3398910016260847,0.003934220423293702,0.009250991723245013,3.234539096778205e-10,0.0008954355157141612,0.0013567389084493174,4.449878687751152e-08,-6.396875278369407e-07,7.563644999208918e-07,0.35051546391752575,28164.361328125
T01,temperature_interval,314159,2026-07-29-18-19-27__stage8_t01,1,0.0018223391380161047,output/training_runs/weak_forward_compliance_priors/2026-07-29-18-19-27__stage8_t01/best_model.pt,0.001735265119346071,0.0020431412981564427,0.0013567417952258544,0.001634697740049473,0.0008954822930706925,0.004702675253448354,0.0009286460661845699,0.00029119386424108877,0.00018343938734780268,0.3140368712316774,0.2811757514234621,0.3398847595134667,0.0039342098911631556,0.009251275920330433,3.2462650294254346e-10,0.0008954822930706925,0.0013567417952258544,4.4465895854273185e-08,-6.392853606485005e-07,7.564636348433851e-07,0.35051546391752575,28164.361328125
H01,hard_equation,314159,2026-07-29-18-19-31__stage8_h01,18,0.002458440838381648,output/training_runs/weak_forward_compliance_priors/2026-07-29-18-19-31__stage8_h01/best_model.pt,0.002355556257409394,0.0026419331419056,0.0013547741288530873,0.001631922105357246,0.0015810881904281696,0.004715385483086051,0.0009283651834762256,0.0002898721542862273,0.00018044085705685203,0.30763967879341003,0.2810480387703047,0.3413232445785882,0.005680384624128862,0.009269303541156692,3.196469860107127e-10,0.0015810881904281696,0.0013547741288530875,3.557686068234034e-05,3.557685704436153e-05,3.557685704436153e-05,0.0,28108.16015625
