optimization_step,raw_gradient_norm,mean_gradient_norm,shape_gradient_norm,closure_gradient_norm,correction_gradient_norm,projection_count
0,0.001152599579654634,0.001175308134406805,0.0004736153350677341,0.006577421445399523,0.0,0
100,0.0014646295458078384,0.0009817031677812338,0.0011509920004755259,0.009463245049118996,0.0014907561708241701,0
200,0.0011045127175748348,0.0025172641035169363,0.0013455135049298406,0.009024749509990215,0.0015848412876948714,0
300,0.0018659908091649413,0.0037817698903381824,0.0009652856388129294,0.028772864490747452,0.0014625004259869456,0
400,0.0020661340095102787,0.001924457959830761,0.0007936964393593371,0.009767183102667332,0.0016906294040381908,0
500,0.001347998739220202,0.0015291867312043905,0.000885307788848877,0.026876108720898628,0.0014348861295729876,0
600,0.001953612780198455,0.0017438679933547974,0.0009197156177833676,0.012033840641379356,0.0014230806846171618,0
700,0.002820243127644062,0.0020979177206754684,0.0013991061132401228,0.011004047468304634,0.0015531459357589483,0
800,0.0021825365256518126,0.0025287249591201544,0.0009973966516554356,0.0207282155752182,0.001795490039512515,0
900,0.0020956627558916807,0.002405693521723151,0.001289272215217352,0.01046015601605177,0.0022054938599467278,0
1000,0.002576129510998726,0.002085946500301361,0.0015244078822433949,0.00952745508402586,0.0018396058585494757,0
1100,0.0021431788336485624,0.002656570402905345,0.001435298123396933,0.016841469332575798,0.0017604014137759805,0
1200,0.0022653706837445498,0.0018828408792614937,0.0017367890104651451,0.009406471624970436,0.001515655661933124,0
1300,0.003210116410627961,0.004529348108917475,0.0021394421346485615,0.018587419763207436,0.002187663223594427,0
1400,0.0026936165522783995,0.004257688764482737,0.0017759960610419512,0.016694510355591774,0.001998912077397108,0
1500,0.0021414519287645817,0.0036528538912534714,0.0012835977831855416,0.009423146955668926,0.001314096967689693,0
