epoch,chunk_length,training_total_loss,training_raw_mae_deg,training_mean_mae_deg,training_shape_mae_deg,validation_score,validation_curve_mae_deg
1,33,0.002734995387537881,0.001884071911728486,0.001005890753477552,0.0013918066248405985,0.002671964233741164,0.001839461037889123
2,33,0.0026860112448894354,0.0018496812635296306,0.0009928881068887233,0.0013594104337159457,0.0026703898329287767,0.0018352989573031664
3,33,0.0027175601111551705,0.001870905671831827,0.0010038931450676606,0.0013787085799565322,0.00266327359713614,0.0018304303521290421
4,33,0.0027263465223747283,0.0018727305578067899,0.0010202368315265968,0.0013738363212364357,0.0027122164610773325,0.001856500399298966
5,33,0.0026727767422968563,0.0018378495060037388,0.0009995525212806845,0.0013404440197032378,0.0026530169416218996,0.0018206903478130698
6,33,0.0026572723331493003,0.001825780992201248,0.0010026010283983725,0.0013205970483182302,0.0026145377196371555,0.0018002691213041544
7,33,0.0026521672099438865,0.0018248498835059445,0.0009928334092851295,0.0013234118570920167,0.0026216492988169193,0.0018026955658569932
8,33,0.00262495617891207,0.0018035918271147409,0.0009895589867292707,0.0013061399587841575,0.0026168329641222954,0.0017989295301958919
9,33,0.002632002170240983,0.0018086630694005032,0.0009928055237545523,0.0013075389663775472,0.002620712388306856,0.0017999624833464622
10,33,0.0026344263839513755,0.0018095541474690965,0.000997975874735519,0.0013033395300099497,0.0026131661143153906,0.0017975844675675035
11,33,0.0026402729807075026,0.0018146522965845327,0.0009983589569496553,0.0013055617333563088,0.0026025406550616026,0.0017905645072460175
12,33,0.002610642312711841,0.0017951147435882756,0.0009823013144426135,0.001297292705668613,0.0026184420567005873,0.0017980223055928946
13,33,0.0026276147122993028,0.00180530502071041,0.0009970145846911987,0.0012949976885994507,0.002625690307468176,0.001801984733901918
14,33,0.002646255523486193,0.001816951713069927,0.0010105540791829658,0.0012958833249285817,0.0026165891904383898,0.0017985820304602385
15,33,0.002650003382113091,0.0018229816666652644,0.0009929162956406037,0.0013220466519056192,0.002623766427859664,0.001800992526113987
16,33,0.002618110744109334,0.0017978995307456962,0.000992648878817035,0.0012953271886312165,0.0026016582269221544,0.001790535869076848
17,33,0.0026597981314109855,0.0018264935351908207,0.0010173477227041542,0.001298296982747351,0.0026014004833996296,0.0017910617170855403
18,33,0.0026194739648205943,0.001798762973712021,0.000995257991192819,0.001292098819841306,0.0026064689736813307,0.001793139148503542
19,33,0.0027212101809117335,0.0018777661973090713,0.000998834106085692,0.001375869202135174,0.002611317206174135,0.001796741969883442
20,33,0.0026689783106882904,0.0018315432447030446,0.0010292125800841075,0.0012910644426335429,0.0026052179746329784,0.001789160305634141
21,33,0.002610042531498123,0.0017943646688404124,0.0009881347840175378,0.0012862084983025007,0.0026142147835344076,0.0017962787533178926
22,33,0.002619095623146656,0.0017972873133975406,0.0009942790195562464,0.0012984212953597307,0.0025953641161322594,0.0017844621324911714
23,33,0.0026657712391339418,0.0018404972858640345,0.0009777949687071838,0.001345251926470028,0.0025783726014196873,0.0017740357434377074
24,33,0.002620835425765362,0.0018034299678537388,0.0009866862985587052,0.0012959868492840162,0.0025867812801152468,0.001778417848981917
25,33,0.002603502483865203,0.0017898270094139112,0.0009808155794649622,0.001292811825784833,0.0025709490291774273,0.0017719559837132692
26,33,0.002621800833663275,0.0018047834164462984,0.0009710247422633476,0.0013257347001304287,0.0025604788679629564,0.0017614505486562848
27,33,0.0025659744779384414,0.0017688187532300173,0.0009500657365289192,0.0012882035482826447,0.0025905391667038202,0.001779284910298884
28,33,0.002560774503319069,0.0017607349815756776,0.0009556675118632442,0.0012885340622106438,0.0025161942467093468,0.001740489387884736
29,33,0.002587752086435293,0.0017951851856873133,0.0009137424762187482,0.0013424653605947834,0.0025449967943131924,0.00175755366217345
30,33,0.002517142484700957,0.0017364514737151736,0.0009181999850498382,0.0012860749076597047,0.0025014313869178295,0.0017316602170467377
31,33,0.0025361422476423688,0.0017501562008049427,0.0009255797851310913,0.0012924751459057768,0.0025958071928471327,0.0017823418602347374
32,33,0.0024986574020193415,0.0017236945893463875,0.0009118010652749691,0.0012759309340549937,0.002488744677975774,0.0017184445168823004
33,33,0.002524855646824594,0.0017471170285716653,0.0009079199219339116,0.0012948058402100795,0.0024843679275363684,0.0017205147305503488
34,33,0.0025129877464022746,0.001744726932672567,0.0008869295842339133,0.001298848723689484,0.0024738244246691465,0.0017174272798001766
35,33,0.002518393148040009,0.0017382360772814514,0.0009206137078446011,0.001279094843951942,0.0024771210737526417,0.0017140256240963936
36,33,0.0025427514405617882,0.0017628256274863732,0.0009004065474538609,0.0013185521658120114,0.0024802933912724257,0.0017151220235973597
37,33,0.0024794966718831727,0.0017158748070319552,0.0008936145269788455,0.00126694776063655,0.0024296450428664684,0.0016909800469875336
38,33,0.0024759332015893832,0.0017151748057628094,0.0008838900072543427,0.0012749197546306045,0.002464568242430687,0.0017100732075050473
39,33,0.002521097142964082,0.0017462462690377304,0.0008995638413051533,0.0012999528621020185,0.0024513034150004387,0.0017054310301318765
40,33,0.0024915670293794816,0.0017295841866735975,0.0008757630150581082,0.0012960636130057621,0.002417715499177575,0.0016776402480900288
41,33,0.0024634612870380974,0.001703213322312073,0.0008881676151568807,0.0012643185233004218,0.0024866387248039246,0.0017216992564499378
42,33,0.002469383469826087,0.0017117103236879026,0.0008778021600487274,0.0012747419193971815,0.0024599742610007524,0.0017091690097004175
43,33,0.0024453730804325884,0.0016955898812062345,0.0008686203320055853,0.001261543940081326,0.0024344201665371656,0.0016888397512957454
44,33,0.0025025052099683603,0.0017306087078353346,0.0009014347560032335,0.0012843857863159894,0.002416545758023858,0.0016839405288919806
45,33,0.0024687913977432738,0.0017133596905528805,0.0008726579321245121,0.0012760558517563136,0.0024216026067733765,0.0016863031778484583
46,33,0.002454914867358152,0.0017024883188220652,0.0008708148095540183,0.001267711806576699,0.002466215519234538,0.0017104289727285504
47,33,0.002460311321260104,0.001702357067315038,0.0008840137107167826,0.001263444573174469,0.0023964650463312864,0.001666407217271626
48,33,0.0024754434098424607,0.0017157634327642965,0.0008904217217160865,0.0012575201392390353,0.002467019949108362,0.0017149042105302215
