source_csv_path,plot_path,predicted_csv_path,speed_rpm,torque_nm,oil_temperature_deg,point_count,mae_deg,rmse_deg,mean_error_pct,p95_error_pct
C:\Users\XiLabTRig\Downloads\Test Track 2\data\datasets\Test_25degree\100rpm\100.0rpm100.0Nm25.0deg.csv,C:\Users\XiLabTRig\Downloads\Test Track 2\output\plots\100.0rpm100.0Nm25.0deg.png,C:\Users\XiLabTRig\Downloads\Test Track 2\output\predicted_curves\100.0rpm100.0Nm25.0deg_predicted.csv,100.0,100.0,25.0,194400,0.004471497541684427,0.004492253743861505,11.607295201708215,13.389483698528288
C:\Users\XiLabTRig\Downloads\Test Track 2\data\datasets\Test_25degree\1600rpm\1600.0rpm1500.0Nm25.0deg.csv,C:\Users\XiLabTRig\Downloads\Test Track 2\output\plots\1600.0rpm1500.0Nm25.0deg.png,C:\Users\XiLabTRig\Downloads\Test Track 2\output\predicted_curves\1600.0rpm1500.0Nm25.0deg_predicted.csv,1600.0,1500.0,25.0,12150,0.00193497459737607,0.002339581150337911,3.8086420726233445,8.56737634259901
C:\Users\XiLabTRig\Downloads\Test Track 2\data\datasets\Test_30degree\700rpm\700.0rpm1400.0Nm30.0deg.csv,C:\Users\XiLabTRig\Downloads\Test Track 2\output\plots\700.0rpm1400.0Nm30.0deg.png,C:\Users\XiLabTRig\Downloads\Test Track 2\output\predicted_curves\700.0rpm1400.0Nm30.0deg_predicted.csv,700.0,1400.0,30.0,27771,0.0013586913685971894,0.0015023203120963925,3.1040581685376245,5.53073198630446
C:\Users\XiLabTRig\Downloads\Test Track 2\data\datasets\Test_35degree\800rpm\800.0rpm1800.0Nm35.0deg.csv,C:\Users\XiLabTRig\Downloads\Test Track 2\output\plots\800.0rpm1800.0Nm35.0deg.png,C:\Users\XiLabTRig\Downloads\Test Track 2\output\predicted_curves\800.0rpm1800.0Nm35.0deg_predicted.csv,800.0,1800.0,35.0,24300,0.0012792728022660738,0.0014859671022486737,2.7855917359520053,5.610693716640439
