epoch,training_raw_mae_deg,validation_score,validation_curve_mae_deg,adaptive_effective_sample_size,closure_multiplier,correction_multiplier,penalty
1,0.0017977478009713597,0.0025621026288717985,0.0017714955611154437,675.0000000000001,0.0,0.0,1.0
2,0.0018002921119765487,0.002567162038758397,0.0017698234878480434,675.0000000000001,0.0,0.0,1.0
3,0.0017955227197299516,0.002553424332290888,0.0017648228676989675,675.0000000000001,0.0,0.0,1.0
4,0.001793363566109694,0.0025344386231154203,0.0017527587478980422,675.0000000000001,0.0,0.0,1.0
5,0.0017709211367832193,0.0025276420637965202,0.0017490950413048267,675.0000000000001,0.0,0.0,1.0
6,0.0017693201201794625,0.0025210240855813026,0.0017453799955546856,675.0000000000001,0.0,0.0,1.0
7,0.0017474596605224664,0.002519432455301285,0.0017466022400185466,675.0000000000001,0.0,0.0,1.0
8,0.0017559860675963898,0.0025219134986400604,0.0017437937203794718,675.0000000000001,0.0,0.0,1.0
9,0.0017395041325281178,0.0025162757374346256,0.001742185209877789,675.0000000000001,0.0,0.0,1.0
10,0.0017366692894896449,0.002519454574212432,0.0017427779966965318,675.0000000000001,0.0,0.0,1.0
11,0.0017776485819499506,0.002504899399355054,0.001736290636472404,675.0000000000001,0.0,0.0,1.0
12,0.0017361918567181673,0.002487683668732643,0.001726800692267716,675.0000000000001,0.0,0.0,1.0
13,0.0017348657291772407,0.0024934031534940004,0.0017284950008615851,675.0000000000001,0.0,0.0,1.0
14,0.0017322087281405232,0.0024770935997366905,0.0017182844458147883,675.0000000000001,0.0,0.0,1.0
15,0.0017171733102999455,0.0024724698159843683,0.001718226121738553,675.0000000000001,0.0,0.0,1.0
16,0.0017317297169938684,0.002470759442076087,0.0017160692950710654,675.0000000000001,0.0,0.0,1.0
17,0.0017539540164952362,0.002480883616954088,0.0017233665566891432,675.0000000000001,0.0,0.0,1.0
18,0.0017187821659865941,0.002462400123476982,0.0017100883414968848,675.0000000000001,0.0,0.0,1.0
19,0.0017199081769429666,0.0024420968256890774,0.0016990890726447105,675.0000000000001,0.0,0.0,1.0
20,0.001720811486742351,0.0024608185049146414,0.0017091917106881738,675.0000000000001,0.0,0.0,1.0
21,0.0017302266110904342,0.0024501655716449022,0.0017010158626362681,675.0000000000001,0.0,0.0,1.0
22,0.001713289123916522,0.002457073889672756,0.0017084693536162376,675.0000000000001,0.0,0.0,1.0
23,0.0017666665073700768,0.002442724071443081,0.0016976807964965701,675.0000000000001,0.0,0.0,1.0
24,0.0016965743175946003,0.002458253875374794,0.0017069362802430987,675.0000000000001,0.0,0.0,1.0
25,0.0017577500710653704,0.002428179606795311,0.00168807920999825,675.0000000000001,0.0,0.0,1.0
26,0.0016906191486605378,0.0024258841294795275,0.0016887611709535122,675.0000000000001,0.0,0.0,1.0
27,0.001729399549265847,0.002438509138301015,0.0016960547072812915,675.0000000000001,0.0,0.0,1.0
28,0.0017101256837418607,0.0024300452787429094,0.001689540920779109,675.0000000000001,0.0,0.0,1.0
29,0.0016947074246397892,0.0024103561881929636,0.0016788424691185355,675.0000000000001,0.0,0.0,1.0
30,0.0016850195513756641,0.002408365486189723,0.0016772093949839473,675.0000000000001,0.0,0.0,1.0
31,0.0016835194803925967,0.002396238502115011,0.0016709951451048255,675.0000000000001,0.0,0.0,1.0
32,0.0016922660017667642,0.0023820216301828623,0.0016571416053920984,675.0000000000001,0.0,0.0,1.0
33,0.0017025816338245086,0.00236484594643116,0.001645518932491541,675.0000000000001,0.0,0.0,1.0
34,0.0016579698733335665,0.0023438201751559973,0.0016302339499816298,675.0000000000001,0.0,0.0,1.0
35,0.0016591442832831554,0.002344764769077301,0.0016374222468584776,675.0000000000001,0.0,0.0,1.0
36,0.0016550076407986845,0.0022434040438383818,0.0015746975550428033,675.0000000000001,0.0,0.0,1.0
