optimization_step,raw_gradient_norm,mean_gradient_norm,shape_gradient_norm,closure_gradient_norm,correction_gradient_norm,projection_count
0,0.001152599579654634,0.001175308134406805,0.0004736153350677341,0.006577421445399523,0.0,0
100,0.0012503494508564472,0.0009869299829006195,0.001065781689248979,0.015539395622909069,0.0015495800180360675,0
200,0.001384542672894895,0.002527280244976282,0.0009085687343031168,0.012220819480717182,0.0013710170751437545,0
300,0.0017284485511481762,0.0044783796183764935,0.0009654208552092314,0.03314678370952606,0.0014840996591374278,0
400,0.0024694923777133226,0.0025711324997246265,0.0006869834614917636,0.014915160834789276,0.001870822161436081,0
500,0.0014823018573224545,0.0017875750781968236,0.00116290885489434,0.02792915143072605,0.0016174864722415805,0
600,0.0013556225458160043,0.0027677668258547783,0.0015658457996323705,0.019037902355194092,0.0018960104789584875,0
700,0.0027604529168456793,0.005539938807487488,0.0011876850621774793,0.022773200646042824,0.0022394838742911816,0
800,0.0018570504616945982,0.0023063060361891985,0.0011863212566822767,0.018152525648474693,0.0018336739158257842,0
900,0.0015812152996659279,0.003310782602056861,0.0013026545057073236,0.012178294360637665,0.0023324384819716215,0
1000,0.002772610168904066,0.001501816906966269,0.0012175734154880047,0.008589012548327446,0.0015918933786451817,0
1100,0.001132761244662106,0.0030079425778239965,0.0010157858487218618,0.016156096011400223,0.0018961315508931875,0
1200,0.003331175073981285,0.0030097542330622673,0.0018595835426822305,0.022910797968506813,0.0016753003001213074,0
1300,0.0016754803946241736,0.0018484513275325298,0.0015744405100122094,0.021997058764100075,0.001727431663312018,0
1400,0.0022457800805568695,0.0045818062499165535,0.0020420216023921967,0.012566299177706242,0.001914642984047532,0
1500,0.0019464922370389104,0.0033719781786203384,0.0014822074444964528,0.019338473677635193,0.0013727981131523848,0
