epoch,curve_loss,spectral_loss,derivative_loss,weak_loss,active_spectral_weight,active_derivative_weight,active_weak_weight,total_loss,curve_gradient_norm,spectral_gradient_norm,derivative_gradient_norm,weak_gradient_norm,validation_curve_mae_deg
1,0.01716289483010769,0.42099446058273315,0.8903259634971619,0.0,0.0,0.0,0.0,0.01716289483010769,0.0007571619935333729,0.024219680577516556,0.01615014486014843,nan,0.0018180503975600004
2,0.017159495502710342,0.4208965599536896,0.8902758955955505,0.0,0.0,0.0,0.0,0.017159495502710342,nan,nan,nan,nan,0.0018175422446802258
3,0.01715608686208725,0.4207800328731537,0.8902179002761841,0.0,0.0,0.0,0.0,0.01715608686208725,nan,nan,nan,nan,0.001816052827052772
4,0.017152758315205574,0.42066580057144165,0.8901665806770325,0.0,0.0,0.0,0.0,0.017152758315205574,nan,nan,nan,nan,0.0018150495598092675
5,0.017149535939097404,0.4205593168735504,0.8901225924491882,0.0,0.0,0.0,0.0,0.017149535939097404,nan,nan,nan,nan,0.0018147871596738696
6,0.017146224156022072,0.4204524755477905,0.8900748491287231,0.0,0.0,0.0,0.0,0.017146224156022072,nan,nan,nan,nan,0.0018147819209843874
7,0.01714293844997883,0.420347660779953,0.8900289535522461,0.0,0.0,0.0,0.0,0.01714293844997883,nan,nan,nan,nan,0.0018144880887120962
8,0.017139723524451256,0.42024514079093933,0.8899878859519958,0.0,0.0,0.0,0.0,0.017139723524451256,0.0007261081482283771,0.02436503767967224,0.01286479365080595,nan,0.001813718001358211
9,0.017136484384536743,0.420141339302063,0.8899478912353516,0.0,0.0,0.0,0.0,0.017136484384536743,nan,nan,nan,nan,0.001812690868973732
10,0.017133226618170738,0.4200367033481598,0.8899088501930237,0.0,0.0,0.0,0.0,0.017133226618170738,nan,nan,nan,nan,0.0018117402214556932
11,0.017129994928836823,0.41993293166160583,0.8898717761039734,0.0,0.0,0.0,0.0,0.017129994928836823,nan,nan,nan,nan,0.001811073045246303
12,0.0171267781406641,0.4198298752307892,0.8898359537124634,0.0,0.0,0.0,0.0,0.0171267781406641,nan,nan,nan,nan,0.0018106591887772083
13,0.017123553901910782,0.4197280704975128,0.8898005485534668,0.0,0.0,0.0,0.0,0.017123553901910782,nan,nan,nan,nan,0.001810327172279358
14,0.017120331525802612,0.41962742805480957,0.8897650837898254,0.0,0.0,0.0,0.0,0.017120331525802612,nan,nan,nan,nan,0.0018099164590239525
15,0.017117105424404144,0.4195278286933899,0.8897297382354736,0.0,0.0,0.0,0.0,0.017117105424404144,nan,nan,nan,nan,0.001809381414204836
