condition_id,split,direction,source_path,row_count,finite_value_pass,theta_min_deg,theta_max_deg,median_absolute_angle_step_deg,p95_absolute_angle_step_deg,unwrapped_revolution_count,wrap_count,direction_speed_sign_pass,torque_sign_observation,mean_speed_rpm,speed_std_rpm,mean_torque_nm,torque_std_nm,mean_temperature_deg_c,temperature_std_deg_c,mean_te_deg,te_std_deg,te_peak_to_peak_deg,nominal_speed_error_rpm,nominal_torque_magnitude_error_nm,nominal_temperature_error_deg_c,operating_metadata_pass,operating_metadata_issue
speed_100rpm__torque_0Nm__temperature_25degC,train,Fw,data/polished_dataset/forward/25degree/100rpm/100.0rpm0.0Nm25.0deg.csv,194400,True,0.000605517998799481,359.9987518756346,0.0018518894086696491,0.0018576325641674885,0.9999948935784431,1,True,near_zero_setpoint,100.00000369568312,0.19145664325342987,0.0059796140792594595,2.153027600501215,26.376438168724274,0.15681973604462965,-0.020395072526649037,0.012204783558436478,0.0390119271149781,3.695683119531168e-06,0.0059796140792594595,1.376438168724274,True,none
speed_100rpm__torque_0Nm__temperature_25degC,train,Bw,data/polished_dataset/backward/25degree/100rpm/100.0rpm0.0Nm25.0deg.csv,194400,True,0.001755631010998861,359.99990306587654,0.0018517786850793527,0.0018577360444851365,0.9999948003369583,1,True,near_zero_setpoint,-99.99999357214949,0.18991161171930945,0.009827719941798993,1.9040124421237792,26.156979732510283,0.16093248207481184,-0.014317710761748077,0.012564299725480031,0.03975056629483627,-6.427850507861876e-06,0.009827719941798993,1.1569797325102833,True,none
speed_100rpm__torque_0Nm__temperature_35degC,train,Fw,data/polished_dataset/forward/35degree/100rpm/100.0rpm0.0Nm35.0deg.csv,194400,True,0.0005309190605197094,359.99867642505313,0.0018518821653970008,0.0018576253209516835,0.999994865265089,1,True,near_zero_setpoint,99.99999956135868,0.1899769290880141,0.0009038085974345317,2.030229950043385,34.437483693415636,0.15729911740685645,-0.015376933978854024,0.012190827168450852,0.038997901397008476,-4.3864132237558806e-07,0.0009038085974345317,-0.5625163065843637,True,none
speed_100rpm__torque_0Nm__temperature_35degC,train,Bw,data/polished_dataset/backward/35degree/100rpm/100.0rpm0.0Nm35.0deg.csv,194400,True,0.0014360352518215957,359.99958119044686,0.0018518366333069025,0.0018574049074715048,0.9999948851160562,1,True,near_zero_setpoint,-100.00000131736141,0.18102386983954785,-0.004777989094804207,1.9803616380758509,33.63571435185185,0.17059785936267557,-0.009789711571435463,0.01266386925178578,0.040034620711942026,1.3173614092920616e-06,0.004777989094804207,-1.3642856481481473,True,none
speed_100rpm__torque_100Nm__temperature_25degC,train,Fw,data/polished_dataset/forward/25degree/100rpm/100.0rpm100.0Nm25.0deg.csv,194400,True,0.0007829887580031861,359.99892686390257,0.0018518366333921676,0.0018570075431512123,0.9999948712583232,1,True,negative_measured,100.00000172898358,0.16879793485006145,-100.00553374673113,3.1802634447143263,24.589653395061724,0.15394927692268226,-0.0280715846945468,0.012245995861577227,0.038523164887674016,1.7289835767542172e-06,0.005533746731131828,-0.410346604938276,True,none
speed_100rpm__torque_100Nm__temperature_25degC,train,Bw,data/polished_dataset/backward/25degree/100rpm/100.0rpm100.0Nm25.0deg.csv,194400,True,7.326714700977953e-05,359.9982236263654,0.0018517983455978992,0.0018572351999068815,0.9999948282335183,1,True,positive_measured,-99.99999639601162,0.1724743651878059,100.00369875808742,3.948840956112472,24.6178920781893,0.1519294768137479,-0.00810711450914146,0.012205277778007003,0.03820575360194841,-3.603988375289191e-06,0.0036987580874239256,-0.3821079218107002,True,none
speed_100rpm__torque_200Nm__temperature_25degC,train,Fw,data/polished_dataset/forward/25degree/100rpm/100.0rpm200.0Nm25.0deg.csv,194400,True,0.0005495506852148515,359.9986984021962,0.0018518117974792858,0.0018571255109918639,0.9999947832828329,1,True,negative_measured,99.99999391650893,0.17120555745469956,-199.9860663877593,2.6937403983057275,24.563443724279836,0.14972014985756754,-0.03273343292634947,0.012219880695716327,0.039098302109381526,-6.083491072672587e-06,-0.013933612240691673,-0.4365562757201644,True,none
speed_100rpm__torque_200Nm__temperature_25degC,train,Bw,data/polished_dataset/backward/25degree/100rpm/100.0rpm200.0Nm25.0deg.csv,194401,True,0.0003907250037910357,359.9985395309827,0.001851784892608066,0.001857475274110243,1.0000000281322627,1,True,positive_measured,-100.00000182535159,0.1811493988901449,199.98247494312713,3.219520536268017,24.58734435522451,0.1513245751548234,-0.0034362439982285557,0.012135612759486492,0.03774694063880912,1.8253515889909977e-06,-0.017525056872869982,-0.41265564477549077,True,none
speed_100rpm__torque_200Nm__temperature_30degC,train,Fw,data/polished_dataset/forward/30degree/100rpm/100.0rpm200.0Nm30.0deg.csv,194400,True,0.0006249816048961971,359.9987709097975,0.0018518304246413209,0.0018569299319921128,0.9999949036677747,1,True,negative_measured,100.00000580179494,0.16593459930794593,-199.99628194197706,2.049559457946097,29.81714202674897,0.1474158481898686,-0.0333439056321151,0.012202315460863613,0.039670639153292594,5.801794941362459e-06,-0.0037180580229403404,-0.18285797325102848,True,none
speed_100rpm__torque_200Nm__temperature_30degC,train,Bw,data/polished_dataset/backward/30degree/100rpm/100.0rpm200.0Nm30.0deg.csv,194400,True,0.001697220529654561,359.99984880702345,0.0018518107641227743,0.0018576770605989168,0.9999948463023249,1,True,positive_measured,-99.99999886890289,0.1879687569004052,200.01339202346838,2.042172681045414,29.743240226337452,0.15028768334284032,-0.003008636827168901,0.012140395689921122,0.03757130250829199,-1.1310971075317866e-06,0.013392023468384195,-0.256759773662548,True,none
