angular_position_deg,measured_te_deg,predicted_te_deg,residual_te_deg,speed_rpm,torque_nm,oil_temperature_deg
0.012733116745948792,-0.052717164158821106,-0.05654974654316902,-0.0038325823843479156,1600.0,1500.0,25.0
0.04240195453166962,-0.0526936873793602,-0.05673176050186157,-0.004038073122501373,1600.0,1500.0,25.0
0.0724160373210907,-0.05230655521154404,-0.056922610849142075,-0.004616055637598038,1600.0,1500.0,25.0
0.1024310439825058,-0.05191437155008316,-0.057119373232126236,-0.0052050016820430756,1600.0,1500.0,25.0
0.1322028934955597,-0.05176558345556259,-0.057319413870573044,-0.005553830415010452,1600.0,1500.0,25.0
0.161581888794899,-0.052005305886268616,-0.057520538568496704,-0.005515232682228088,1600.0,1500.0,25.0
0.19054840505123138,-0.05263799801468849,-0.057721368968486786,-0.005083370953798294,1600.0,1500.0,25.0
0.21935583651065826,-0.053436845541000366,-0.05792243406176567,-0.0044855885207653046,1600.0,1500.0,25.0
0.24834732711315155,-0.054048776626586914,-0.058124903589487076,-0.004076126962900162,1600.0,1500.0,25.0
0.2777129113674164,-0.05427796393632889,-0.0583287738263607,-0.004050809890031815,1600.0,1500.0,25.0
0.3074336349964142,-0.05415888875722885,-0.05853242054581642,-0.00437353178858757,1600.0,1500.0,25.0
0.33731284737586975,-0.05389765650033951,-0.058732904493808746,-0.004835247993469238,1600.0,1500.0,25.0
0.36693257093429565,-0.053916703909635544,-0.058925896883010864,-0.0050091929733753204,1600.0,1500.0,25.0
0.39590007066726685,-0.054598692804574966,-0.05910760909318924,-0.004508916288614273,1600.0,1500.0,25.0
0.42439210414886475,-0.05575692281126976,-0.059278152883052826,-0.003521230071783066,1600.0,1500.0,25.0
0.4527878165245056,-0.05699022859334946,-0.059438686817884445,-0.0024484582245349884,1600.0,1500.0,25.0
0.48170527815818787,-0.05770067498087883,-0.059591144323349,-0.001890469342470169,1600.0,1500.0,25.0
0.5110806226730347,-0.05794950947165489,-0.059733275324106216,-0.0017837658524513245,1600.0,1500.0,25.0
0.5408672094345093,-0.057775747030973434,-0.059862952679395676,-0.002087205648422241,1600.0,1500.0,25.0
0.5708798766136169,-0.05737544223666191,-0.059977635741233826,-0.0026021935045719147,1600.0,1500.0,25.0
0.6005769371986389,-0.05729418992996216,-0.06007419154047966,-0.002780001610517502,1600.0,1500.0,25.0
0.629639744758606,-0.057846467941999435,-0.06015143170952797,-0.002304963767528534,1600.0,1500.0,25.0
0.658276379108429,-0.05880585312843323,-0.06021009013056755,-0.0014042370021343231,1600.0,1500.0,25.0
0.6870327591896057,-0.059648044407367706,-0.06025095656514168,-0.0006029121577739716,1600.0,1500.0,25.0
0.7163130044937134,-0.05998150259256363,-0.06027355045080185,-0.0002920478582382202,1600.0,1500.0,25.0
0.7460785508155823,-0.05984841659665108,-0.060276567935943604,-0.00042815133929252625,1600.0,1500.0,25.0
0.776036262512207,-0.059545550495386124,-0.06025920808315277,-0.0007136575877666473,1600.0,1500.0,25.0
0.805791437625885,-0.05945306643843651,-0.060221850872039795,-0.0007687844336032867,1600.0,1500.0,25.0
0.8354405760765076,-0.05947527661919594,-0.06016504019498825,-0.0006897635757923126,1600.0,1500.0,25.0
0.8650538921356201,-0.05952517315745354,-0.0600893497467041,-0.0005641765892505646,1600.0,1500.0,25.0
0.8945184946060181,-0.05970286950469017,-0.05999603122472763,-0.00029316172003746033,1600.0,1500.0,25.0
0.9237919449806213,-0.06005711853504181,-0.05988650396466255,0.0001706145703792572,1600.0,1500.0,25.0
