theta,theta_dot,tau_load,T,theta_TE
359.72817839744448,-1499.9051393374179,303.39220802691102,25.239999999999998,0.017365471368928076
359.70040237634566,-1499.9051393374179,301.01112139357599,25.239999999999998,0.017257331368219078
359.6726280181731,-1499.8153413172965,302.43734150377998,25.390000000000001,0.017203100460091908
359.64485888369148,-1499.5332620087706,300.88928948513097,25.09,0.016907779102168792
359.61708381771615,-1499.8535626672083,300.82658539135298,25.550000000000001,0.01690370922735129
359.58931165540753,-1499.6967646662363,300.82658539135298,25.18,0.01694258469634739
359.56152535043242,-1500.4604686548801,303.49925798168903,25.18,0.017140861210839398
359.53373058698742,-1500.9172260303126,307.10486258326301,25.32,0.017288922866248092
359.50594548964199,-1500.3952566542421,307.10486258326301,25.32,0.01736185577136173
359.47815973001201,-1500.4310200177574,309.17385925935002,25.120000000000001,0.017357415431641595
359.450378232741,-1500.2008526353491,306.04127717510198,25.48,0.016929617582442616
359.42259374695033,-1500.36223269423,304.887331114689,25.170000000000002,0.016587453813108465
359.39482194164185,-1499.6774866601104,304.887331114689,25.170000000000002,0.016233950661829311
359.36704716127156,-1499.8381399941029,307.04001272201702,25.510000000000002,0.016184332901863673
359.3392658585434,-1500.190347320028,311.289109145297,25.260000000000002,0.016432676280413009
359.31148206814805,-1500.324681350502,310.048855548961,25.280000000000001,0.016931779285667196
359.28369687353114,-1500.4005093119026,310.048855548961,25.34,0.017417534372715926
359.2559173641111,-1500.0935086840175,306.961334581534,25.129999999999999,0.017311541582487041
359.2281347678765,-1500.2601966683198,307.82345626633798,25.129999999999999,0.016867995066864171
359.20035896822242,-1499.8931813197762,307.61936993829801,25.530000000000001,0.016307597590782274
359.17258186886443,-1499.9633653304081,307.61936993829801,25.140000000000001,0.016016804529317787
359.14479477744493,-1500.502936652905,306.12400843191199,25.219999999999999,0.01600690663867085
359.11701266239521,-1500.2342126866608,308.32532743517498,25.219999999999999,0.016247093698574626
359.08924531398765,-1499.4368140063489,311.01445090943002,25.359999999999999,0.016598661756010477
359.06148061053102,-1499.2939866576651,311.01445090943002,25.359999999999999,0.016749520492780244
359.03372030395053,-1499.0565553459571,307.17710342134302,25.140000000000001,0.016595658752613551
359.00596266095039,-1498.91272200971,304.80817613699202,25.140000000000001,0.016114586153278852
358.97821508865417,-1498.3689039951321,309.21319832959199,25.449999999999999,0.015505425649216861
358.95045560060498,-1499.0123546574644,309.21319832959199,25.109999999999999,0.015021336588616933
358.92268145043192,-1499.8041093430395,310.43056373960502,25.530000000000001,0.014870841071395344
