group_domain,group,curve_count,curve_mae_deg,mean_uncertainty_score,spearman_correlation,marginal_90_coverage,marginal_90_mean_width_deg
torque,torque_high,37,0.0011438672814682123,0.0018792285862167535,0.24442863916548122,0.9341480152027027,0.008297414614317166
torque,torque_low,25,0.0019111515259758486,0.0013987463329935708,0.5269230769230769,0.83740234375,0.005688131522605578
torque,torque_mid,35,0.001226822792546037,0.0013609793485276143,0.3938375350140056,0.9037248883928571,0.005500128114267411
speed,speed_high,24,0.002940904565743646,0.002008788264554077,0.2904347826086956,0.8025309244791666,0.009295215597933794
speed,speed_low,43,0.0006019070444378456,0.001493233839569102,-0.011325883418906675,0.984851925872093,0.006137876645534585
speed,speed_mid,30,0.0012192320938052162,0.0013238139920852146,0.2783092324805339,0.8506510416666667,0.005156608089527863
temperature,temperature_low,25,0.001007710740111184,0.0013084367251186718,0.5515384615384615,0.9359765625,0.005147425545488792
temperature,temperature_mid,72,0.0014978875944451635,0.0016586593761855398,0.2645829313782237,0.8851318359375,0.007125367696625199
support,supported_core,97,0.0013715533536374368,0.001568395806322945,0.3039922154428782,0.8982361469072165,0.006615588791693134
