optimization_step,raw_gradient_norm,mean_gradient_norm,shape_gradient_norm,closure_gradient_norm,correction_gradient_norm,projection_count
0,0.0008899568929336965,0.0018734096083790064,0.0007856758311390877,0.004933556076139212,0.0,0
100,0.0013119929935783148,0.001778898062184453,0.0009172267164103687,0.006859966553747654,0.001283336547203362,0
200,0.0013630532193928957,0.0019826863426715136,0.000614666729234159,0.024827225133776665,0.0011575815733522177,0
300,0.003894389607012272,0.007725049741566181,0.0025245188735425472,0.03185442090034485,0.002242414513602853,0
400,0.0016384596237912774,0.0025283407885581255,0.0015371323097497225,0.008719626814126968,0.0015577655285596848,0
500,0.0014821753138676286,0.0020999619737267494,0.0009407508769072592,0.03266443312168121,0.0026695646811276674,0
600,0.0009330923785455525,0.000821945199277252,0.001070182304829359,0.016564710065722466,0.00191640411503613,0
700,0.0009865686297416687,0.0016517157200723886,0.0008110664784908295,0.01191396452486515,0.001618378097191453,0
800,0.002340280916541815,0.002524158451706171,0.002110389992594719,0.009955629706382751,0.0023638650309294462,0
900,0.0016473199939355254,0.0011921097757294774,0.0007732929079793394,0.010064526461064816,0.0015987488441169262,0
1000,0.0024391901679337025,0.003603304736316204,0.0013117006747052073,0.005060967523604631,0.0013830849202349782,0
1100,0.0017333608120679855,0.0021989939268678427,0.0010882144561037421,0.01317592803388834,0.0011470095487311482,0
1200,0.0010978832142427564,0.0012915122788399458,0.000992471817880869,0.00804875697940588,0.001933997729793191,0
1300,0.0017500099493190646,0.0017252389807254076,0.0016479277983307838,0.012563602067530155,0.0023319122847169638,0
1400,0.002321123145520687,0.003680828493088484,0.002150169340893626,0.013321660459041595,0.001862024306319654,0
1500,0.001971693942323327,0.0036540452856570482,0.001500361249782145,0.020013635978102684,0.0015174133004620671,0
