epoch,training_raw_mae_deg,validation_score,validation_curve_mae_deg,adaptive_effective_sample_size,closure_multiplier,correction_multiplier,penalty
1,0.0018911221616923115,0.0025755518581718206,0.0017829864518716931,664.8336722210884,0.0,0.0,1.0
2,0.0019587372662499547,0.0025618260260671377,0.0017710060346871614,650.4117387178483,0.0,0.0,1.0
3,0.002010802345805217,0.0025427944492548704,0.001756817102432251,633.6945636509244,0.0,0.0,1.0
4,0.0021990166007822684,0.0025498138274997473,0.001762628206051886,618.1695392335472,0.0,0.0,1.0
5,0.002280361858348167,0.0025417678989470005,0.0017531992634758353,605.0070785725343,0.0,0.0,1.0
6,0.0022641165468971743,0.002514077117666602,0.0017405095277354121,595.0640135459686,0.0,0.0,1.0
7,0.0024093928514048457,0.002545295748859644,0.00175717833917588,588.4742971385188,0.0,0.0,1.0
8,0.0024735206700211695,0.0025276208762079477,0.0017448212020099163,584.8678172640812,0.0,0.0,1.0
9,0.0024776014033704996,0.002526012249290943,0.0017446107231080532,582.3793730267995,0.0,0.0,1.0
10,0.002382227685302496,0.0025125870015472174,0.001737633254379034,579.3640067265219,0.0,0.0,1.0
11,0.002366596451137475,0.002550194738432765,0.0017547139432281256,578.3942669432415,0.0,0.0,1.0
12,0.002432997224765808,0.002563153626397252,0.0017629526555538177,579.9572821765377,0.0,0.0,1.0
13,0.0022291820063147436,0.00253214780241251,0.0017467988654971123,577.8671997724751,0.0,0.0,1.0
14,0.002371773632719766,0.002508399309590459,0.0017342866631224751,576.0877521554862,0.0,0.0,1.0
15,0.0022908307904334264,0.002481964183971286,0.0017200334696099162,574.6504532643105,0.0,0.0,1.0
16,0.0024432641410723674,0.0025035336147993803,0.0017334942240267992,576.0770872794812,0.0,0.0,1.0
17,0.0024896952794691506,0.0025353780947625637,0.0017465248238295317,577.8950831801611,0.0,0.0,1.0
18,0.002191977399444684,0.0024983156472444534,0.0017260165186598897,575.2340919146177,0.0,0.0,1.0
19,0.0024261860702143507,0.0025181793607771397,0.0017376866890117526,577.4153152800366,0.0,0.0,1.0
20,0.0026820331059266315,0.002542829839512706,0.0017488149460405111,578.5526266861174,0.0,0.0,1.0
21,0.002536477185352597,0.0025248287711292505,0.0017386205727234483,582.0043888547796,0.0,0.0,1.0
22,0.0023682887265242115,0.0024763282854110003,0.0017059538513422012,581.3949262629471,0.0,0.0,1.0
23,0.002508582853235651,0.0025203239638358355,0.0017358657205477357,582.1056582541139,0.0,0.0,1.0
24,0.0024573027919761316,0.0024695689789950848,0.0017133655492216349,580.582740350867,0.0,0.0,1.0
25,0.00243549368365906,0.00247801560908556,0.0017101444536820054,580.7961175321038,0.0,0.0,1.0
26,0.0023135935432862403,0.0025125949177891016,0.0017336182063445449,580.4528264347509,0.0,0.0,1.0
27,0.0025916031973306523,0.0025140081997960806,0.001733871758915484,584.2058325614735,0.0,0.0,1.0
28,0.0021569098936133953,0.0024468509946018457,0.0016869340324774384,579.159629309656,0.0,0.0,1.0
29,0.0023299319274333674,0.0025120102800428867,0.00173341971822083,577.3116939349325,0.0,0.0,1.0
30,0.0021974775983497155,0.0024498561397194862,0.0016909843543544412,574.9492483580296,0.0,0.0,1.0
31,0.0022139521992527124,0.0023999742697924376,0.0016533805755898356,576.0349906678233,0.0,0.0,1.0
32,0.0022253783008213653,0.0023853187449276447,0.0016419448656961322,576.5945874571582,0.0,0.0,1.0
33,0.0024698363606233237,0.0024711149744689465,0.0016981387743726373,580.1242329701719,0.0,0.0,1.0
34,0.0026331929311286225,0.0024674818851053715,0.001697563217021525,585.4424554329196,0.0,0.0,1.0
35,0.0021786944058095645,0.002400417812168598,0.001644324860535562,584.6805032496084,0.0,0.0,1.0
36,0.0021112561361257766,0.0023146807216107845,0.0015856099780648947,583.8681700011836,0.0,0.0,1.0
