gate_id,passed,candidate_value,reference_or_limit
raw_mae_vs_anchor,True,0.0017258842776965149,0.0018089774868462563
raw_mae_vs_matched_direct,True,0.0017258842776965149,0.003669245884614622
centered_shape_vs_anchor,True,0.0013555282003006159,0.001381874821443183
offset_vs_anchor,True,0.0008843988627133451,0.0009752322939696418
derivative_vs_anchor,True,0.0009283035330324238,0.000937212016244136
closure_vs_anchor,True,0.00029120176008028776,0.00029462442355142457
harmonic_amplitude_vs_anchor,True,0.00018156724497625935,0.00019454066244762057
harmonic_phase_vs_anchor,True,0.32101667110068927,0.33714585315008505
bounded_correction_energy,True,0.006915951448258805,0.5
three_seed_raw_mae_vs_anchor,True,0.0018051146880514754,0.0018089774868462563
