candidate_id,formulation,random_seed,run_instance_id,best_epoch,best_validation_score,best_validation_mae_deg,checkpoint_path,parameter_count,runtime_target_derived_input_count,mae_deg,rmse_deg,centered_mae_deg,centered_rmse_deg,offset_abs_error_deg,peak_to_peak_abs_error_deg,derivative_mae_deg_per_sample,periodic_closure_error_deg,retained_amplitude_mae_deg,retained_phase_mae_rad,sobolev_derivative_mae,sobolev_derivative_correlation,per_curve_mae_p95,per_curve_mae_worst,unsupported_high_frequency_energy_ratio,mean_mae_deg,centered_shape_mae_deg,residual_rms_deg,residual_abs_max_deg,shuffled_order_prediction_difference_mae_deg,hidden_state_mean_norm,hidden_state_max_batch_mean_norm,reset_reproducibility_max_abs_deg,chunk_equivalence_max_abs_deg,prefix_1_mae_deg,prefix_9_mae_deg,prefix_17_mae_deg,prefix_33_mae_deg,prefix_129_mae_deg,prefix_512_mae_deg,prefix_2048_mae_deg
K01,h04_coefficient_residual_gru,314159,2026-07-29-19-21-15__stage9_k01,48,0.002107460517436266,0.0014783847145736217,output/training_runs/temporal_analytical_residual_models/2026-07-29-19-21-15__stage9_k01/best_model.pt,159891,0,0.0013715533536374368,0.0016408219167274854,0.0012272697615027643,0.0014733995172601965,0.0004958660145720023,0.003312668850788276,0.00089425991476543,0.0006385078442465398,0.00016566389065408304,0.29732804617916025,0.26880707044411084,0.42280235177237757,0.004148434427621059,0.009145499743213678,0.010458052591193617,0.0004958660145720023,0.001227269761502764,0.0012160178739577532,0.00882837176322937,0.0005735295708291233,3.2279468263898576,4.733699798583984,0.0,2.8401613235473633e-05,0.001563179544463003,0.0014100734819536662,0.0014288243588450704,0.001443378574436097,0.0014351229045337763,0.0014013529791330318,0.0013715533536374368
L01,h04_context_curriculum_residual_gru,314159,2026-07-29-19-34-56__stage9_l01,47,0.002379116602241993,0.0016636267537251115,output/training_runs/temporal_analytical_residual_models/2026-07-29-19-34-56__stage9_l01/best_model.pt,157569,0,0.0015360729535541968,0.0018103018170958789,0.0012807820087683756,0.0015341483017299773,0.0006436980306788653,0.0034979113059875177,0.0009150443279989849,0.00046266439687652687,0.0001788595248520262,0.3282323111192021,0.2759446039632554,0.38417061257990787,0.004043567824127737,0.009673691684303792,0.004883577499580295,0.0006436980306788653,0.0012807820087683756,0.0007932790322229266,0.0027767308056354523,0.00039368169382214546,1.8472300597599574,2.021657705307007,0.0,1.2516975402832031e-06,0.0015132315170169333,0.0013818742902756097,0.001422135590016613,0.0014700319820835717,0.0015402909551956326,0.0015648319668053903,0.0015360729535541966
H01,h04_causal_residual_gru,314159,2026-07-29-19-14-33__stage9_h01,45,0.002378078643232584,0.0016635748324915767,output/training_runs/temporal_analytical_residual_models/2026-07-29-19-14-33__stage9_h01/best_model.pt,157569,0,0.0015392698912755592,0.001814494916809465,0.0012799256463281623,0.0015331912774243443,0.000650130825819193,0.00368439347344561,0.0009148840005994003,0.0004735527975369514,0.00018361669397508405,0.3256753771018889,0.2758463839549471,0.38817029169660394,0.004017159048943247,0.009815233225680392,0.005196080436429836,0.000650130825819193,0.0012799256463281623,0.000780583533924073,0.0030429258476942778,0.00044594070641323924,1.8173164810453142,2.0882816314697266,0.0,1.3634562492370605e-06,0.0015240375647090011,0.0013800980762552978,0.0014217184743980761,0.001466082311305687,0.0015371653564941882,0.0015647432708944028,0.0015392698912755592
P01,pf_a_causal_residual_gru,314159,2026-07-29-19-08-59__stage9_p01,47,0.0023964650463312864,0.001666407217271626,output/training_runs/temporal_analytical_residual_models/2026-07-29-19-08-59__stage9_p01/best_model.pt,157569,0,0.001547031112129351,0.0018210694942507495,0.0012831293003349599,0.0015343690620593503,0.0006616236270072069,0.0036315397698443684,0.0009163072298593091,0.0006730085282020041,0.00018197725772442757,0.2943992923218359,0.2762828631124774,0.3924679163851461,0.0040972782817029615,0.009960688061734245,0.005571572104794709,0.0006616236270072069,0.0012831293003349599,0.0009007964981719851,0.0035839658230543137,0.00047815253492444754,1.8055758135659354,1.8914309740066528,0.0,2.4810433387756348e-06,0.0016244590581119902,0.0014407449132742942,0.0014659645349226929,0.0014861782743100316,0.0015409627863006666,0.0015700936029251003,0.001547031112129351
N01,h04_shuffled_angular_order_residual_gru,314159,2026-07-29-19-40-16__stage9_n01,47,0.0024278894998133183,0.0016973231686279178,output/training_runs/temporal_analytical_residual_models/2026-07-29-19-40-16__stage9_n01/best_model.pt,157569,0,0.0015627553030450852,0.001846330672080947,0.0013098833234111034,0.0015714844187178132,0.0006594066071334135,0.0036922528600648184,0.0009190149680102756,0.0007287143770432503,0.00018441860466574295,0.3339439138732407,0.27746936220163027,0.3710707223802101,0.0040475993242999105,0.009595363506552292,0.004371697151553472,0.0006594066071334135,0.0013098833234111034,0.0006806804449297488,0.0021444347221404314,0.00019966326362919062,2.2290842533111572,2.2919764518737793,0.0,1.8030405044555664e-06,0.0015171517287681901,0.0014000850190028548,0.0014342589291576032,0.0014696992210507039,0.0015471741691676004,0.0015875663471661167,0.0015627553030450852
M01,h04_static_mean_temporal_shape_gru,314159,2026-07-29-19-24-41__stage9_m01,23,0.0024462644942104816,0.0016973542515188456,output/training_runs/temporal_analytical_residual_models/2026-07-29-19-24-41__stage9_m01/best_model.pt,157569,0,0.0016473626246872747,0.00195470395520168,0.0013150533033153258,0.0016112073882107913,0.00077670828675712,0.003938281662975081,0.0009321628842801083,0.011126794314645614,0.00020077869034457177,0.30523538810724177,0.28101923975018184,0.3149395664251056,0.0042100824277296,0.010363949654182187,0.07623023532809545,0.00077670828675712,0.0013150533033153258,0.01219549123197794,0.02176348865032196,0.009538953192532063,2.0328472341809953,2.047421932220459,0.0,4.2282044887542725e-06,0.011321111585725609,0.003018826099829607,0.002315325954850235,0.0019677370427079724,0.0017276830290947726,0.0016760910922528403,0.0016473626246872742
D00,frozen_h04,314159,frozen_stage5_h04,0,nan,nan,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-28-16-17-13__stage5_h04/best_model.pt,0,0,0.0017258842842754081,0.002033383877682704,0.0013555281929631374,0.001633028522744472,0.0008843987299151054,0.0047146305315242405,0.0009283035288957465,0.0002912016952717581,0.00018156724522073805,0.32101667621009283,0.2810656765574874,0.34078217508044023,0.003933436434998775,0.009276846365901991,3.217196027098576e-10,0.0008843987299151054,0.0013555281929631374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001564380351360766,0.0015061012407873984,0.0015635338067726868,0.0015976609054444188,0.0016556385877062403,0.0017279516371363623,0.0017258842842754086
C00,causal_periodic_gru,314159,2026-07-29-18-58-22__stage9_c00,46,0.0023951930925250053,0.0016633226769044995,output/training_runs/temporal_analytical_residual_models/2026-07-29-18-58-22__stage9_c00/best_model.pt,157569,0,0.0017701577550799437,0.002109752334534631,0.0013557817206109608,0.001698495229388435,0.0008880884201012524,0.009195674243398082,0.000941493870762759,0.01339861573939471,0.00023401613997721307,0.41718324489169983,0.284471442875519,0.2596750877903482,0.004065713123329511,0.010254958534423252,0.14820165960301587,0.0008880884201012524,0.0013557817206109604,0.05557340383529663,0.10789438337087631,0.00970036257058382,2.6545866898127963,2.969468116760254,0.0,1.9295141100883484e-05,0.0124104677125406,0.0035620605115407704,0.0026522967964458773,0.002245134342575475,0.001969598763476129,0.0018771696496160646,0.0017701577550799437
R00,parameter_matched_zero_anchor_residual_gru,314159,2026-07-29-19-03-40__stage9_r00,46,0.0023951930925250053,0.0016633226769044995,output/training_runs/temporal_analytical_residual_models/2026-07-29-19-03-40__stage9_r00/best_model.pt,157569,0,0.0017701577550799437,0.002109752334534631,0.0013557817206109608,0.001698495229388435,0.0008880884201012524,0.009195674243398082,0.000941493870762759,0.01339861573939471,0.00023401613997721307,0.41718324489169983,0.284471442875519,0.2596750877903482,0.004065713123329511,0.010254958534423252,0.14820165960301587,0.0008880884201012524,0.0013557817206109604,0.05557340383529663,0.10789438337087631,0.00970036257058382,2.6545866898127963,2.969468116760254,0.0,1.9295141100883484e-05,0.0124104677125406,0.0035620605115407704,0.0026522967964458773,0.002245134342575475,0.001969598763476129,0.0018771696496160646,0.0017701577550799437
G00,accepted_setpoint_periodic_gru_replay,314159,accepted_periodic_gru_replay,0,nan,nan,output/training_runs/periodic_gru_sequence/2026-07-08-22-57-44__te_periodic_gru_sequence_fw__polished_setpoints/checkpoints/periodic_gru_sequence-epoch=091-val_mae=0.00183161.ckpt,157953,0,0.0019246894549618256,0.0023149586353851306,0.0017227593377649281,0.002083322905198872,0.0006925694167072412,0.005806300531024113,0.0009774398705886596,0.00023403209778144186,0.00029442459040534153,0.9939308406228093,0.2990293576357323,0.1114400528620976,0.004144934249816022,0.01053609689446277,0.004114034400456883,0.0006925694167072412,0.0017227593377649281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002067764088029385,0.0017285480833107172,0.0020161003432153358,0.0018942235426030048,0.0019239887769648988,0.0019007941013882072,0.0019246894549618254
