optimization_step,raw_gradient_norm,mean_gradient_norm,shape_gradient_norm,closure_gradient_norm,correction_gradient_norm,projection_count
0,0.001152599579654634,0.001175308134406805,0.0004736153350677341,0.006577421445399523,0.0,0
100,0.0014372875448316336,0.0010904539376497269,0.0012974145356565714,0.006792696192860603,0.0014120046980679035,0
200,0.0010660204570740461,0.002062092535197735,0.0005388676072470844,0.004367221612483263,0.0012296824716031551,0
300,0.001970347948372364,0.0069166324101388454,0.0007654549553990364,0.0051804594695568085,0.0013210762990638614,0
400,0.0022837668657302856,0.0020142821595072746,0.0007669226615689695,0.006730126682668924,0.0013828681549057364,0
500,0.0003990209079347551,0.0016502582002431154,0.00048788267304189503,0.003947018645703793,0.0013213381171226501,0
600,0.0009594475850462914,0.0016648524906486273,0.0008917769882827997,0.005157862789928913,0.0012711788294836879,0
700,0.0013149101287126541,0.0009258085046894848,0.0008599103894084692,0.005702631548047066,0.0013219587272033095,0
800,0.00087147974409163,0.0017339482437819242,0.0005409902078099549,0.0035695487167686224,0.001480974955484271,0
900,0.0012051040539517999,0.0016932181315496564,0.0009602175559848547,0.004313429351896048,0.0015761263202875853,0
1000,0.0015004356391727924,0.0009149732650257647,0.0008594294195063412,0.0017010163282975554,0.0014336573658511043,0
1100,0.000908929156139493,0.001788717694580555,0.0007677669636905193,0.003433570731431246,0.0015498378779739141,0
1200,0.001251356559805572,0.0003442828601691872,0.0012243430828675628,0.003415601560845971,0.0015771187609061599,0
1300,0.001112439320422709,0.0010419500758871436,0.0007891576969996095,0.0035130076576024294,0.0015570324612781405,0
1400,0.0007392357219941914,0.0025233966298401356,0.0006054665427654982,0.002607096917927265,0.0014192586531862617,0
1500,0.0009559599566273391,0.0009178164764307439,0.001227749977260828,0.004802981857210398,0.0015229582786560059,0
