group_domain,group,curve_count,curve_mae_deg,mean_uncertainty_score,spearman_correlation,marginal_90_coverage,marginal_90_mean_width_deg
torque,torque_high,37,0.0011438672814682123,0.0012018285655215463,0.2162162162162162,0.9389252533783784,0.007597979879686509
torque,torque_low,25,0.0019111515259758486,0.0005948706122580916,0.4392307692307692,0.85931640625,0.005745031056235262
torque,torque_mid,35,0.001226822792546037,0.0007214475817038744,0.2862745098039216,0.8642299107142857,0.005068836454575554
speed,speed_high,24,0.002940904565743646,0.0011650824438037926,-0.34347826086956523,0.7404988606770834,0.007357377782208227
speed,speed_low,43,0.0006019070444378456,0.000755626430085359,-0.27650256720024163,0.9665697674418605,0.005675045035825327
speed,speed_mid,30,0.0012192320938052162,0.0008045390815141218,0.19510567296996661,0.9045572916666667,0.006051876818364676
temperature,temperature_low,25,0.001007710740111184,0.0008133790430917998,0.5253846153846153,0.9480859375,0.006189207989348497
temperature,temperature_mid,72,0.0014978875944451635,0.0008924390487929182,0.06621004566210047,0.8717922634548612,0.006214307057371033
support,supported_core,97,0.0013715533536374368,0.000872062758663764,0.16689459288870184,0.891455581507732,0.006207838225406463
