split,condition_count,median_raw_speed_outlier_fraction,median_forward_valid_speed_mad_rpm,median_backward_valid_speed_mad_rpm,median_valid_causal_101_acceleration_p95_rpm_per_s,median_transition_causal_101_acceleration_p95_rpm_per_s,median_causal_101_valid_to_transition_p95_ratio,valid_speed_stability_pass_count,robust_transition_excitation_pass_count
train,678,1.57423295499268e-05,0.446573834778917,0.5423089084312807,69.70920858445879,69.98280762970806,0.9958174310349559,678,0
validation,194,1.616359658161894e-05,0.4651397490912359,0.5617273321452956,70.2390096227191,70.88428685181042,0.9993879310354121,194,0
test,97,1.2970168612191959e-05,0.41780987036554507,0.4774886571492516,65.72905728014572,66.06544718715664,1.0049053537190678,97,0
