candidate_id,architecture,training_mode,promotion_eligible,matched_control_id,random_seed,run_instance_id,parameter_count,best_epoch,negative_gradient_conflict_epoch_count,negative_gradient_conflict_fraction,shape_cycle_mean_max_abs_deg,reconstruction_identity_max_abs_deg,checkpoint_path,mae_deg,rmse_deg,centered_mae_deg,centered_rmse_deg,offset_abs_error_deg,peak_to_peak_abs_error_deg,derivative_mae_deg_per_sample,periodic_closure_error_deg,retained_amplitude_mae_deg,retained_phase_mae_rad,sobolev_derivative_mae,sobolev_derivative_correlation,per_curve_mae_p95,per_curve_mae_worst,unsupported_high_frequency_energy_ratio,mean_mae_deg,centered_shape_mae_deg
C01,monolithic,joint,False,,314159,2026-07-29-17-46-25__stage7_c01,7123,64,61,0.953125,3.2105162972584367e-10,0.0,output/training_runs/mean_centered_shape_multi_head/2026-07-29-17-46-25__stage7_c01/best_model.pt,0.001712730923096275,0.0020197274177767258,0.0013560644706792785,0.001633451828197816,0.0008638443559715428,0.004705752754948803,0.0009286972065816259,0.0002864147200412357,0.00018010286286944616,0.3141944269862241,0.2812073730777219,0.3394771630386102,0.003929359838366508,0.009187630377709866,2.819003173799659e-10,0.0008638443541713059,0.0013560644583776593
I01,independent,joint,False,,314159,2026-07-29-17-46-27__stage7_i01,13619,64,0,0.0,3.0831870390102267e-10,0.0,output/training_runs/mean_centered_shape_multi_head/2026-07-29-17-46-27__stage7_i01/best_model.pt,0.0017296328127129753,0.0020384646456487014,0.001358853862200835,0.0016373078838067571,0.000881602834026838,0.004697455150872162,0.0009289558997291342,0.00029770882089727934,0.0001809521925446752,0.3511678834854762,0.281337954334377,0.33674145017548934,0.003933175187557934,0.009221697226166725,2.854320715822486e-10,0.0008816029294393957,0.0013588537694886327
A02,analytical_shape,joint,False,C01,314159,2026-07-29-17-46-29__stage7_a02,6529,64,0,0.0,1.4733814168721437e-10,0.0,output/training_runs/mean_centered_shape_multi_head/2026-07-29-17-46-29__stage7_a02/best_model.pt,0.0017473995583563967,0.0020613859710043544,0.0013818746716499368,0.0016650636824443168,0.0008816053687604432,0.004724686062827553,0.0009372118814277088,0.00029462919637714466,0.00019454062978734618,0.3371453706881422,0.28424616718722373,0.32455184710087237,0.003934497199952601,0.009438268840312958,2.702791427653205e-10,0.0008816053159534931,0.0013818746665492654
G01,shared,pcgrad,True,I01,314159,2026-07-29-17-46-28__stage7_g01,8179,13,0,0.0,3.383320290595293e-10,0.0,output/training_runs/mean_centered_shape_multi_head/2026-07-29-17-46-28__stage7_g01/best_model.pt,0.0017997969746632867,0.0021127017074475812,0.001379440079824807,0.0016621272088647773,0.0009663723332365763,0.0047313158505970666,0.0009365587920723387,0.00029551773572090973,0.00019295553397952715,0.3298312609016436,0.283994855954475,0.32551467833445247,0.003950155153870581,0.009434220381081104,2.6937926360686266e-10,0.0009663724340498447,0.0013794400729238987
S01,shared,joint,True,I01,314159,2026-07-29-17-46-26__stage7_s01,8179,13,0,0.0,3.356035449542105e-10,0.0,output/training_runs/mean_centered_shape_multi_head/2026-07-29-17-46-26__stage7_s01/best_model.pt,0.001799796975563405,0.002112701716448766,0.00137944007802457,0.001662127210064935,0.0009663723524391037,0.0047313158505970666,0.0009365588055741158,0.00029551775492343705,0.00019295553444171872,0.3298312599049929,0.2839948556472346,0.32551467556928854,0.003950155153870581,0.009434220381081104,2.694033232250682e-10,0.0009663724340498447,0.0013794400729238987
P01,partial,joint,True,I01,314159,2026-07-29-17-46-26__stage7_p01,10259,5,0,0.0,1.7143975128419697e-10,0.0,output/training_runs/mean_centered_shape_multi_head/2026-07-29-17-46-26__stage7_p01/best_model.pt,0.0018030997103478607,0.002116679527182324,0.0013817127847434358,0.0016649850669974635,0.000969045670683851,0.004722784820598425,0.0009372298192885733,0.0002963839425254114,0.0001941728831589299,0.3333249379993944,0.2842617213111563,0.32442398684233736,0.003951115161180494,0.009441236965358257,2.6996208313910537e-10,0.0009690457372926176,0.0013817127328366041
A01,analytical_mean,joint,False,C01,314159,2026-07-29-17-46-29__stage7_a01,7090,8,0,0.0,1.4915713109076023e-10,0.0,output/training_runs/mean_centered_shape_multi_head/2026-07-29-17-46-29__stage7_a01/best_model.pt,0.001807906430577091,0.0021211283099021494,0.001381017322911276,0.0016640890146648877,0.0009752323985407033,0.004727069326897257,0.0009370258629451669,0.0002957427893410024,0.00019387780105552163,0.3318175445949772,0.2841819327363034,0.32455722263716547,0.003951213974505661,0.00942989345639944,2.698762759939026e-10,0.0009752324549481273,0.0013810173841193318
