surface,direction_label,factor_name,factor_value,condition_count,mean_raw_delta_deg,mean_offset_delta_deg,mean_shape_delta_deg
Bw,backward,oil_temperature_deg,25.000000000,25,-0.000022440,0.000137000,-0.000068840
Bw,backward,oil_temperature_deg,30.000000000,38,0.000055579,0.000083211,0.000012316
Bw,backward,oil_temperature_deg,35.000000000,34,0.000013118,0.000067265,-0.000017265
global,backward,speed_rpm,100.000000000,9,0.000489889,0.000421111,0.000169222
global,backward,speed_rpm,200.000000000,4,0.000605750,0.000623000,0.000107500
global,backward,speed_rpm,300.000000000,4,0.000387750,0.000429500,0.000056500
global,backward,speed_rpm,400.000000000,10,0.000066400,0.000139700,0.000014600
global,backward,speed_rpm,500.000000000,7,-0.000082857,-0.000167857,0.000049429
global,backward,speed_rpm,600.000000000,9,0.000066000,0.000020667,0.000104556
global,backward,speed_rpm,700.000000000,7,0.000089714,0.000052714,0.000025286
global,backward,speed_rpm,800.000000000,6,0.000222000,0.000178000,0.000103833
global,backward,speed_rpm,900.000000000,4,0.000213250,0.000289000,0.000088500
global,backward,speed_rpm,1000.000000000,4,0.000013250,-0.000139500,0.000094000
global,backward,speed_rpm,1100.000000000,6,0.000011333,0.000020833,0.000000000
global,backward,speed_rpm,1300.000000000,3,0.000025667,-0.000186667,0.000049333
global,backward,speed_rpm,1400.000000000,4,0.000049000,-0.000018000,0.000059000
global,backward,speed_rpm,1500.000000000,4,0.000121750,0.000098750,0.000087250
global,backward,speed_rpm,1600.000000000,5,0.000484400,0.000427600,0.000340200
global,backward,speed_rpm,1700.000000000,7,-0.000187571,-0.000043857,-0.000189000
global,backward,speed_rpm,1800.000000000,4,0.000059500,-0.000173250,0.000070000
global,backward,torque_nm,0.000000000,5,0.000482000,0.000807000,0.000130400
global,backward,torque_nm,100.000000000,8,0.000875375,0.000914875,0.000137375
global,backward,torque_nm,200.000000000,7,0.000238429,0.000237143,0.000109143
global,backward,torque_nm,300.000000000,9,0.000115000,0.000078333,0.000099889
global,backward,torque_nm,400.000000000,3,0.000182333,0.000069333,0.000106667
global,backward,torque_nm,500.000000000,5,-0.000029400,-0.000215000,0.000001400
global,backward,torque_nm,600.000000000,7,0.000099286,0.000063286,0.000024714
global,backward,torque_nm,700.000000000,7,0.000007571,0.000065429,0.000017000
global,backward,torque_nm,800.000000000,6,0.000096500,0.000094833,0.000041000
global,backward,torque_nm,900.000000000,7,0.000096429,-0.000071286,0.000081143
global,backward,torque_nm,1000.000000000,6,0.000003333,-0.000036667,0.000043333
global,backward,torque_nm,1100.000000000,2,0.000093000,-0.000190500,0.000123000
global,backward,torque_nm,1200.000000000,5,-0.000072600,0.000056800,-0.000109400
global,backward,torque_nm,1300.000000000,1,-0.000018000,-0.000048000,0.000043000
global,backward,torque_nm,1400.000000000,6,0.000049667,0.000150833,0.000021500
global,backward,torque_nm,1500.000000000,1,-0.000067000,-0.000321000,0.000112000
global,backward,torque_nm,1600.000000000,5,-0.000124400,0.000155000,-0.000095800
global,backward,torque_nm,1700.000000000,3,0.000128000,-0.000411667,0.000425000
global,backward,torque_nm,1800.000000000,4,-0.000058750,-0.000528250,0.000161750
