epoch,curve_loss,spectral_loss,derivative_loss,weak_loss,active_spectral_weight,active_derivative_weight,active_weak_weight,total_loss,curve_gradient_norm,spectral_gradient_norm,derivative_gradient_norm,weak_gradient_norm,validation_curve_mae_deg
1,0.017671486362814903,0.42099446058273315,0.8903259634971619,0.0,0.5,0.1,0.0,0.31720131635665894,0.0008655614219605923,0.024219680577516556,0.01615014486014843,nan,0.001817213138565421
2,0.017668407410383224,0.4208357036113739,0.8902512192726135,0.0,0.5,0.1,0.0,0.31711137294769287,nan,nan,nan,nan,0.001815927680581808
3,0.01766563579440117,0.4206776022911072,0.8901815414428711,0.0,0.5,0.1,0.0,0.3170225918292999,nan,nan,nan,nan,0.0018153892597183585
4,0.01766284555196762,0.42052099108695984,0.8901153802871704,0.0,0.5,0.1,0.0,0.31693488359451294,nan,nan,nan,nan,0.001814716961234808
5,0.017660168930888176,0.4203646779060364,0.8900492787361145,0.0,0.5,0.1,0.0,0.31684744358062744,nan,nan,nan,nan,0.0018139302264899015
6,0.017657557502388954,0.42020881175994873,0.8899853229522705,0.0,0.5,0.1,0.0,0.31676051020622253,nan,nan,nan,nan,0.0018132205586880445
7,0.017654934898018837,0.42005324363708496,0.8899232149124146,0.0,0.5,0.1,0.0,0.3166738748550415,nan,nan,nan,nan,0.001812573755159974
8,0.017652325332164764,0.4198977053165436,0.8898627161979675,0.0,0.5,0.1,0.0,0.3165874481201172,0.0007793481345288455,0.02402067929506302,0.01181258074939251,nan,0.0018118588486686349
9,0.01764979027211666,0.41974225640296936,0.8898037075996399,0.0,0.5,0.1,0.0,0.31650128960609436,nan,nan,nan,nan,0.0018110700184479356
10,0.017647337168455124,0.41958674788475037,0.8897454738616943,0.0,0.5,0.1,0.0,0.3164152503013611,nan,nan,nan,nan,0.0018103272886946797
11,0.017644936218857765,0.4194313585758209,0.8896881341934204,0.0,0.5,0.1,0.0,0.3163294196128845,nan,nan,nan,nan,0.0018097145948559046
