ablation_id,random_seed,run_instance_id,status,test_Fw_mae_deg,test_Fw_rmse_deg,test_Fw_centered_mae_deg,test_Fw_centered_rmse_deg,test_Fw_offset_abs_error_deg,test_Fw_peak_to_peak_abs_error_deg,test_Fw_derivative_mae_deg_per_sample,test_Fw_periodic_closure_error_deg,test_Fw_retained_amplitude_mae_deg,test_Fw_retained_phase_mae_rad,test_Fw_sobolev_derivative_mae,test_Fw_sobolev_derivative_correlation,test_Fw_per_curve_mae_p95,test_Fw_per_curve_mae_worst,test_Fw_unsupported_high_frequency_energy_ratio,test_Fw_mean_mae_deg,test_Fw_centered_shape_mae_deg,test_Bw_mae_deg,test_Bw_rmse_deg,test_Bw_centered_mae_deg,test_Bw_centered_rmse_deg,test_Bw_offset_abs_error_deg,test_Bw_peak_to_peak_abs_error_deg,test_Bw_derivative_mae_deg_per_sample,test_Bw_periodic_closure_error_deg,test_Bw_retained_amplitude_mae_deg,test_Bw_retained_phase_mae_rad,test_Bw_sobolev_derivative_mae,test_Bw_sobolev_derivative_correlation,test_Bw_per_curve_mae_p95,test_Bw_per_curve_mae_worst,test_Bw_unsupported_high_frequency_energy_ratio,test_Bw_mean_mae_deg,test_Bw_centered_shape_mae_deg,test_global_mae_deg,test_global_rmse_deg,test_global_centered_mae_deg,test_global_centered_rmse_deg,test_global_offset_abs_error_deg,test_global_peak_to_peak_abs_error_deg,test_global_derivative_mae_deg_per_sample,test_global_periodic_closure_error_deg,test_global_retained_amplitude_mae_deg,test_global_retained_phase_mae_rad,test_global_sobolev_derivative_mae,test_global_sobolev_derivative_correlation,test_global_per_curve_mae_p95,test_global_per_curve_mae_worst,test_global_unsupported_high_frequency_energy_ratio,test_global_mean_mae_deg,test_global_centered_shape_mae_deg,best_epoch,best_validation_loss,checkpoint_path,parameter_count,runtime_target_derived_input_count,passed_branch_list,campaign_output_directory,validation_Fw_mae_deg,validation_Fw_rmse_deg,validation_Fw_centered_mae_deg,validation_Fw_centered_rmse_deg,validation_Fw_offset_abs_error_deg,validation_Fw_peak_to_peak_abs_error_deg,validation_Fw_derivative_mae_deg_per_sample,validation_Fw_periodic_closure_error_deg,validation_Fw_retained_amplitude_mae_deg,validation_Fw_retained_phase_mae_rad,validation_Fw_sobolev_derivative_mae,validation_Fw_sobolev_derivative_correlation,validation_Fw_per_curve_mae_p95,validation_Fw_per_curve_mae_worst,validation_Fw_unsupported_high_frequency_energy_ratio,validation_Fw_mean_mae_deg,validation_Fw_centered_shape_mae_deg,validation_Bw_mae_deg,validation_Bw_rmse_deg,validation_Bw_centered_mae_deg,validation_Bw_centered_rmse_deg,validation_Bw_offset_abs_error_deg,validation_Bw_peak_to_peak_abs_error_deg,validation_Bw_derivative_mae_deg_per_sample,validation_Bw_periodic_closure_error_deg,validation_Bw_retained_amplitude_mae_deg,validation_Bw_retained_phase_mae_rad,validation_Bw_sobolev_derivative_mae,validation_Bw_sobolev_derivative_correlation,validation_Bw_per_curve_mae_p95,validation_Bw_per_curve_mae_worst,validation_Bw_unsupported_high_frequency_energy_ratio,validation_Bw_mean_mae_deg,validation_Bw_centered_shape_mae_deg,validation_global_mae_deg,validation_global_rmse_deg,validation_global_centered_mae_deg,validation_global_centered_rmse_deg,validation_global_offset_abs_error_deg,validation_global_peak_to_peak_abs_error_deg,validation_global_derivative_mae_deg_per_sample,validation_global_periodic_closure_error_deg,validation_global_retained_amplitude_mae_deg,validation_global_retained_phase_mae_rad,validation_global_sobolev_derivative_mae,validation_global_sobolev_derivative_correlation,validation_global_per_curve_mae_p95,validation_global_per_curve_mae_worst,validation_global_unsupported_high_frequency_energy_ratio,validation_global_mean_mae_deg,validation_global_centered_shape_mae_deg,gate_ablation_id,gate_specialty_surface,gate_specialty_metric,gate_specialty_improved,gate_multi_index_non_regression_passed,gate_passed
A00,271828,frozen_global_k01,completed_replay,0.0014014243143452107,0.0016597789230399793,0.0011496989349024077,0.0013905770133727027,0.0006093071595627017,0.002618265105220499,0.0008608399793244274,0.0006700430987114759,0.0001518788247914141,0.2234892148176255,0.2575763392595516,0.4693000616899242,0.0037972928785404243,0.007970097112880622,0.02090718278328149,0.0006093071595627017,0.0011496989349024077,0.0015188854802296403,0.001806310392686515,0.001291704025594491,0.0015671004681530676,0.0005449537772540541,0.0030117238286116576,0.0009149726183229487,0.0010290793671282295,0.000188101932123775,0.23026471668717913,0.2747465310421744,0.5279644510130284,0.004650472436566368,0.017613414005373994,0.02784773465776524,0.0005449537772540541,0.001291704025594491,0.0014601548972874253,0.001733044657863247,0.0012207014802484493,0.001478838740762885,0.000577130468408378,0.002814994466916078,0.0008879062988236882,0.0008495612329198528,0.00016999037845759457,0.2268769657524023,0.266161435150863,0.49863225635147634,0.0042331002725425875,0.017613414005373994,0.023536528767730904,0.000577130468408378,0.0012207014802484493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00D,271828,frozen_directional_k01,completed_replay,0.001354961102551129,0.001615516749759025,0.0012051988429930762,0.0014442094691313968,0.0004908166281119784,0.0031592977517518562,0.0008873258157853207,0.000735483833195008,0.0001672080491242222,0.2824329887183208,0.26642577119412325,0.4373558819478724,0.003932766234174829,0.009294339375429554,0.007936460733759795,0.0004908166281119784,0.0012051988429930762,0.0015797730225285034,0.0018651367856135574,0.001336310517788441,0.0016104440034511217,0.0005631956793182054,0.003743720439592254,0.0009386257006500262,0.0008778541550501106,0.00018844046792351518,0.2181843910027339,0.28235844441970104,0.5403333964307812,0.005240673734512731,0.019077579945834672,0.019860687534380358,0.0005631956793182054,0.001336310517788441,0.0014673670625398162,0.0017403267676862914,0.0012707546803907585,0.0015273267362912594,0.0005270061537150919,0.0034515090956720555,0.0009129757582176733,0.0008066689941225593,0.00017782425852386866,0.25030868986052734,0.27439210780691214,0.48884463918932675,0.004916139032680376,0.019077579945834672,0.012453818917827583,0.0005270061537150919,0.0012707546803907585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01,271828,frozen_global_k01,completed_replay,0.0014014243143452107,0.0016597789230399793,0.0011496989349024077,0.0013905770133727027,0.0006093071595627017,0.002618265105220499,0.0008608399793244274,0.0006700430987114759,0.0001518788247914141,0.2234892148176255,0.2575763392595516,0.4693000616899242,0.0037972928785404243,0.007970097112880622,0.02090718278328149,0.0006093071595627017,0.0011496989349024077,0.0015188854802296403,0.001806310392686515,0.001291704025594491,0.0015671004681530676,0.0005449537772540541,0.0030117238286116576,0.0009149726183229487,0.0010290793671282295,0.000188101932123775,0.23026471668717913,0.2747465310421744,0.5279644510130284,0.004650472436566368,0.017613414005373994,0.02784773465776524,0.0005449537772540541,0.001291704025594491,0.0014601548972874253,0.001733044657863247,0.0012207014802484493,0.001478838740762885,0.000577130468408378,0.002814994466916078,0.0008879062988236882,0.0008495612329198528,0.00016999037845759457,0.2268769657524023,0.266161435150863,0.49863225635147634,0.0042331002725425875,0.017613414005373994,0.023536528767730904,0.000577130468408378,0.0012207014802484493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A02,314159,2026-08-03-17-49-51__a02__seed_314159,completed,0.0013971210255363019,0.0016545876570281067,0.0011443296897032827,0.0013842632327998301,0.0006093067755121556,0.00260466229662099,0.0008589514560875223,0.0006070456962033952,0.0001527596564495748,0.225454603448688,0.25695061404000435,0.4734584308772792,0.0037933628113652213,0.007850816060447805,0.018117327296314312,0.0006093067755121556,0.0011443296897032827,0.0015188854802296403,0.001806310392686515,0.001291704025594491,0.0015671004681530676,0.0005449537772540541,0.0030117238286116576,0.0009149726183229487,0.0010290793671282295,0.000188101932123775,0.23026471668717913,0.2747465310421744,0.5279644510130284,0.004650472436566368,0.017613414005373994,0.02784773465776524,0.0005449537772540541,0.001291704025594491,0.0014580032528829709,0.0017304490248573109,0.0012180168576488867,0.001475681850476449,0.0005771302763831048,0.002808193062616324,0.0008869620372052355,0.0008180625316658124,0.00017043079428667493,0.22785966006793354,0.26584857254108935,0.5007114409451537,0.0042331003548632265,0.017613414005373994,0.021803581161849824,0.0005771302763831048,0.0012180168576488867,6,0.0018634095322340727,output/training_runs/integrated_specialist_models/2026-08-03-17-49-51__a02__seed_314159/best_model.pt,1022,0,,output/training_campaigns/2026-08-03-17-49-23_wave52r_integrated_specialist_model_2026_08_02,0.001520869747203025,0.0017886558371856076,0.001163541573475638,0.0014101202561960784,0.0007860033201995445,0.002540967252228576,0.0008714607802646863,0.0007172361293509987,0.00015421218502321483,0.21077265162147232,0.2616508319595637,0.507048187326677,0.004395169449283753,0.008140453330424562,0.017188723111973683,0.0007860033201995445,0.0011635415734756382,0.0015723549873998194,0.0018832867255824985,0.001370753398350258,0.0016634883661387676,0.0005679928740526953,0.003567246661615223,0.0009549255707224117,0.0011964132721276628,0.00021739622094011743,0.2232528802134814,0.2889001507909375,0.5765510900545614,0.005046347828399427,0.016319170114694755,0.02869505650544525,0.0005679928740526953,0.001370753398350258,0.001546612367301422,0.0018359712813840528,0.0012671474859129483,0.0015368043111674231,0.0006769980971261198,0.0030541069569219,0.0009131931754935489,0.0009568247007393307,0.00018580420298166611,0.21701276591747687,0.2752754913752506,0.5417996386906191,0.004896676156168903,0.016319170114694755,0.02142514148127219,0.0006769980971261198,0.0012671474859129478,A02,Fw,retained_phase_mae_rad,True,True,True
A02,271828,2026-08-03-17-50-18__a02__seed_271828,completed,0.0013981706071508084,0.001655924083889868,0.0011455279962712327,0.001385768763872599,0.0006093072555753384,0.0025986022940567006,0.000859411313358981,0.0006182038023607018,0.00015294785011587498,0.22624917129368258,0.2571000676731556,0.4732016538754988,0.003794204549552995,0.007871891865061584,0.01889014551751899,0.0006093072555753384,0.0011455279962712327,0.0015188854802296403,0.001806310392686515,0.001291704025594491,0.0015671004681530676,0.0005449537772540541,0.0030117238286116576,0.0009149726183229487,0.0010290793671282295,0.000188101932123775,0.23026471668717913,0.2747465310421744,0.5279644510130284,0.004650472436566368,0.017613414005373994,0.02784773465776524,0.0005449537772540541,0.001291704025594491,0.0014585280436902243,0.0017311172382881912,0.0012186160109328619,0.0014764346160128332,0.0005771305164146962,0.002805163061334179,0.0008871919658409649,0.0008236415847444657,0.00017052489111982498,0.22825694399043087,0.26592329935766496,0.5005830524442636,0.004233100341266281,0.017613414005373994,0.022283625958435138,0.0005771305164146962,0.0012186160109328619,6,0.0018633942818269134,output/training_runs/integrated_specialist_models/2026-08-03-17-50-18__a02__seed_271828/best_model.pt,1022,0,,output/training_campaigns/2026-08-03-17-49-23_wave52r_integrated_specialist_model_2026_08_02,0.0015207403714088369,0.001788928158948299,0.0011639423440217964,0.0014108149251387877,0.0007860034546172356,0.0025301900642052347,0.0008714695862978615,0.000726315089664662,0.00015463559506637394,0.21246673874975894,0.2616584538929117,0.5068421019905306,0.0043944104258419655,0.008162869382996266,0.017817460227066418,0.0007860034546172356,0.0011639423440217961,0.0015723549873998194,0.0018832867255824985,0.001370753398350258,0.0016634883661387676,0.0005679928740526953,0.003567246661615223,0.0009549255707224117,0.0011964132721276628,0.00021739622094011743,0.2232528802134814,0.2889001507909375,0.5765510900545614,0.005046347828399427,0.016319170114694755,0.02869505650544525,0.0005679928740526953,0.001370753398350258,0.0015465476794043278,0.0018361074422653988,0.001267347871186027,0.001537151645638778,0.0006769981643349654,0.0030487183629102294,0.0009131975785101366,0.0009613641808961623,0.0001860159080032457,0.21785980948162018,0.2752793023419246,0.5416965960225459,0.004896772259508234,0.016319170114694755,0.021822389261513055,0.0006769981643349654,0.001267347871186027,A02,Fw,retained_phase_mae_rad,True,True,True
A02,161803,2026-08-03-17-50-45__a02__seed_161803,completed,0.0013984454845192102,0.0016560641537090252,0.0011457274660274807,0.0013858086765412279,0.0006093069099298467,0.002613223705017839,0.0008594737174371476,0.0006106820451959814,0.00015298908519561437,0.22640428223192233,0.25712562756569174,0.4732717271391601,0.003793461198103267,0.007907891982750256,0.018327411752303444,0.0006093069099298467,0.0011457274660274807,0.0015188854802296403,0.001806310392686515,0.001291704025594491,0.0015671004681530676,0.0005449537772540541,0.0030117238286116576,0.0009149726183229487,0.0010290793671282295,0.000188101932123775,0.23026471668717913,0.2747465310421744,0.5279644510130284,0.004650472436566368,0.017613414005373994,0.02784773465776524,0.0005449537772540541,0.001291704025594491,0.0014586654823744252,0.0017311872731977699,0.0012187157458109859,0.0014764545723471474,0.0005771303435919504,0.002812473766814748,0.000887223167880048,0.0008198807061621055,0.0001705455086596947,0.2283344994595507,0.2659360793039331,0.5006180890760943,0.004233100340675109,0.017613414005373994,0.02193407681566919,0.0005771303435919504,0.0012187157458109859,8,0.0018630798440426588,output/training_runs/integrated_specialist_models/2026-08-03-17-50-45__a02__seed_161803/best_model.pt,1022,0,,output/training_campaigns/2026-08-03-17-49-23_wave52r_integrated_specialist_model_2026_08_02,0.0015202666634344978,0.0017882611342181515,0.0011633167707733676,0.0014099542402916075,0.0007860031569780623,0.002540819679345801,0.0008712862120331297,0.0007197230450626578,0.00015452977150089473,0.21164148130565233,0.26159739493442413,0.5069408592736818,0.004388290794989094,0.008198242381536387,0.017205834987767805,0.0007860031569780623,0.0011633167707733674,0.0015723549873998194,0.0018832867255824985,0.001370753398350258,0.0016634883661387676,0.0005679928740526953,0.003567246661615223,0.0009549255707224117,0.0011964132721276628,0.00021739622094011743,0.2232528802134814,0.2889001507909375,0.5765510900545614,0.005046347828399427,0.016319170114694755,0.02869505650544525,0.0005679928740526953,0.001370753398350258,0.0015463108254171588,0.001835773929900325,0.0012670350845618128,0.0015367213032151878,0.0006769980155153787,0.0030540331704805124,0.0009131058913777706,0.0009580681585951603,0.00018596299622050612,0.2174471807595669,0.2752487728626808,0.5417459746641217,0.004896860410284868,0.016319170114694755,0.02143595308203791,0.0006769980155153787,0.0012670350845618128,A02,Fw,retained_phase_mae_rad,True,True,True
A03,314159,2026-08-03-17-51-11__a03__seed_314159,completed,0.0013999804194808163,0.0016582522063234811,0.0011478145940226002,0.0013886768627169453,0.0006093072555753384,0.0026318760031119096,0.0008601456021862523,0.0006477631215658999,0.00015194195189833357,0.22512844853083375,0.25732004169243644,0.4713755336741449,0.0037992464428861735,0.007910047645424113,0.020344843824273276,0.0006093072555753384,0.0011478145940226002,0.0015133347782704764,0.0018013209314769608,0.0012864076108249271,0.0015625063975020512,0.0005449536212335197,0.0029091309835958565,0.0009121140611363342,0.0010344931500551012,0.00018669979062997422,0.23765018948137745,0.27375159628752227,0.526767012074444,0.0045622897251192005,0.017454379276029178,0.02672666265392476,0.0005449536212335197,0.0012864076108249274,0.0014566575988756462,0.0017297865689002209,0.0012171111024237636,0.0014755916301094985,0.000577130438404429,0.0027705034933538826,0.0008861298316612934,0.0008411281358105006,0.0001693208712641539,0.2313893190061056,0.26553581898997936,0.4990712728742945,0.0042120221421316556,0.017454379276029178,0.02276252218773375,0.000577130438404429,0.0012171111024237636,27,0.001863738871179521,output/training_runs/integrated_specialist_models/2026-08-03-17-51-11__a03__seed_314159/best_model.pt,1022,0,,output/training_campaigns/2026-08-03-17-49-23_wave52r_integrated_specialist_model_2026_08_02,0.0015218268671278643,0.001790301854055918,0.0011654806660484102,0.0014125942729305181,0.0007860032529906989,0.0025771394892537504,0.0008716352221114476,0.000737198234233314,0.00015463444077734256,0.21740282854527823,0.26170972870874815,0.5064371591042801,0.0043858835116382935,0.00820190312531516,0.01892141907412796,0.0007860032529906989,0.0011654806660484102,0.0015720522469344974,0.0018845438490780876,0.0013687965900401815,0.0016635086441938692,0.0005679927792402166,0.003531299650586953,0.0009549506409771585,0.0012165245062373963,0.00021803862709460692,0.21839712687036109,0.2887836331282446,0.5781769218883598,0.005051651600341317,0.016170677683961042,0.02922444779286342,0.0005679927792402166,0.0013687965900401815,0.001546939557031181,0.001837422851567003,0.0012671386280442957,0.0015380514585621942,0.0006769980161154578,0.003054219569920352,0.0009132929315443032,0.000976861370235355,0.00018633653393597475,0.2178999777078197,0.2752466809184964,0.54230704049632,0.004705438112724897,0.016170677683961042,0.02271480299851745,0.0006769980161154578,0.0012671386280442957,A03,global,centered_shape_mae_deg,False,True,False
A03,271828,2026-08-03-17-51-38__a03__seed_271828,completed,0.0013985658739669108,0.0016567385258291366,0.001146340657594311,0.0013870540738329113,0.0006093075052081933,0.002639607223988521,0.0008596147543367915,0.0006321218985699347,0.00015161202189548694,0.22797972701167613,0.257139343502613,0.4719226233699146,0.003798515156710477,0.007873574512234131,0.020252695834302184,0.0006093075052081933,0.0011463406575943113,0.001512087244034819,0.0018002249210537782,0.0012856868336579314,0.0015618558700886142,0.0005449535972303606,0.0029010108492766294,0.000911247193499059,0.001039533559040925,0.00018699490495967965,0.24208999317309252,0.2734746192225891,0.5262607357968083,0.004543734199887834,0.017391366563419983,0.027593922019508263,0.0005449535972303606,0.0012856868336579312,0.0014553265590008648,0.0017284817234414574,0.0012160137456261211,0.0014744549719607626,0.000577130551219277,0.002770309036632575,0.0008854309739179251,0.0008358277288054299,0.00016930346342758327,0.2350348600923843,0.2653069813626011,0.4990916795833614,0.004206766583401254,0.017391366563419983,0.023033838235993986,0.000577130551219277,0.0012160137456261211,24,0.0018647518008947372,output/training_runs/integrated_specialist_models/2026-08-03-17-51-38__a03__seed_271828/best_model.pt,1022,0,,output/training_campaigns/2026-08-03-17-49-23_wave52r_integrated_specialist_model_2026_08_02,0.0015225806021742746,0.0017908785648484808,0.0011656824890284281,0.0014127947852988713,0.0007860030513641621,0.0025843268052039726,0.0008717732304559548,0.0007361221162016628,0.00015440635080138712,0.2205955054925861,0.26175205583259653,0.5067862679621135,0.004387490237391951,0.008164635165491818,0.018985824720631733,0.0007860030513641621,0.0011656824890284281,0.001573028351748261,0.0018861331256872843,0.0013697650454196559,0.0016651145217192647,0.0005679928476492201,0.0035210071521066815,0.0009553623493494918,0.0012275393759428534,0.00021872780341332477,0.2209700540101143,0.28891583997221304,0.578022972428129,0.005027435350584048,0.016110067587194476,0.030431447226993216,0.0005679928476492201,0.0013697650454196559,0.0015478044769612674,0.001838505845267882,0.001267723767224042,0.001538954653509068,0.0006769979495066911,0.0030526669786553272,0.0009135677899027233,0.0009818307460722582,0.00018656707710735596,0.22078277975135022,0.2753339479024048,0.5424046201951213,0.004693417166354459,0.016110067587194476,0.023199890468241433,0.0006769979495066911,0.0012677237672240422,A03,global,centered_shape_mae_deg,False,True,False
A03,161803,2026-08-03-17-52-05__a03__seed_161803,completed,0.001399386487762969,0.0016579423744645426,0.0011474086599219861,0.0013886099680914703,0.000609307293980393,0.0026204421270595644,0.0008596551120433709,0.0006484392389520695,0.00015249303056434507,0.22585484856703134,0.25716259560674065,0.4711362539607809,0.0037962050007396297,0.00786817591080936,0.020996041827424563,0.000609307293980393,0.0011474086599219863,0.0015088360659297013,0.0017964386166806831,0.001281420039865949,0.0015570848289015616,0.0005449537940562655,0.002881378801267155,0.0009100036443758258,0.001039555063471198,0.00018599191518057462,0.23202410491177614,0.2730112472781935,0.5278107969332938,0.004547981487897759,0.017335928270825106,0.026513556431975317,0.0005449537940562655,0.001281420039865949,0.0014541112768463353,0.0017271904955726127,0.0012144143498939676,0.0014728473984965162,0.0005771305440183292,0.00275091046416336,0.0008848293782095981,0.0008439971512116338,0.00016924247287245986,0.22893947673940376,0.2650869214424671,0.49947352544703744,0.004199809540016633,0.017335928270825106,0.023086290391343006,0.0005771305440183292,0.0012144143498939676,31,0.0018635146552696824,output/training_runs/integrated_specialist_models/2026-08-03-17-52-05__a03__seed_161803/best_model.pt,1022,0,,output/training_campaigns/2026-08-03-17-49-23_wave52r_integrated_specialist_model_2026_08_02,0.0015214631214114593,0.0017900922946350888,0.0011650759037725084,0.001412382113874397,0.0007860030129591075,0.0025586301825642178,0.0008714016739591351,0.0007436626900429118,0.0001545967378644307,0.21889919236115457,0.2616206513093111,0.5061905637600029,0.004386473701939959,0.008158479722904406,0.01958963994408018,0.0007860030129591075,0.0011650759037725084,0.001572412163069457,0.0018850535578244106,0.0013673749010079499,0.0016627972121255519,0.000567992658024263,0.0035114512078641114,0.0009548901282813963,0.0012199762529338297,0.00021856502511470824,0.21744529057103038,0.2886914627471114,0.5788789135609322,0.005038771177286799,0.0160602305552373,0.029496517730558242,0.000567992658024263,0.0013673749010079499,0.0015469376422404583,0.0018375729262297496,0.0012662254023902292,0.0015375896629999742,0.0006769978354916852,0.003035040695214165,0.0009131459011202658,0.0009818194714883708,0.0001865808814895695,0.2181722414660925,0.2751560570282112,0.5425347386604675,0.004680655521746416,0.0160602305552373,0.02323716966655638,0.0006769978354916852,0.0012662254023902292,A03,global,centered_shape_mae_deg,False,True,False
A04,314159,2026-08-03-17-52-32__a04__seed_314159,completed,0.0013988140951732714,0.001656551103213267,0.0011476142175657182,0.001387443699746051,0.0006093068715247921,0.00270036436497872,0.0008602778763072947,0.0006789440701994085,0.00015031041572613574,0.23014896753192882,0.2574435056545843,0.47023572190702384,0.0037734382814051813,0.00803939540458372,0.020907169512484607,0.0006093068715247921,0.0011476142175657184,0.001513794814637947,0.0017983091088547942,0.0012820968023749767,0.0015550259536170647,0.0005449538060578451,0.003033386977032079,0.0009123729051010601,0.0010048724883764061,0.0001827305858990766,0.21241114312729284,0.27373685579145685,0.5416005653132225,0.0046410048510469,0.017883056433503526,0.02784771652492355,0.0005449538060578451,0.0012820968023749767,0.0014563044549056091,0.0017274301060340306,0.0012148555099703476,0.0014712348266815577,0.0005771303387913186,0.0028668756710053993,0.0008863253907041774,0.0008419082792879073,0.0001665205008126062,0.2212800553296108,0.2655901807230205,0.5059181436101231,0.004196751266321656,0.017883056433503526,0.02353652052442502,0.0005771303387913186,0.0012148555099703476,34,0.0024847788736224174,output/training_runs/integrated_specialist_models/2026-08-03-17-52-32__a04__seed_314159/best_model.pt,1022,0,,output/training_campaigns/2026-08-03-17-49-23_wave52r_integrated_specialist_model_2026_08_02,0.0015219486094258028,0.0017892565003187265,0.0011644805933140197,0.0014111425867907954,0.0007860031473767987,0.0026521517584078926,0.000871564338118081,0.0007517908354165013,0.00015392923904296104,0.21795802862366873,0.2617715091090069,0.5054755620604965,0.0043361583433828,0.008326056320807407,0.019311204783743745,0.0007860031473767987,0.00116448059331402,0.0015580382748750239,0.0018643159756536846,0.0013548903746377656,0.0016428167991911194,0.000567992659224421,0.0035620257905101763,0.0009490569427047374,0.0011663432245037145,0.00021819221504168978,0.21329195105945448,0.28682163660941307,0.5887314777217174,0.00505624773443979,0.01657141639815591,0.028695033352245925,0.000567992659224421,0.0013548903746377656,0.0015399934421504132,0.0018267862379862053,0.0012596854839758928,0.0015269796929909575,0.0006769979033006098,0.0031070887744590343,0.0009103106404114095,0.0009590670299601078,0.00018606072704232534,0.21562498984156156,0.27429657285921,0.547103519891107,0.004876463449344294,0.01657141639815591,0.022766159928849932,0.0006769979033006098,0.0012596854839758928,A04,global,centered_shape_mae_deg,False,False,False
