optimization_step,raw_gradient_norm,mean_gradient_norm,shape_gradient_norm,closure_gradient_norm,correction_gradient_norm,projection_count
0,0.001152599579654634,0.001175308134406805,0.0004736153350677341,0.006577421445399523,0.0,0
100,0.0012919023865833879,0.0009942514589056373,0.0011798182968050241,0.011210747994482517,0.0014990317868068814,0
200,0.0014394032768905163,0.0025530599523335695,0.0011398206697776914,0.012197556905448437,0.0015281315427273512,0
300,0.001742916414514184,0.004562252201139927,0.0010044076479971409,0.011062949895858765,0.0015899447025731206,0
400,0.002514001913368702,0.0025799579452723265,0.0007440219633281231,0.01789352297782898,0.0019902531057596207,0
500,0.0015025630127638578,0.001887185382656753,0.0013096905313432217,0.0249487217515707,0.0016689063049852848,0
600,0.0012134069111198187,0.002507478464394808,0.0012058840366080403,0.01173898484557867,0.0017510788748040795,0
700,0.002299724845215678,0.003637164831161499,0.0011809894349426031,0.02076527662575245,0.002045544795691967,0
800,0.0019054159056395292,0.002645877655595541,0.0012690406292676926,0.023251386359333992,0.001827760599553585,0
900,0.0014981819549575448,0.0030549929942935705,0.0012293154140934348,0.012293420732021332,0.0021443888545036316,0
1000,0.0024206223897635937,0.001340890652500093,0.0011544054141268134,0.00499956076964736,0.0015634254086762667,0
1100,0.0011764869559556246,0.002859809435904026,0.0010574697516858578,0.009746982716023922,0.0017948549939319491,0
1200,0.0029999956022948027,0.0029005727265030146,0.0017665430204942822,0.013844300992786884,0.0015944160986691713,0
1300,0.0016148563008755445,0.0018371189944446087,0.001452089287340641,0.01389839593321085,0.0017130621708929539,0
1400,0.002130307490006089,0.00402181688696146,0.0018218487966805696,0.01677962765097618,0.0018783826380968094,0
1500,0.0018378887325525284,0.003562559839338064,0.0013120168587192893,0.01585954986512661,0.001301275915466249,0
