epoch,curve_loss,complex_loss,band_loss,surface_loss,total_loss,validation_curve_mae_deg
1,0.02687900699675083,2.871826171875,3.592784881591797,0.0,3.7969014644622803,0.004180492367595434
2,0.06081400439143181,133.6044921875,103.44966888427734,0.0,159.52772521972656,0.003220564918592572
3,0.04039868712425232,67.93790435791016,68.71707153320312,0.0,85.1575698852539,0.002850663848221302
4,0.03521030396223068,30.273780822753906,35.25777816772461,0.0,39.123435974121094,0.002666289685294032
5,0.03291653096675873,23.752321243286133,13.441177368164062,0.0,27.145532608032227,0.0024421364068984985
6,0.030151700600981712,18.34181022644043,16.63557243347168,0.0,22.530855178833008,0.002499551512300968
7,0.030610475689172745,18.03672218322754,21.95908546447754,0.0,23.557104110717773,0.0025382996536791325
8,0.031196005642414093,17.351594924926758,17.362600326538086,0.0,21.72344207763672,0.002377075608819723
9,0.029529204592108727,12.154378890991211,8.44054889678955,0.0,14.294045448303223,0.002187024336308241
10,0.02748977579176426,5.363950729370117,3.7356629371643066,0.0,6.3253560066223145,0.0021886080503463745
11,0.027472639456391335,5.214343547821045,5.514384746551514,0.0,6.620412349700928,0.002275680424645543
12,0.028252247720956802,8.903189659118652,6.966589450836182,0.0,10.673089981079102,0.0022715223021805286
13,0.028144722804427147,8.397457122802734,5.324549198150635,0.0,9.756739616394043,0.002184554934501648
14,0.027282768860459328,4.131296634674072,2.962596893310547,0.0,4.899228572845459,0.0020880778320133686
15,0.026561951264739037,2.3909199237823486,2.1810874938964844,0.0,2.9627537727355957,0.002120817778632045
16,0.02690819650888443,4.339083671569824,2.975311279296875,0.0,5.1098198890686035,0.0021499593276530504
17,0.027187833562493324,5.044427871704102,3.0741467475891113,0.0,5.840152263641357,0.0021170522086322308
18,0.02689136564731598,3.328089714050293,2.3079850673675537,0.0,3.9319775104522705,0.0020537544041872025
19,0.026345349848270416,1.5920053720474243,1.3923063278198242,0.0,1.9664273262023926,0.002073423471301794
20,0.026351507753133774,1.9566905498504639,1.244277834892273,0.0,2.294111490249634,0.0020907900761812925
21,0.026445794850587845,2.5537688732147217,1.7122143507003784,0.0,3.008268356323242,0.0020956324879080057
22,0.026387430727481842,2.301210641860962,1.863930583000183,0.0,2.7935807704925537,0.0020809376146644354
23,0.026285583153367043,1.7958039045333862,1.4112409353256226,0.0,2.1748995780944824,0.002071222523227334
24,0.026153121143579483,1.319488286972046,0.9245204329490662,0.0,1.5767714977264404,0.002046688925474882
25,0.026054924353957176,1.1080025434494019,1.0308449268341064,0.0,1.3917686939239502,0.0020700341556221247
26,0.026096288114786148,1.3134551048278809,1.140109896659851,0.0,1.6245789527893066,0.0020497830118983984
27,0.026127776131033897,1.374036192893982,1.07630455493927,0.0,1.669240117073059,0.0020511597394943237
28,0.026025226339697838,1.1858845949172974,1.0746058225631714,0.0,1.4805612564086914,0.0020757170859724283
29,0.02604728378355503,1.0027846097946167,1.0159589052200317,0.0,1.282821536064148,0.0020619654096663
30,0.026089856401085854,1.2175027132034302,1.2266591787338257,0.0,1.5502574443817139,0.0020572494249790907
31,0.02602379210293293,0.9509974718093872,0.9219695925712585,0.0,1.207513689994812,0.0020883670076727867
32,0.026077086105942726,1.0054941177368164,1.1660118103027344,0.0,1.3230741024017334,0.002077988348901272
