epoch,training_raw_mae_deg,validation_score,validation_curve_mae_deg,adaptive_effective_sample_size,closure_multiplier,correction_multiplier,penalty
1,0.0017982863247134658,0.0025647077709436417,0.001772441202774644,675.0000000000001,0.0,0.0,1.0
2,0.0018008380673479201,0.002565583446994424,0.0017691978719085455,675.0000000000001,0.0,0.0,1.0
3,0.0017966809709621377,0.002552283927798271,0.0017644716426730156,675.0000000000001,0.0,0.0,1.0
4,0.0017942941549970487,0.0025348777417093515,0.0017530828481540084,675.0000000000001,0.0,0.0,1.0
5,0.0017706459620967507,0.0025290779303759336,0.0017503858543932438,675.0000000000001,0.0,0.0,1.0
6,0.0017694128801786276,0.002520164707675576,0.00174466404132545,675.0000000000001,0.0,0.0,1.0
7,0.0017472502022851692,0.0025205567944794893,0.0017475157510489225,675.0000000000001,0.0,0.0,1.0
8,0.001755821066475365,0.0025212240871042013,0.0017433561151847243,675.0000000000001,0.0,0.0,1.0
9,0.0017390522001267865,0.002514318795874715,0.0017411599401384592,675.0000000000001,0.0,0.0,1.0
10,0.0017370544631185746,0.002521108603104949,0.0017435753252357244,675.0000000000001,0.0,0.0,1.0
11,0.001778355243258438,0.0025037326849997044,0.001735654310323298,675.0000000000001,0.0,0.0,1.0
12,0.0017352510408801568,0.0024882983416318893,0.001726730726659298,675.0000000000001,0.0,0.0,1.0
13,0.0017357512193103863,0.0024970006197690964,0.0017307657981291413,675.0000000000001,0.0,0.0,1.0
14,0.0017326703988188921,0.0024825511500239372,0.0017214518738910556,675.0000000000001,0.0,0.0,1.0
15,0.0017185626324092926,0.002474203472957015,0.0017189072677865624,675.0000000000001,0.0,0.0,1.0
16,0.0017340557073069693,0.0024720169603824615,0.0017167491605505347,675.0000000000001,0.0,0.0,1.0
17,0.0017530930277263356,0.0024758896324783564,0.001720129745081067,675.0000000000001,0.0,0.0,1.0
18,0.0017186543446705612,0.002458947477862239,0.001708661438897252,675.0000000000001,0.0,0.0,1.0
19,0.0017207543268193339,0.002444291254505515,0.0017003573011606932,675.0000000000001,0.0,0.0,1.0
20,0.0017218108554262407,0.0024649130646139383,0.0017117711249738932,675.0000000000001,0.0,0.0,1.0
21,0.0017323626860499728,0.002451751148328185,0.0017026674468070269,675.0000000000001,0.0,0.0,1.0
22,0.0017144166198450812,0.0024589463137090206,0.00170957634691149,675.0000000000001,0.0,0.0,1.0
23,0.0017691191047603308,0.002446984639391303,0.00170055590569973,675.0000000000001,0.0,0.0,1.0
24,0.001699918159554431,0.0024576173163950443,0.0017063739942386746,675.0000000000001,0.0,0.0,1.0
25,0.0017578763816895526,0.002431632950901985,0.0016907062381505966,675.0000000000001,0.0,0.0,1.0
26,0.0016938048431129997,0.002433914691209793,0.0016950174467638135,675.0000000000001,0.0,0.0,1.0
27,0.0017299020763075108,0.0024402285926043987,0.001697010826319456,675.0000000000001,0.0,0.0,1.0
28,0.0017110893305196146,0.002436127280816436,0.0016941676149144769,675.0000000000001,0.0,0.0,1.0
29,0.001697791978543581,0.0024179767351597548,0.001684132614172995,675.0000000000001,0.0,0.0,1.0
30,0.0016889744235181012,0.002417114330455661,0.0016830818494781852,675.0000000000001,0.0,0.0,1.0
31,0.0016881234207472137,0.0024113613180816174,0.001680878922343254,675.0000000000001,0.0,0.0,1.0
32,0.0016936068314799043,0.0023906021378934383,0.0016638509696349502,675.0000000000001,0.0,0.0,1.0
33,0.0017046741924660151,0.0023985947482287884,0.001666543073952198,675.0000000000001,0.0,0.0,1.0
34,0.0016650366623950905,0.0023987935855984688,0.001666439464315772,675.0000000000001,0.0,0.0,1.0
35,0.0016715027321519893,0.002357528544962406,0.0016459450125694275,675.0000000000001,0.0,0.0,1.0
36,0.0016646892316964303,0.0022677122615277767,0.001587883336469531,675.0000000000001,0.0,0.0,1.0
