epoch,curve_loss,mean_loss,shape_loss,compliance_loss,total_loss,effective_compliance_weight,raw_compliance_gradient_cosine,mean_compliance_gradient_cosine,shape_compliance_gradient_cosine,compliance_gradient_norm,derivative_mean_deg_per_nm,derivative_negative_fraction,validation_curve_mae_deg
1,0.01716289296746254,0.009403846226632595,0.010340074077248573,0.0,0.022098872810602188,0.0,nan,nan,nan,0.0,-3.502648837638844e-08,0.5896296501159668,0.0018180080223828554
2,0.017159478738904,0.00940022338181734,0.010339288040995598,0.0,0.022094357758760452,0.0,nan,nan,nan,0.0,-1.9038862930642608e-08,0.5540740489959717,0.0018175424775108695
3,0.01715606264770031,0.009396770969033241,0.010338378138840199,0.0,0.022089850157499313,0.0,nan,nan,nan,0.0,-2.074149385578039e-08,0.5555555820465088,0.0018160897307097912
4,0.017152709886431694,0.009393277578055859,0.010337559506297112,0.0,0.022085418924689293,0.0,nan,nan,nan,0.0,-2.526962994409132e-08,0.5644444227218628,0.0018150679534301162
5,0.01714947447180748,0.009389765560626984,0.01033687125891447,0.0,0.022081132978200912,0.0,nan,nan,nan,0.0,-2.6234728167651156e-08,0.5644444227218628,0.0018147650407627225
6,0.0171461533755064,0.009386214427649975,0.010336128063499928,0.0,0.022076738998293877,0.0,nan,nan,nan,0.0,-2.3250676051134178e-08,0.5555555820465088,0.001814730348996818
7,0.017142849043011665,0.009382657706737518,0.010335403494536877,0.0,0.022072363644838333,0.0,nan,nan,nan,0.0,-1.8775233812107217e-08,0.5348148345947266,0.0018144341884180903
8,0.0171396154910326,0.009379091672599316,0.010334759019315243,0.0,0.022068077698349953,0.0,nan,nan,nan,0.0,-1.5293391442128268e-08,0.5244444608688354,0.0018136815633624792
9,0.017136365175247192,0.009375463239848614,0.010334137827157974,0.0,0.022063765674829483,0.0,nan,nan,nan,0.0,-1.4016949378969912e-08,0.5199999809265137,0.0018126743379980326
10,0.017133096233010292,0.009371795691549778,0.01033352967351675,0.0,0.022059427574276924,0.0,nan,nan,nan,0.0,-1.4581561735838022e-08,0.512592613697052,0.0018117312574759126
11,0.017129849642515182,0.009368116967380047,0.010332952253520489,0.0,0.022055115550756454,0.0,nan,nan,nan,0.0,-1.5836654654322047e-08,0.5140740871429443,0.0018110560486093163
12,0.017126616090536118,0.009364424273371696,0.010332399979233742,0.0,0.022050822153687477,0.0,nan,nan,nan,0.0,-1.662893112097663e-08,0.5096296072006226,0.0018106255447492003
13,0.017123384401202202,0.00936072040349245,0.010331856086850166,0.0,0.0220465287566185,0.0,nan,nan,nan,0.0,-1.6344307240956368e-08,0.5066666603088379,0.0018102762987837195
