epoch,curve_loss,complex_loss,band_loss,surface_loss,total_loss,validation_curve_mae_deg
1,6.381070613861084,3276.602294921875,0.0,0.0,3282.9833984375,0.05391715466976166
2,5.974575519561768,2688.7998046875,0.0,0.0,2694.7744140625,0.05195370689034462
3,5.50579833984375,1926.0428466796875,0.0,0.0,1931.548583984375,0.04977237805724144
4,5.045337200164795,1324.0667724609375,0.0,0.0,1329.112060546875,0.04729484021663666
5,4.564032554626465,796.0634765625,0.0,0.0,800.6275024414062,0.044517263770103455
6,4.060564041137695,335.0939636230469,0.0,0.0,339.154541015625,0.04151780530810356
7,3.579221725463867,111.5553970336914,0.0,0.0,115.1346206665039,0.038496553897857666
8,3.1415083408355713,65.44998168945312,0.0,0.0,68.59149169921875,0.035834625363349915
9,2.8047170639038086,162.7630615234375,0.0,0.0,165.56777954101562,0.033508822321891785
10,2.5250604152679443,225.99041748046875,0.0,0.0,228.51547241210938,0.031528692692518234
11,2.296722888946533,206.52513122558594,0.0,0.0,208.8218536376953,0.029898352921009064
12,2.1200835704803467,153.9972381591797,0.0,0.0,156.11732482910156,0.028579002246260643
13,1.983535885810852,99.12195587158203,0.0,0.0,101.1054916381836,0.027458157390356064
14,1.8673126697540283,49.57036590576172,0.0,0.0,51.437679290771484,0.026395561173558235
15,1.7494980096817017,37.07538986206055,0.0,0.0,38.824886322021484,0.025117574259638786
16,1.5992332696914673,50.816864013671875,0.0,0.0,52.41609573364258,0.023701461032032967
17,1.4358466863632202,56.923912048339844,0.0,0.0,58.35976028442383,0.022144455462694168
18,1.2656973600387573,51.23455810546875,0.0,0.0,52.5002555847168,0.020471565425395966
19,1.093438744544983,41.35139846801758,0.0,0.0,42.4448356628418,0.018721288070082664
20,0.9248164296150208,29.63768196105957,0.0,0.0,30.562498092651367,0.016959600150585175
21,0.7664788365364075,21.306615829467773,0.0,0.0,22.073095321655273,0.015501297079026699
22,0.6422355771064758,22.8935489654541,0.0,0.0,23.535783767700195,0.014482325874269009
23,0.5537819266319275,20.488149642944336,0.0,0.0,21.04193115234375,0.013866097666323185
24,0.4989476501941681,17.173030853271484,0.0,0.0,17.671977996826172,0.01351971086114645
25,0.4685458242893219,13.246893882751465,0.0,0.0,13.715439796447754,0.013296847231686115
26,0.450358510017395,11.912697792053223,0.0,0.0,12.363056182861328,0.012944458052515984
27,0.4270080029964447,14.294384956359863,0.0,0.0,14.721392631530762,0.012475145980715752
28,0.3981513977050781,13.40390682220459,0.0,0.0,13.802058219909668,0.01192103698849678
29,0.3650549650192261,9.808126449584961,0.0,0.0,10.173181533813477,0.011233437806367874
30,0.32591769099235535,7.824308395385742,0.0,0.0,8.150225639343262,0.010387413203716278
31,0.2813129127025604,8.374468803405762,0.0,0.0,8.655781745910645,0.009575743228197098
32,0.24170778691768646,8.146172523498535,0.0,0.0,8.387880325317383,0.008819098584353924
33,0.20744949579238892,8.38821792602539,0.0,0.0,8.595667839050293,0.008195270784199238
34,0.1821901500225067,8.132308006286621,0.0,0.0,8.314497947692871,0.007777779828757048
35,0.16777855157852173,7.333728313446045,0.0,0.0,7.501506805419922,0.007505825720727444
36,0.1600176841020584,4.6580610275268555,0.0,0.0,4.818078517913818,0.0073129828087985516
37,0.15573549270629883,4.95897912979126,0.0,0.0,5.114714622497559,0.006986720021814108
38,0.14607511460781097,6.028584003448486,0.0,0.0,6.174659252166748,0.006495567038655281
39,0.13030555844306946,5.960899829864502,0.0,0.0,6.091205596923828,0.005855930037796497
40,0.10976563394069672,5.059352874755859,0.0,0.0,5.169118404388428,0.005222621373832226
41,0.09041547775268555,4.418935298919678,0.0,0.0,4.509350776672363,0.004776347894221544
42,0.0764893963932991,3.776747465133667,0.0,0.0,3.8532369136810303,0.00452720932662487
43,0.06782475113868713,4.665256023406982,0.0,0.0,4.733080863952637,0.00442397641018033
44,0.06316079944372177,4.864152431488037,0.0,0.0,4.927313327789307,0.0044826664961874485
45,0.062493450939655304,4.120519161224365,0.0,0.0,4.18301248550415,0.004631432238966227
46,0.06466580927371979,3.7744038105010986,0.0,0.0,3.8390696048736572,0.0047811162658035755
47,0.06772050261497498,3.4462995529174805,0.0,0.0,3.5140199661254883,0.00482916459441185
48,0.06902825832366943,3.1806492805480957,0.0,0.0,3.2496776580810547,0.004813436418771744
