split,condition_count,median_absolute_mean_gap_arcmin,p95_absolute_mean_gap_arcmin,median_raw_pair_rmse_deg,median_centered_pair_rmse_deg,median_centered_pair_correlation,median_absolute_target_derived_shift_deg,median_target_derived_aligned_centered_rmse_deg,median_slope_pair_rmse_deg_per_deg
train,678,4.674202078474439,8.322073063371565,0.07793906878856431,0.0021084261840160325,0.9851873126736437,0.703125,0.001835360484050206,0.00555794059017428
validation,194,4.780030118558642,8.433419073465409,0.07985382196978058,0.0019752085258722164,0.9870269372775782,0.703125,0.0017785711391142386,0.005591316250916365
test,97,3.7929226645942693,8.169104768554384,0.06323697599182172,0.0017206034083448,0.9899575634794728,0.703125,0.0015856037024545497,0.004960954055861365
