candidate_id,formulation,run_instance_id,spearman_correlation,top_quintile_average_precision,top_20_percent_error_capture_rate,normalized_area_under_risk_coverage,selective_curve_mae_80_percent_deg,marginal_90_coverage,marginal_90_mean_width_deg,simultaneous_90_curve_coverage,checkpoint_cost_multiplier,qualified_trust_component,deployment_ready,diagnostic_score
D01,dense_r00_k01_disagreement,2026-07-29-20-49-33__stage11_d01,0.28101988217967594,0.4988177138091082,0.4,0.6990225152145714,0.0012410928938143542,0.9070050740979382,0.006693086651177197,0.8865979381443299,1.0,False,False,0.48081508077421276
M01,composite_trust_estimator,2026-07-29-20-49-33__stage11_m01,0.3039922154428782,0.3624288153559373,0.35,0.6922905803974314,0.0012519973412240537,0.8982361469072165,0.006615588791693134,0.8762886597938144,1.0,False,False,0.3241304504013839
E01,k01_five_seed_ensemble_spread,2026-07-29-20-49-33__stage11_e01,0.35226435935198813,0.3283146171341795,0.3,0.8027905965634012,0.001265707503799309,0.9009795827963918,0.006521167703717672,0.8969072164948454,5.0,False,False,0.17778837992276642
A02,h04_k01_disagreement,2026-07-29-20-49-33__stage11_a02,0.16689459288870184,0.2651826637737853,0.3,0.8311594063374711,0.0013312968575915514,0.891455581507732,0.006207838225406463,0.8762886597938144,1.0,False,False,-0.09908214967498397
A03,pf_a_k01_disagreement,2026-07-29-20-49-33__stage11_a03,0.15557279612876077,0.23916253484409622,0.25,0.8682355418526773,0.001389380053820504,0.8941436452963918,0.006499823007812114,0.8969072164948454,1.0,False,False,-0.2235002108798203
S01,condition_distance,2026-07-29-20-49-33__stage11_s01,-0.030909838564448268,0.21094070369522516,0.35,0.835148901356338,0.0011885878476570908,0.9071208521262887,0.006831089810522578,0.9072164948453608,1.0,False,False,-0.3051180362255611
C00,constant_conformal_control,2026-07-29-20-49-33__stage11_c00,0.0,0.20618556701030927,0.2,1.0,0.0013715533536374368,0.9071208521262887,0.006831089810522578,0.9072164948453608,1.0,False,False,-0.5938144329896907
A01,pf_a_h04_disagreement,2026-07-29-20-49-33__stage11_a01,-0.04693088575636439,0.22264420091903314,0.3,1.0733792029397151,0.001271120892128005,0.9039445070876289,0.00692907788229245,0.8865979381443299,1.0,False,False,-0.5976658877770464
S02,support_boundary_score,2026-07-29-20-49-33__stage11_s02,-0.027724780516768424,0.17725722379163367,0.2,1.1176275826233426,0.0013645195417208724,0.8962628865979382,0.006793343660440226,0.9072164948453608,1.0,False,False,-0.7680951393484774
N01,shuffled_composite_control,2026-07-29-20-49-33__stage11_n01,-0.27153902798232693,0.1788033635067806,0.1,1.285047361978534,0.0014457196400153118,0.8965649162371134,0.006803993939300269,0.8969072164948454,1.0,False,False,-1.2777830264540804
