epoch,curve_loss,spectral_loss,derivative_loss,weak_loss,active_spectral_weight,active_derivative_weight,active_weak_weight,total_loss,curve_gradient_norm,spectral_gradient_norm,derivative_gradient_norm,weak_gradient_norm,validation_curve_mae_deg
1,0.01749066449701786,0.43554189801216125,0.8982904553413391,0.0,0.5,0.1,0.0,0.3250906765460968,0.0012238434283062816,0.46397897601127625,0.073553666472435,nan,0.0018592334818094969
2,0.017491530627012253,0.46257641911506653,0.8983064889907837,0.0,0.5,0.1,0.0,0.3386104106903076,nan,nan,nan,nan,0.0018554613925516605
3,0.01748712919652462,0.43816766142845154,0.8982951641082764,0.0,0.5,0.1,0.0,0.3264004588127136,nan,nan,nan,nan,0.0018565756035968661
4,0.01748935505747795,0.44865691661834717,0.898418128490448,0.0,0.5,0.1,0.0,0.33165961503982544,nan,nan,nan,nan,0.0018586175283417106
5,0.017488915473222733,0.4451708197593689,0.898384153842926,0.0,0.5,0.1,0.0,0.3299127221107483,nan,nan,nan,nan,0.0018599057802930474
6,0.01748691126704216,0.4385586678981781,0.8982755541801453,0.0,0.5,0.1,0.0,0.326593816280365,nan,nan,nan,nan,0.0018601281335577369
7,0.017485370859503746,0.43583419919013977,0.8982083797454834,0.0,0.5,0.1,0.0,0.32522329688072205,nan,nan,nan,nan,0.0018595464061945677
8,0.017484493553638458,0.4359634816646576,0.8981897234916687,0.0,0.5,0.1,0.0,0.3252852261066437,0.0013827524380758405,2.690706968307495,0.07361994683742523,nan,0.0018585877260193229
9,0.01748371496796608,0.4365147650241852,0.8981785178184509,0.0,0.5,0.1,0.0,0.32555896043777466,nan,nan,nan,nan,0.0018576692091301084
10,0.017482683062553406,0.43627646565437317,0.8981505036354065,0.0,0.5,0.1,0.0,0.32543596625328064,nan,nan,nan,nan,0.0018570905085653067
