epoch,curve_loss,complex_loss,band_loss,surface_loss,total_loss,validation_curve_mae_deg
1,0.01749066449701786,0.42433488368988037,0.0,0.0,0.4418255388736725,0.00366075336933136
2,0.04588117077946663,86.91075134277344,0.0,0.0,86.95663452148438,0.003701787441968918
3,0.04518892988562584,61.28778076171875,0.0,0.0,61.332969665527344,0.0035832931753247976
4,0.04276798292994499,28.204307556152344,0.0,0.0,28.2470760345459,0.003242639359086752
5,0.03693968802690506,30.053543090820312,0.0,0.0,30.090482711791992,0.003098527668043971
6,0.034516848623752594,31.6214542388916,0.0,0.0,31.65597152709961,0.0028851362876594067
7,0.030618837103247643,26.437978744506836,0.0,0.0,26.468597412109375,0.002640001242980361
8,0.026802340522408485,21.918601989746094,0.0,0.0,21.945404052734375,0.002522118855267763
9,0.02511334978044033,18.91831398010254,0.0,0.0,18.94342803955078,0.0025300171691924334
10,0.025052575394511223,17.258052825927734,0.0,0.0,17.283105850219727,0.0024560948368161917
11,0.024518359452486038,14.419891357421875,0.0,0.0,14.444409370422363,0.0023935288190841675
12,0.023747524246573448,12.450721740722656,0.0,0.0,12.474469184875488,0.0025039634201675653
13,0.02428138256072998,12.875741004943848,0.0,0.0,12.900022506713867,0.0024736477062106133
14,0.023325026035308838,10.625903129577637,0.0,0.0,10.6492280960083,0.0023564340081065893
15,0.021788647398352623,8.557792663574219,0.0,0.0,8.579581260681152,0.002310427138581872
16,0.021302545443177223,8.747051239013672,0.0,0.0,8.768353462219238,0.002314372919499874
17,0.021397167816758156,7.504260540008545,0.0,0.0,7.525657653808594,0.0022901222109794617
18,0.021214094012975693,5.646932601928711,0.0,0.0,5.66814661026001,0.0022725702729076147
19,0.021245263516902924,6.152023792266846,0.0,0.0,6.173269271850586,0.002211600309237838
20,0.020845988765358925,5.69825553894043,0.0,0.0,5.719101428985596,0.0021710649598389864
21,0.020373821258544922,3.8480849266052246,0.0,0.0,3.8684587478637695,0.0021432526409626007
22,0.019737517461180687,4.352288722991943,0.0,0.0,4.372026443481445,0.0021553426049649715
23,0.019885631278157234,5.164211750030518,0.0,0.0,5.1840972900390625,0.002114868024364114
24,0.019732151180505753,3.4881591796875,0.0,0.0,3.5078914165496826,0.0021053319796919823
25,0.019486675038933754,4.04602575302124,0.0,0.0,4.065512657165527,0.0021312087774276733
26,0.01976129598915577,4.577200889587402,0.0,0.0,4.596961975097656,0.002076969714835286
27,0.019535694271326065,3.677757740020752,0.0,0.0,3.697293519973755,0.0020193266682326794
28,0.019085559993982315,3.022615909576416,0.0,0.0,3.041701555252075,0.0020011167507618666
29,0.01874818094074726,3.0789408683776855,0.0,0.0,3.097689151763916,0.0020131035707890987
30,0.018828775733709335,2.941284418106079,0.0,0.0,2.960113286972046,0.0019731521606445312
31,0.018676649779081345,2.244818925857544,0.0,0.0,2.263495683670044,0.001956018852069974
32,0.018389545381069183,2.215890407562256,0.0,0.0,2.2342798709869385,0.001986121293157339
33,0.018406646326184273,2.5231213569641113,0.0,0.0,2.5415279865264893,0.001970262499526143
34,0.018258273601531982,2.011235237121582,0.0,0.0,2.029493570327759,0.0019519440829753876
35,0.018128763884305954,1.6837912797927856,0.0,0.0,1.7019200325012207,0.001970859942957759
36,0.018155908212065697,1.8853143453598022,0.0,0.0,1.9034702777862549,0.0019880521576851606
37,0.018160177394747734,1.9603383541107178,0.0,0.0,1.9784985780715942,0.0019292060751467943
38,0.017895527184009552,1.4985289573669434,0.0,0.0,1.516424536705017,0.001897183945402503
39,0.017912816256284714,1.6744606494903564,0.0,0.0,1.692373514175415,0.0018850060878321528
40,0.01779593713581562,1.3660998344421387,0.0,0.0,1.383895754814148,0.0018907414050772786
41,0.017740968614816666,1.446129560470581,0.0,0.0,1.4638705253601074,0.0018819489050656557
42,0.01779455691576004,1.6422624588012695,0.0,0.0,1.6600570678710938,0.0018579913303256035
43,0.01767794042825699,1.3706305027008057,0.0,0.0,1.3883084058761597,0.0018691436853259802
44,0.017581015825271606,1.2346644401550293,0.0,0.0,1.2522454261779785,0.0018714253092184663
45,0.017583049833774567,1.433780312538147,0.0,0.0,1.4513633251190186,0.0018526247004047036
46,0.017551667988300323,1.1100146770477295,0.0,0.0,1.1275663375854492,0.0018725978443399072
47,0.017530011013150215,1.5299286842346191,0.0,0.0,1.5474586486816406,0.0018729391740635037
48,0.017527451738715172,1.413487195968628,0.0,0.0,1.4310146570205688,0.0018442062428221107
