optimization_step,raw_gradient_norm,mean_gradient_norm,shape_gradient_norm,closure_gradient_norm,correction_gradient_norm,projection_count
0,0.001152599579654634,0.001175308134406805,0.0004736153350677341,0.006577421445399523,0.0,0
100,0.001250837347470224,0.001003639423288405,0.0010738371638581157,0.008197964169085026,0.0015283485408872366,0
200,0.0014481459511443973,0.0025229714810848236,0.000789100828114897,0.0111685274168849,0.001313523855060339,0
300,0.0018590724794194102,0.004655579570680857,0.001030391314998269,0.014355066232383251,0.0014407949056476355,0
400,0.002442797878757119,0.002494197804480791,0.0007181268301792443,0.015426957979798317,0.001896246918477118,0
500,0.0014676423743367195,0.0018274385947734118,0.0012608212418854237,0.024576352909207344,0.0015161680057644844,0
600,0.0012589400867000222,0.0017894265474751592,0.0013053317088633776,0.01911635510623455,0.0016797459684312344,0
700,0.0024572217371314764,0.004878181964159012,0.0013202797854319215,0.019711226224899292,0.00198392104357481,0
800,0.001767993438988924,0.00271762371994555,0.0010480069322511554,0.011577687226235867,0.0017475145868957043,0
900,0.0015254896134138107,0.0027114166878163815,0.001203724998049438,0.014358196407556534,0.0023290454410016537,0
1000,0.0024094288237392902,0.0013765685725957155,0.0010039927437901497,0.01721610687673092,0.0014331996208056808,0
1100,0.001120011555030942,0.0030120322480797768,0.0009894345421344042,0.011311888694763184,0.0016992550808936357,0
1200,0.0027916408143937588,0.0028944839723408222,0.001737414626404643,0.0063354019075632095,0.0014974342193454504,0
1300,0.0015655081951990724,0.0017670762026682496,0.0014116235543042421,0.015997303649783134,0.001606854610145092,0
1400,0.002007357543334365,0.004606351722031832,0.0018807646119967103,0.014349925331771374,0.001990049844607711,0
1500,0.001956581836566329,0.0031298454850912094,0.0014350604033097625,0.014801097102463245,0.0014208287466317415,0
