epoch,training_raw_mae_deg,validation_score,validation_curve_mae_deg,adaptive_effective_sample_size,closure_multiplier,correction_multiplier,penalty
1,0.0017982640325330025,0.0025634828489273787,0.00177192990668118,675.0000000000001,0.0,0.0,1.0
2,0.001800894787329314,0.0025659468956291676,0.0017694304697215557,675.0000000000001,0.0,0.0,1.0
3,0.0017970243230635344,0.00255106040276587,0.0017637846758589149,675.0000000000001,0.0,0.0,1.0
4,0.0017945223601621596,0.002534453757107258,0.0017529178876429796,675.0000000000001,0.0,0.0,1.0
5,0.0017709405091049712,0.002528955228626728,0.001750273397192359,675.0000000000001,0.0,0.0,1.0
6,0.001769510942489602,0.002519990550354123,0.001744566485285759,675.0000000000001,0.0,0.0,1.0
7,0.0017473710576332239,0.0025200392119586468,0.0017472276231274009,675.0000000000001,0.0,0.0,1.0
8,0.0017558691893206086,0.002519848756492138,0.0017427209531888366,675.0000000000001,0.0,0.0,1.0
9,0.0017390814731655599,0.0025145336985588074,0.0017412393353879452,675.0000000000001,0.0,0.0,1.0
10,0.0017370742713209502,0.0025203980039805174,0.0017434825422242284,675.0000000000001,0.0,0.0,1.0
11,0.0017782818163246956,0.0025039520114660263,0.0017357133328914642,675.0000000000001,0.0,0.0,1.0
12,0.001735062112349497,0.002490200102329254,0.001728041097521782,675.0000000000001,0.0,0.0,1.0
13,0.0017356265087200458,0.00249718246050179,0.0017310383263975382,675.0000000000001,0.0,0.0,1.0
14,0.0017327968285657293,0.0024823020212352276,0.0017215707339346409,675.0000000000001,0.0,0.0,1.0
15,0.001718828514175013,0.002477288944646716,0.0017210636287927628,675.0000000000001,0.0,0.0,1.0
16,0.0017349960493616933,0.002467869780957699,0.0017144092125818133,675.0000000000001,0.0,0.0,1.0
17,0.0017535146813146597,0.002475230721756816,0.0017196355620399117,675.0000000000001,0.0,0.0,1.0
18,0.0017181710667669946,0.002458788687363267,0.0017087364103645086,675.0000000000001,0.0,0.0,1.0
19,0.00172118739181653,0.0024443722795695066,0.0017004181863740087,675.0000000000001,0.0,0.0,1.0
20,0.0017217481238117746,0.002464025979861617,0.0017113543581217527,675.0000000000001,0.0,0.0,1.0
21,0.001732648198687753,0.0024531385861337185,0.0017036249628290534,675.0000000000001,0.0,0.0,1.0
22,0.0017145934980362654,0.0024626541417092085,0.001711802207864821,675.0000000000001,0.0,0.0,1.0
23,0.0017699096703815253,0.002448692452162504,0.0017016161000356078,675.0000000000001,0.0,0.0,1.0
24,0.001699491857475233,0.002460901625454426,0.0017077592201530933,675.0000000000001,0.0,0.0,1.0
25,0.0017584901368028897,0.002432395936921239,0.0016910199774429202,675.0000000000001,0.0,0.0,1.0
26,0.0016942136950769224,0.002431775676086545,0.0016936766915023327,675.0000000000001,0.0,0.0,1.0
27,0.001729425427308956,0.002438992727547884,0.0016962357331067324,675.0000000000001,0.0,0.0,1.0
28,0.001711063260255858,0.0024395703803747892,0.0016965382965281606,675.0000000000001,0.0,0.0,1.0
29,0.0016986350393529202,0.0024164249189198017,0.0016830001259222627,675.0000000000001,0.0,0.0,1.0
30,0.001689400633547975,0.0024191411212086678,0.0016843251651152968,675.0000000000001,0.0,0.0,1.0
31,0.0016891476454559801,0.0024127683136612177,0.0016817859141156077,675.0000000000001,0.0,0.0,1.0
32,0.0016953794713413647,0.002393990522250533,0.0016661043046042323,675.0000000000001,0.0,0.0,1.0
33,0.001704945057078243,0.0023993870709091425,0.0016669074539095163,675.0000000000001,0.0,0.0,1.0
34,0.001665340227529753,0.0023889513686299324,0.001660498441196978,675.0000000000001,0.0,0.0,1.0
35,0.0016737994182919867,0.002354860072955489,0.0016400570748373866,675.0000000000001,0.0,0.0,1.0
36,0.001689446595941432,0.002357776276767254,0.0016413774574175477,675.0000000000001,0.0,0.0,1.0
