epoch,curve_loss,mean_loss,shape_loss,compliance_loss,total_loss,effective_compliance_weight,raw_compliance_gradient_cosine,mean_compliance_gradient_cosine,shape_compliance_gradient_cosine,compliance_gradient_norm,derivative_mean_deg_per_nm,derivative_negative_fraction,validation_curve_mae_deg
1,0.01716289296746254,0.009403846226632595,0.010340074077248573,1630.03662109375,16.322463989257812,0.010000000000000002,0.1432098001241684,0.1421220451593399,0.02838231809437275,723.9793090820312,-3.502648837638844e-08,0.5896296501159668,0.0018222453072667122
2,0.01716507598757744,0.009405325166881084,0.010341184213757515,1625.0927734375,16.273029327392578,0.010000000000000002,-0.5264009237289429,-0.5121393203735352,-0.24852003157138824,722.07763671875,2.0032773662137515e-08,0.4444444477558136,0.0018274611793458462
3,0.017173849046230316,0.00941205583512783,0.010345074348151684,1620.166259765625,16.22377586364746,0.010000000000000002,-0.7036858797073364,-0.7890325784683228,-0.2752986550331116,721.2520751953125,7.498382359472089e-08,0.33037036657333374,0.0018332803156226873
4,0.01718873530626297,0.00942399725317955,0.01035129651427269,1615.2589111328125,16.174720764160156,0.010000000000000002,-0.7606880068778992,-0.8836424350738525,-0.28143730759620667,721.5109252929688,1.2980694918951485e-07,0.2696296274662018,0.0018396810628473759
5,0.01720954105257988,0.009441104717552662,0.010359692387282848,1610.3714599609375,16.125873565673828,0.010000000000000002,-0.7868668437004089,-0.9230305552482605,-0.28247860074043274,722.8519287109375,1.8449429717293242e-07,0.22518518567085266,0.0018466741312295198
6,0.017236175015568733,0.009463351219892502,0.010370184667408466,1605.50439453125,16.077238082885742,0.010000000000000002,-0.801537036895752,-0.9428063631057739,-0.2810639441013336,725.254150390625,2.390404176821903e-07,0.18666666746139526,0.0018542127218097448
7,0.017268560826778412,0.00949070043861866,0.010382726788520813,1600.657958984375,16.02881622314453,0.010000000000000002,-0.8107845187187195,-0.9542214274406433,-0.27803415060043335,728.689453125,2.9343905794121383e-07,0.1644444465637207,0.0018622631905600429
8,0.017306620255112648,0.0095231207087636,0.010397263802587986,1595.8326416015625,15.980612754821777,0.010000000000000002,-0.8171253800392151,-0.9615769386291504,-0.27378639578819275,733.1281127929688,3.47688569490856e-07,0.145185187458992,0.0018707928247749805
9,0.01735026389360428,0.009560574777424335,0.010413730517029762,1591.02783203125,15.932621955871582,0.010000000000000002,-0.8217995762825012,-0.9667836427688599,-0.2685701549053192,738.5369262695312,4.0179403981710493e-07,0.12888889014720917,0.0018797764787450433
10,0.017399385571479797,0.009603033773601055,0.010432049632072449,1586.2420654296875,15.884828567504883,0.010000000000000002,-0.8254784345626831,-0.9707890748977661,-0.26257380843162537,744.8764038085938,4.557663828563818e-07,0.11259259283542633,0.001889179926365614
11,0.017453886568546295,0.009650468826293945,0.010452133603394032,1581.474853515625,15.837227821350098,0.010000000000000002,-0.8285412192344666,-0.9740867018699646,-0.2559542953968048,752.1002197265625,5.096199515719491e-07,0.09481481462717056,0.0018989824457094073
12,0.017513664439320564,0.009702873416244984,0.010473893024027348,1576.72412109375,15.789798736572266,0.010000000000000002,-0.8312061429023743,-0.9769209027290344,-0.24884535372257233,760.1558227539062,5.633713158204046e-07,0.07999999821186066,0.001909170183353126
13,0.017578644677996635,0.009760268963873386,0.010497229173779488,1571.988525390625,15.742527961730957,0.010000000000000002,-0.8336069583892822,-0.9793993830680847,-0.2413627803325653,768.9852905273438,6.170380402181763e-07,0.06962963193655014,0.001919741160236299
14,0.017648739740252495,0.009822694584727287,0.010522031225264072,1567.2662353515625,15.695396423339844,0.010000000000000002,-0.8358362317085266,-0.9815748929977417,-0.2336091846227646,778.52685546875,6.706375188514357e-07,0.051851850003004074,0.0019306562608107924
15,0.017723867669701576,0.00989020336419344,0.010548178106546402,1562.5562744140625,15.648396492004395,0.010000000000000002,-0.8379635810852051,-0.9834843873977661,-0.22567594051361084,788.715576171875,7.241869752760977e-07,0.04444444552063942,0.0019418987212702632
16,0.017803948372602463,0.009962858632206917,0.010575546883046627,1557.856689453125,15.601505279541016,0.010000000000000002,-0.8400416374206543,-0.9851604700088501,-0.21764428913593292,799.4850463867188,7.777024393362808e-07,0.02666666731238365,0.0019534605089575052
