candidate_id,formulation,eligible_curve_count,finite_curve_count,population_residual_to_anchor_rms_ratio,maximum_curve_residual_to_anchor_rms_ratio,maximum_absolute_residual_deg,declared_residual_bound_deg,bound_violation_curve_count,mean_analytical_residual_correlation
stage4_h01_r2_compact,R2,966,966,1.388340604270104,1.6232889633473315,0.1490696370601654,0.01687377521368802,0,0.07300105269598005
stage4_h02_r2_deep,R2,966,966,1.3811968957305998,1.635708830444874,0.15037579834461212,0.01687377521368802,0,0.0364009014600059
stage4_h03_r3_compact,R3,966,966,0.2686868470519985,0.5395379275261836,0.016872398555278778,0.01687377521368802,0,-0.17624880074012217
stage4_h04_r3_deep,R3,966,966,0.2707348287808089,0.5618083608919253,0.016858981922268867,0.01687377521368802,0,0.032748113676456754
stage4_h05_r4_compact,R4,966,966,1.388531521783577,1.629243634995489,0.1465245634317398,0.01687377521368802,0,-1.066587214811574e-07
stage4_h06_r4_deep,R4,966,966,1.3928748392743422,1.6441677788249769,0.14589865505695343,0.01687377521368802,0,-1.9009154940400204e-07
stage4_h07_r5_compact,R5,966,966,1.387061322669705,1.6323055143017147,0.15395383536815643,0.01687377521368802,0,0.07285317283588824
stage4_h08_r5_deep,R5,966,966,1.3954956142490835,1.64947512915382,0.15596617758274078,0.01687377521368802,0,0.08086413031347621
stage4_a01_r2_compact,R2,966,966,1.3827808661571603,1.6000662249570947,0.14778605103492737,0.01687377521368802,0,0.06216178714414764
stage4_a02_r2_compact,R2,966,966,1.2801810890081233,1.4485686681945014,0.1283978670835495,0.01687377521368802,0,0.035116934289484245
stage4_a03_r5_compact,R5,966,966,0.25245511123793135,0.38616301732049074,0.03255130350589752,0.01687377521368802,0,0.04854538634240003
stage4_a04_r5_compact,R5,966,966,0.294233260660317,0.3977367301893508,0.02886173129081726,0.01687377521368802,0,-0.2346944956774494
