epoch,curve_loss,spectral_loss,derivative_loss,weak_loss,active_spectral_weight,active_derivative_weight,active_weak_weight,total_loss,curve_gradient_norm,spectral_gradient_norm,derivative_gradient_norm,weak_gradient_norm,validation_curve_mae_deg
1,0.01716289483010769,0.42099446058273315,0.8903259634971619,0.0,0.5,0.1,0.0,0.3166927099227905,0.0007571619935333729,0.024219680577516556,0.01615014486014843,nan,0.0018172344425693154
2,0.017160046845674515,0.420835942029953,0.8902517557144165,0.0,0.5,0.1,0.0,0.3166031837463379,nan,nan,nan,nan,0.0018163989298045635
3,0.017157379537820816,0.42067772150039673,0.8901823163032532,0.0,0.5,0.1,0.0,0.3165144622325897,nan,nan,nan,nan,0.0018156510777771473
4,0.017154725268483162,0.4205205738544464,0.8901150226593018,0.0,0.5,0.1,0.0,0.31642651557922363,nan,nan,nan,nan,0.0018151968251913786
5,0.017152098938822746,0.42036372423171997,0.8900489211082458,0.0,0.5,0.1,0.0,0.3163388669490814,nan,nan,nan,nan,0.0018146074144169688
6,0.01714952290058136,0.4202072024345398,0.8899846076965332,0.0,0.5,0.1,0.0,0.31625157594680786,nan,nan,nan,nan,0.0018138064770027995
7,0.01714700274169445,0.42005088925361633,0.8899220824241638,0.0,0.5,0.1,0.0,0.31616467237472534,nan,nan,nan,nan,0.0018130226526409388
8,0.017144540324807167,0.4198944866657257,0.8898612260818481,0.0,0.5,0.1,0.0,0.31607791781425476,0.0006765509024262428,0.024030864238739014,0.011797367595136166,nan,0.0018123877234756947
9,0.017142122611403465,0.41973838210105896,0.8898016214370728,0.0,0.5,0.1,0.0,0.31599146127700806,nan,nan,nan,nan,0.0018118134466931224
10,0.017139742150902748,0.41958215832710266,0.8897432088851929,0.0,0.5,0.1,0.0,0.3159051537513733,nan,nan,nan,nan,0.0018112099496647716
11,0.017137406393885612,0.41942617297172546,0.8896855115890503,0.0,0.5,0.1,0.0,0.31581905484199524,nan,nan,nan,nan,0.001810595509596169
12,0.01713511347770691,0.41927024722099304,0.8896286487579346,0.0,0.5,0.1,0.0,0.3157331049442291,nan,nan,nan,nan,0.0018100100569427013
13,0.017132874578237534,0.4191141724586487,0.8895726799964905,0.0,0.5,0.1,0.0,0.3156472444534302,nan,nan,nan,nan,0.001809444511309266
14,0.017130684107542038,0.41895806789398193,0.8895174860954285,0.0,0.5,0.1,0.0,0.3155614733695984,nan,nan,nan,nan,0.0018088776851072907
15,0.017128530889749527,0.4188019335269928,0.8894628882408142,0.0,0.5,0.1,0.0,0.31547579169273376,nan,nan,nan,nan,0.0018083213362842798
16,0.01712641306221485,0.41864559054374695,0.8894086480140686,0.0,0.5,0.1,0.0,0.31539008021354675,0.0006019145366735756,0.023929739370942116,0.010343174450099468,nan,0.0018077950226143003
17,0.01712433435022831,0.4184889793395996,0.8893547654151917,0.0,0.5,0.1,0.0,0.31530430912971497,nan,nan,nan,nan,0.0018072831444442272
18,0.0171222947537899,0.41833239793777466,0.8893012404441833,0.0,0.5,0.1,0.0,0.31521862745285034,nan,nan,nan,nan,0.001806759275496006
19,0.017120294272899628,0.4181755781173706,0.8892476558685303,0.0,0.5,0.1,0.0,0.31513285636901855,nan,nan,nan,nan,0.0018062363378703594
20,0.01711832731962204,0.41801851987838745,0.8891943097114563,0.0,0.5,0.1,0.0,0.315047025680542,nan,nan,nan,nan,0.0018057473935186863
21,0.01711639203131199,0.4178612232208252,0.8891409635543823,0.0,0.5,0.1,0.0,0.31496110558509827,nan,nan,nan,nan,0.0018052848754450679
