epoch,training_loss,validation_loss
1,0.0018619635700096572,0.001868062885478139
2,0.0018467540923116166,0.0018648250261321664
3,0.0018596002888909087,0.0018670550780370831
4,0.0018291137733518383,0.0018746227724477649
5,0.0018387559319434817,0.0018613472348079085
6,0.0018319801351618628,0.0018739936640486121
7,0.001981491870030241,0.001863559940829873
8,0.0018589919010653746,0.0018769161542877555
9,0.0018256134082844785,0.0018639963818714023
10,0.001847902480729444,0.0018804502906277776
11,0.0018400524629193337,0.0018690431024879217
12,0.0018492741781005332,0.0018642189679667354
13,0.0018519556425988328,0.0018748498987406492
14,0.0018409290621706912,0.0018632402643561363
15,0.0018411193335385516,0.0018647260731086135
16,0.0018582370045573213,0.0018722390523180366
17,0.0018587587292977544,0.0018689444987103343
18,0.0018291747533218112,0.0018650615820661187
19,0.001849219064921314,0.0018716882914304733
20,0.001842278088334688,0.001866237842477858
21,0.0018253206724820788,0.001873378874734044
22,0.0018403493057459939,0.0018670755671337247
23,0.0018339475595154041,0.0018669605487957597
24,0.0018452155690770163,0.0018674200400710106
25,0.0018566079887149985,0.0018655232852324843
26,0.0018559714649305787,0.0018603102071210742
27,0.0018393346325082834,0.0018643097719177604
28,0.001848727784141205,0.0018671980360522866
29,0.0018289453014298234,0.0018623506184667349
30,0.0018456433953847303,0.001867016777396202
31,0.0018319004150324089,0.0018660142086446285
32,0.0018479445337339542,0.0018750086892396212
33,0.0018287746907146864,0.0018675465835258365
34,0.001824223405280865,0.0018604343058541417
35,0.0018259010191053846,0.0018671539146453142
36,0.0018569202064861391,0.001874055596999824
37,0.0018501734133636535,0.0018628849647939205
38,0.0018274392445333475,0.0018612220883369446
39,0.0018343459706493589,0.0018673734739422798
40,0.001826252143960013,0.001863549929112196
