epoch,chunk_length,training_total_loss,training_raw_mae_deg,training_mean_mae_deg,training_shape_mae_deg,validation_score,validation_curve_mae_deg
1,33,0.002648393918630169,0.0018319462691325434,0.0009431593975615363,0.0013793629017485262,0.002602900844067335,0.0018041142029687762
2,33,0.0026037034437840067,0.0017992711062867974,0.0009337370216218365,0.0013501276086127863,0.0025885228533297777,0.0017920791869983077
3,33,0.002630802832522191,0.0018194670312453149,0.0009368362722831756,0.0013715533856410794,0.0025837887078523636,0.0017886866116896272
4,33,0.0026512625952099644,0.001829474742069494,0.0009558419615766684,0.0013753261138295192,0.002645700005814433,0.0018224634695798159
5,33,0.002613735174067145,0.0018069355932692455,0.0009347235155833321,0.001357618379569071,0.0026068338192999363,0.0017990019405260682
6,33,0.002614839931105285,0.0018051733928840868,0.0009436134687559896,0.001351323799056889,0.002588137285783887,0.001791598042473197
7,33,0.002606074813060289,0.0018039920156128532,0.0009238408184014694,0.0013605104041892256,0.00258195074275136,0.0017887935973703861
8,33,0.0025800980470511454,0.001784257856089362,0.0009209132390529957,0.001341397708909976,0.0026011085137724876,0.0018003290751948953
9,33,0.002587932454378799,0.0017882256503325216,0.0009303469912062377,0.0013379775201576914,0.0025820452719926834,0.0017878409707918763
10,33,0.002585011049780215,0.001783123735316791,0.000941800236496208,0.001323809883784676,0.0025729816406965256,0.0017848300049081445
11,33,0.0025769406794245507,0.001779417294824799,0.0009382118600918803,0.0013134944750819095,0.002568331081420183,0.0017780071357265115
12,33,0.0025359441290696175,0.0017517183482278745,0.0009204160698234688,0.0012958734499312243,0.0025764864403754473,0.0017803593073040247
13,33,0.0025520382589812197,0.0017613558948776403,0.0009355653946417882,0.0012914014616060656,0.0025816354900598526,0.0017827078700065613
14,33,0.0025624221239542197,0.0017680659278317592,0.0009434328030058464,0.0012903468707728004,0.002568841679021716,0.0017772746505215764
15,33,0.0025691892247820315,0.001776625497028405,0.0009270560749005093,0.0013159500424165366,0.0025718335527926683,0.001778345205821097
16,33,0.002534421355745127,0.0017485834541730583,0.0009269756995964536,0.0012891930812255067,0.0025539076887071133,0.0017679354641586542
17,33,0.0025798079508984853,0.0017794064506022043,0.0009571303570166577,0.0012871322335761993,0.002543687354773283,0.0017634180840104818
18,33,0.002535906379371015,0.0017494154622951566,0.0009296256778111984,0.001286502895053736,0.002546072704717517,0.0017628043424338102
19,33,0.002638964190927529,0.001828964584409584,0.0009371051050419377,0.0013655709281433807,0.0025599461514502764,0.0017721732147037983
20,33,0.0025987049840867174,0.0017907258724187349,0.0009737810861795794,0.001284117580304832,0.0025535847526043653,0.0017645558109506965
21,33,0.0025303342601630924,0.0017468026936660673,0.0009264485845558865,0.001281012881135698,0.0025402118917554617,0.001757685444317758
22,33,0.0025357588405482646,0.0017486760409029072,0.0009287326653531297,0.0012906449941680008,0.0025375199038535357,0.0017574691446498036
23,33,0.0025867631924230347,0.001794371274733093,0.0009161894910882205,0.0013369550592764172,0.002525338437408209,0.001749156042933464
24,33,0.0025560633458067165,0.001765387890817121,0.0009361978912682728,0.001290073837586787,0.002528113080188632,0.00175206467974931
25,33,0.0025483091757091325,0.001756282293151111,0.0009415242008778245,0.0012848310072386508,0.002514305291697383,0.0017428600694984198
26,33,0.0025734680157891193,0.0017752016266418058,0.0009374706302011429,0.0013178884631109445,0.0025123690720647573,0.0017421891679987311
27,33,0.0025233049162252004,0.0017442179851905378,0.0009158400894510885,0.0012844135229432478,0.0025282108690589666,0.0017496789805591106
28,33,0.0025231205062334274,0.001740427777106159,0.0009246184571841082,0.001281299020521083,0.0025230995379388332,0.0017489716410636902
29,33,0.002574201808635925,0.001786836761396465,0.0009072098317880963,0.0013347836427910383,0.0025165292900055647,0.0017425821861252189
30,33,0.0024917724753491756,0.0017242661777472253,0.0008935443258324508,0.0012826837198592204,0.0024840976111590862,0.001725299283862114
31,33,0.0025067566785701486,0.0017364427696393674,0.0008942196118580394,0.001292555352001516,0.0025134459137916565,0.00174113514367491
32,33,0.002486606748493085,0.0017208589693033245,0.0008926416075853414,0.0012774484930559993,0.0024708483833819628,0.0017201420851051807
33,33,0.002517302834623775,0.0017458523642596637,0.0008923910087147771,0.0013007570808038634,0.0024830845650285482,0.0017267665825784206
34,33,0.002503449303033047,0.0017401782097294927,0.0008743783279029696,0.0013040449229328958,0.0024865916930139065,0.001726852497085929
35,33,0.0025088327211262875,0.0017351890957459462,0.0009045725645020951,0.0012851762057411982,0.002467687241733074,0.001718212035484612
36,33,0.0025301802129116518,0.0017594089190107445,0.0008801988753771713,0.0013224055305621478,0.0024923558812588453,0.0017273465637117624
37,33,0.0024731555347179256,0.0017136332909251715,0.0008818037242108826,0.0012742283647111075,0.0024548321962356567,0.0017113457433879375
38,33,0.002473036866894988,0.0017165882664537707,0.0008711884350537561,0.0012831524742745557,0.0024490817449986935,0.0017105616861954331
39,33,0.0025021225067808532,0.001738802007356182,0.0008725856192583262,0.0013078206887490354,0.002460325136780739,0.0017184673342853785
40,33,0.0024816652483761656,0.0017282320037592463,0.0008557015849916308,0.001302032998145753,0.002437548479065299,0.0017005186527967453
41,33,0.002455146125041295,0.001702769603959263,0.0008673199972267761,0.0012745986419166763,0.0024797061923891306,0.001728541450574994
42,33,0.002480054352714052,0.0017196325839735395,0.0008776178637649431,0.0012861736765846091,0.0024882573634386063,0.0017329048132523894
43,33,0.0024470829047522572,0.001699904266874804,0.0008576102784921437,0.0012732089759760299,0.002438858849927783,0.0017026318237185478
44,33,0.0024827393177940054,0.0017233183147212447,0.0008711806866665219,0.001295039460041322,0.0024423578288406134,0.0017085428116843104
45,33,0.002470210549248339,0.0017156166831291345,0.0008644788894195889,0.001289132822759796,0.0024350672028958797,0.0017036964418366551
46,33,0.002447900302751466,0.001700495760942008,0.0008542515759811152,0.0012808287269868996,0.002445940161123872,0.0017111583147197962
47,33,0.0024343809968423707,0.0016900114728636,0.0008534215915904836,0.0012703528343483287,0.0024278894998133183,0.0016973231686279178
48,33,0.0024805047202768713,0.001719862141451517,0.0008867721392794751,0.001268738522031886,0.002451761858537793,0.0017159079434350133
