Poisition_Output_Reducer_Fw,Transmission_Error_Fw,Position_Output_Reducer_Bw,Transmission_Error_Bw
0.00202163122594357,-0.0424264899145896,359.994842698798,0.0443469784772788
0.00763063319027424,-0.042356783523644,359.989221040159,0.0442714109606186
0.0131706520915031,-0.0423591263177059,359.98361681588,0.0442158047917474
0.0187080726027489,-0.0423660812277262,359.978047544137,0.044196236668995
0.0242206826806068,-0.0423960087620685,359.97247592546,0.0441738787174017
0.0297278445214033,-0.0424316701370913,359.966902211308,0.0441490227526629
0.0352676119655371,-0.0424373439622627,359.961350290105,0.0441479227624768
0.0408104807138443,-0.0424396629549619,359.955758973956,0.0441096350568841
0.0464176386594772,-0.0423760174053314,359.950173860416,0.044078363319386
0.0519989803433418,-0.0423371998792845,359.944591512904,0.0440532155380424
0.0575239956378937,-0.0423566386519383,359.939019894227,0.0440435649563824
0.0630219373852015,-0.0424086985484564,359.933474007994,0.0440588024423505
0.0684756226837635,-0.0425070544911819,359.927914794534,0.0440598486247836
0.0739314034581184,-0.0426041407297362,359.922318700701,0.044024170685816
0.0794497970491648,-0.0426410376609283,359.916734173894,0.0439982737129867
0.0849819369614124,-0.0426682602193296,359.911181749776,0.0440038616425227
0.0905756838619709,-0.0426345463427538,359.905681796372,0.044066330615351
0.0961907207965851,-0.0425785676472969,359.900160720572,0.0441123100124514
0.101777343079448,-0.0425506062396153,359.894665963948,0.0441861225035609
0.107346111908555,-0.0425408242476237,359.889160981402,0.0442502150892778
0.112923011183739,-0.0425217352392906,359.883647784591,0.0443083616989952
0.118497228249907,-0.0425027497115593,359.878163253888,0.044393971974614
0.12412391602993,-0.0424294225464337,359.872632455081,0.044435879423645
0.129730738699436,-0.0423786178640171,359.86709847115,0.044476136358071
0.135335046797991,-0.0423336277414137,359.861609833315,0.0445607314909466
0.140890823677182,-0.0423374471971556,359.856128739193,0.0446521687413224
0.146412486210465,-0.0423753954888184,359.85061135143,0.0447078131933267
0.151964323595166,-0.0423826028902567,359.845066890121,0.0447369884266209
0.157479364424944,-0.0424236442069628,359.839525781572,0.0447652923583064
0.163081996142864,-0.042372268314864,359.834003951401,0.0448116090897202
0.16871371306479,-0.0422888963175296,359.828486563638,0.0448642060580369
0.174319529905915,-0.0422347254222473,359.822993651032,0.0449416165465664
0.179916713386774,-0.0421909998276533,359.817477604374,0.0449897990447425
0.185445919632912,-0.0422119514816472,359.811959126964,0.0450321990670091
0.190952746197581,-0.0422557112240156,359.806433860213,0.0450677176377212
0.196497794240713,-0.0422662258563946,359.800939103588,0.0451361315510894
0.202065976336598,-0.0422538930752125,359.795432277024,0.0451876161023392
0.207656286656857,-0.0422173003774446,359.78995914571,0.0452688584734915
0.213291356340051,-0.0421357403193383,359.784513842314,0.0453762720467239
0.218866411596537,-0.0421204842214138,359.778994610533,0.0454105312667252
0.224433252587914,-0.042114662420488,359.773430367932,0.0453957646195704
0.229944102466106,-0.0421617211143257,359.767863024026,0.045373471867606
0.235463082790375,-0.0421997646076306,359.762290064245,0.0453433487541588
0.241023385897279,-0.0421970254845974,359.756773430854,0.0453673292777239
0.246589221060276,-0.0421870261845356,359.751236094162,0.0453717044172208
0.252214483916759,-0.0421163067223915,359.745668666437,0.0453461385861829
0.257799597457051,-0.0420847286776507,359.7401439026,0.0453625412399106
0.263329306617379,-0.0421104197287718,359.734603380784,0.0453644080350841
0.268892208114266,-0.042107414661416,359.729032767937,0.0453348126663968
0.274424599483609,-0.0421359069232494,359.723456706852,0.0453002554163504
0.279987584799528,-0.0421324858652383,359.717885339633,0.0452698860331111
0.285584181547165,-0.0420983249530877,359.712351607159,0.0452742477261836
0.291234841570258,-0.0420134338646676,359.706803960726,0.0452635054441544
0.29688935726881,-0.0419256029036319,359.701228151098,0.0452270369132748
0.302499951794743,-0.0418798480603755,359.695615461096,0.0451557027770377
0.308052878826857,-0.041888876714836,359.690021462739,0.0450999082813723
0.313587114214897,-0.0419153035107911,359.684475073591,0.0450914953287338
0.319149512797594,-0.0419127299549586,359.678912926465,0.0450721528015947
0.324769830331206,-0.0418476180888661,359.673380535096,0.0450830844561096
0.330423340201378,-0.0417495022213075,359.667837917805,0.0450843624375921
0.336038125678897,-0.0416958725294876,359.662223132327,0.0450136864394608
0.341659784317017,-0.0416383457680354,359.656633827835,0.0449659189000613
0.347202904522419,-0.0416614363596182,359.651023568586,0.0448957675509973
0.352726159617305,-0.0417050936571854,359.64544323273,0.0448592421107605
0.358275901526213,-0.0417223355419765,359.639924000949,0.0448835610097831
0.363856488838792,-0.0417061388077968,359.634436368942,0.0449383434688571
0.36954210139811,-0.0415803450675298,359.628929207101,0.0449737254436968
0.375229809433222,-0.0414514220831279,359.623420285061,0.0450079836384703
0.380872506648302,-0.0413721934372688,359.617844978347,0.0449763321259979
0.386445131152868,-0.0413634410751911,359.612282076851,0.0449567339837813
0.391978109255433,-0.0413869869796599,359.606693610549,0.0449109801777468
0.397459957748651,-0.0414626890175214,359.601160380989,0.044924471938657
0.402977345511317,-0.0415078550569774,359.595661936328,0.0449772634394776
0.408558938652277,-0.0414875677468558,359.590145638213,0.0450111884281341
0.414186883717775,-0.0414185370843256,359.584614001215,0.0450283578722974
0.419824635609984,-0.0413403629021332,359.579066606238,0.0450306271889076
0.425366498529911,-0.0413629826575175,359.573493395001,0.0450071123314046
0.430860165506601,-0.0414330181150717,359.56793686375,0.0450006996613865
0.436333548277616,-0.0415180892576359,359.562418637797,0.0450328137364977
0.441854875534773,-0.0415528451821388,359.556884905323,0.0450483419822376
0.447421548888087,-0.0415421763639756,359.551378581673,0.0450930527149467
0.453027868643403,-0.0414906659472081,359.545845184475,0.045110807860965
0.458666626363993,-0.0414023900198117,359.540283540264,0.0450961643668961
0.464259367436171,-0.0413575789159495,359.534705383703,0.0450671515973227
0.469770133495331,-0.041397626822345,359.529113229364,0.0450280650225068
