epoch,chunk_length,training_total_loss,training_raw_mae_deg,training_mean_mae_deg,training_shape_mae_deg,validation_score,validation_curve_mae_deg
1,33,0.038123060678413444,0.02456302283505021,0.02315252219586698,0.007919219539089258,0.009350795298814774,0.005839908495545387
2,33,0.006075044769014037,0.003963583793361173,0.002798250037093842,0.00282583168577836,0.004267183598130941,0.002813030034303665
3,33,0.0040273767311212625,0.002683814929061851,0.001681567177847894,0.001987364202694491,0.0035715573467314243,0.00241729523986578
4,33,0.0038599348410444205,0.0025705158667162407,0.0016573260695305328,0.0018190953685620495,0.0036511386279016733,0.0024286333937197924
5,33,0.003736787259058897,0.00248903353416989,0.0016108487115436515,0.0017452848707000877,0.003627922385931015,0.0024246491957455873
6,33,0.0036270513935664364,0.002418373188891903,0.001565008616443117,0.0016808119172035435,0.003403211710974574,0.0022421518806368113
7,33,0.0035063217903032553,0.0023439789033863085,0.0015084567441886595,0.001608468521776241,0.0044200727716088295,0.0028525174129754305
8,33,0.003747406556422627,0.0024755140279181477,0.0017543596101838143,0.001554960138597634,0.0030538432765752077,0.0020657845307141542
9,33,0.003462638960458165,0.002305594175447558,0.001547290055557739,0.0015096113906068684,0.002866059774532914,0.0019506823737174273
10,33,0.003226914819394953,0.0021645829493049966,0.00139482727350104,0.001435704056855811,0.003495909972116351,0.0023360473569482565
11,33,0.0031702253306934306,0.002129805661456356,0.001352991946691344,0.001431648038750038,0.0029776638839393854,0.0020143231377005577
12,33,0.003170260184899319,0.002134184155418256,0.0013643045189552182,0.0013917525675212748,0.00289469794370234,0.0019639853853732347
13,33,0.003084207178353397,0.002073525313049728,0.001314375638896816,0.0013900070808567973,0.002849861979484558,0.001942446455359459
14,33,0.003279044558185824,0.0021925135596850237,0.0014593274180972299,0.0014036127899470197,0.0029609831981360912,0.00198037619702518
15,33,0.0030289963348010597,0.0020445130418899446,0.001243195602085528,0.001427646363587227,0.0031487063970416784,0.0021154542919248343
16,33,0.003002235844601379,0.0020219720169078817,0.0012606115372808173,0.001375860184008732,0.002770979655906558,0.0018940996378660202
17,33,0.0029876303458369747,0.0020261993117327262,0.0012037639457429217,0.00141428604851975,0.003348126308992505,0.002252099569886923
18,33,0.00292230291606122,0.0019751604386540346,0.0011939558844883428,0.0013768114961770384,0.002954976400360465,0.0020068048033863306
19,33,0.003034338674529694,0.0020648965308832567,0.0011938548143303326,0.0014661561215816195,0.003151895012706518,0.002113956492394209
20,33,0.0028834812245656584,0.001960595357664969,0.0011573020385058468,0.0013531698658520918,0.0026331720873713493,0.0018131016986444592
21,33,0.0029969229308758364,0.0020248066135790457,0.0012489032260207243,0.0013668084446730655,0.002824840135872364,0.0018999413587152958
22,33,0.002796506038108884,0.0019035869532503015,0.0010934170812021853,0.0013608046046588137,0.002664507133886218,0.0018128803931176662
23,33,0.003077722103118377,0.0020882705860056504,0.0012551787590911222,0.0014233652293833708,0.0029944570269435644,0.0020329917315393686
24,33,0.003202746784704369,0.002146376740880484,0.001400248889356505,0.001401031037879198,0.002626350149512291,0.0017938120290637016
25,33,0.0030893837589077476,0.002074258913675886,0.001339281015747855,0.0013578697459685595,0.0037690442986786366,0.002442088909447193
26,33,0.0031027394011183536,0.002082204692563865,0.0013291442734297625,0.0013998406099935258,0.0026026107370853424,0.001788255525752902
27,33,0.0027405780166127654,0.001872251836344773,0.0010489328097021424,0.001351442320683841,0.003295817645266652,0.002151730703189969
28,33,0.0030352802930919583,0.0020317187110438597,0.0013180437855162593,0.0013543259931814878,0.003249234752729535,0.002164456993341446
29,33,0.0034843067378672057,0.002331251838937575,0.0015786638033987825,0.0014307976708487543,0.0028450172394514084,0.0019260242115706205
30,33,0.0028573304988703755,0.0019268776495876007,0.0011736067001123069,0.0013506129657481472,0.002787364646792412,0.001885592588223517
31,33,0.002811598656482475,0.001910754655444518,0.001111802524551316,0.001355798147499648,0.002818361623212695,0.001888410304673016
32,33,0.0028883479210699715,0.0019530010474629181,0.0011764712750825079,0.0013644992587763037,0.002627978101372719,0.0018077426357194781
33,33,0.0030679546924697798,0.002072455025776181,0.0012781385651811264,0.0014017173386893648,0.003299904754385352,0.002185181248933077
34,33,0.002833868146787376,0.0019230200302635515,0.001123822655604589,0.0013716534188905254,0.0024906599428504705,0.001717372564598918
35,33,0.002774028478428548,0.001885822373117472,0.0010883681216212206,0.0013519986356651888,0.0026375334709882736,0.0018063060706481338
36,33,0.0029149452511351122,0.0019783995690928814,0.0011666901964629286,0.0013888813325117321,0.0033758492209017277,0.0022639338858425617
