epoch,chunk_length,training_total_loss,training_raw_mae_deg,training_mean_mae_deg,training_shape_mae_deg,validation_score,validation_curve_mae_deg
1,33,0.0025907946225299044,0.0017884815515148951,0.0009376467070217396,0.0013338349526748061,0.0025693015195429325,0.001776859862729907
2,33,0.0025659680453150773,0.0017716500550768403,0.0009311322125519604,0.0013148225343049785,0.0025441781617701054,0.0017629180802032351
3,33,0.0025744265795490423,0.001780925269866752,0.0009235885876858997,0.0013266328321553248,0.002529999939724803,0.001751032890751958
4,33,0.0025440749419896407,0.001754757241605846,0.0009339617925349537,0.0012891403024442233,0.002540288493037224,0.0017555973026901484
5,33,0.0025514027504466995,0.001762735791406919,0.0009261813978556284,0.0013020993602938604,0.0025357676204293966,0.001754847588017583
6,33,0.0025546345047566085,0.0017660497985563654,0.0009233664550688551,0.0013073799268039333,0.0025273594073951244,0.0017472554463893175
7,33,0.002522184158848642,0.0017402940199623795,0.0009222422255376398,0.0012828472495447238,0.0025222767144441605,0.0017445420380681753
8,33,0.0025397297076144537,0.0017513120777060299,0.0009336373091913587,0.0012861761619163633,0.0025234268978238106,0.0017488639568910003
9,33,0.002582347153166179,0.0017825165157054747,0.0009518960777800097,0.0012953014892720899,0.0025180468801409006,0.0017449784791097045
10,33,0.0025175274241455766,0.0017385454658895385,0.0009181572173093987,0.001279371121876635,0.002515555592253804,0.0017440440133213997
11,33,0.0025187230717693995,0.0017405661610821479,0.0009132239298873342,0.0012859365128543834,0.002518382854759693,0.001746826688759029
12,33,0.002525769769712243,0.0017471165358370474,0.0009088691264434262,0.0012966239348400472,0.0025354065001010895,0.0017547777388244867
13,33,0.0025106940315603172,0.0017374035520587377,0.0009005592437461019,0.0012917815393573323,0.002482863375917077,0.0017211006488651037
14,33,0.0025024193523148467,0.0017291448474320214,0.0009053480015461181,0.0012821478790841824,0.002477313857525587,0.0017176727997139096
15,33,0.002462222847307837,0.00170504140429372,0.0008779755819908365,0.0012725217181236246,0.002457592636346817,0.0017072008922696114
16,33,0.002537927430577923,0.0017596551320017424,0.0008982797072074095,0.001316270739554839,0.0024549721274524927,0.0017061061225831509
17,33,0.002533517845603096,0.001758201020704799,0.0008901793341867106,0.0013206475942265676,0.002481065457686782,0.0017223330214619637
18,33,0.0025100064962062726,0.0017370073541695642,0.0009106477847062918,0.0012704272447208072,0.002438573632389307,0.0016942034708335996
19,33,0.0025451096467847046,0.0017645874380155704,0.0008946840792114652,0.001332454819253884,0.0024517609272152185,0.0017045078566297889
