theta,theta_dot,tau_load,T,theta_TE
359.9605010139507,-1099.8230986680019,695.94677638373105,32.359999999999999,0.031075005728102116
359.94013391953092,-1099.8230986680019,695.94677638373105,32.359999999999999,0.031243054608344954
359.91976041967877,-1100.1689920149904,693.92164873142804,32.479999999999997,0.030827339120700119
359.89938813986424,-1100.1031099861843,689.288936768643,32.479999999999997,0.030745260624947909
359.879023338568,-1099.6992699968171,690.57639724926901,32.539999999999999,0.030426626191222002
359.85866346809922,-1099.433005314025,690.57639724926901,32.539999999999999,0.030009938000187603
359.83830071985193,-1099.5884053528214,693.14416565229499,32.119999999999997,0.030200462797193968
359.81793829654316,-1099.5708586741555,694.55965692515997,32.119999999999997,0.030244649906092078
359.79756652377762,-1100.0757293394049,688.671909412373,32.159999999999997,0.03076313063157636
359.77719004162941,-1100.3300360045557,688.671909412373,32.159999999999997,0.030912739319774115
359.75681944543214,-1100.012194651554,689.23553100055801,32.509999999999998,0.030617250337153956
359.73645735945672,-1099.5526426708097,691.84263847382499,32.159999999999997,0.030700327422448621
359.71608431388921,-1100.1444606477162,690.49390441106596,32.450000000000003,0.030282229810285118
359.69570299196306,-1100.591384011067,689.42531221214699,32.450000000000003,0.03041513678643112
359.67531521287663,-1100.9400706663116,690.57782776091403,32.159999999999997,0.030493313032469986
359.65493077204911,-1100.759804685837,691.77230498460597,32.329999999999998,0.030630344740012191
359.63456107303739,-1099.9637466334448,691.77230498460597,32.210000000000001,0.03107248805149803
359.61419788913616,-1099.6119306665801,690.43906813133594,32.210000000000001,0.030802779102989352
359.59383751782724,-1099.4600506829122,690.03924012651896,32.310000000000002,0.030781463211971023
359.57348084387638,-1099.2603933468388,694.76755795092095,32.310000000000002,0.030616639802559079
359.55312343521024,-1099.3000679706552,694.76755795092095,32.119999999999997,0.030506782028743497
359.53276018716014,-1099.615394706492,691.92227028873799,32.380000000000003,0.031042721948810911
359.51239122802502,-1099.9237932965527,692.47420936515402,32.5,0.031104006074133907
359.49201167871593,-1100.4956626895655,692.47420936515402,32.5,0.031462792933429413
359.47163834133323,-1100.1602186646655,693.62863226278205,32.140000000000001,0.031395937416323794
359.45127284464218,-1099.7368213185612,693.85226891663899,32.140000000000001,0.031204900397143527
359.43091675535806,-1099.2288213416916,691.96208619619404,32.170000000000002,0.031323303570879077
359.41056408919758,-1099.0439726657723,693.01375067397998,32.170000000000002,0.030948612831648552
359.39020984495073,-1099.1291893314728,697.72657128889205,32.43,0.03105511268839764
359.36985566487675,-1099.1257239945053,697.72657128889205,32.229999999999997,0.031086865602680962
359.34949876946928,-1099.2723520020163,698.46400004196198,32.25,0.031063331090249249
359.3291498389504,-1098.8422480208592,696.76717481221795,32.25,0.0314339115786147
359.30879912235815,-1098.938695979313,698.47067576297195,32.299999999999997,0.031235219080953454
359.2884496723579,-1098.8703000148457,700.14055969006495,32.079999999999998,0.031399621321416257
359.26810217090122,-1098.7650786620991,698.39771966907006,32.07,0.031362250448365769
359.24775088206195,-1098.9695973187565,698.90054451233698,32.07,0.031355069947101806
359.22739782681492,-1099.0649833403822,698.841178279063,32.479999999999997,0.031731032454276151
359.2070409314079,-1099.2723519800325,698.841178279063,32.479999999999997,0.031669108821489794
359.18667830630841,-1099.581755370521,698.66641743974901,32.100000000000001,0.031876693370829962
359.16632285962947,-1099.1941206624601,697.52725333300305,32.539999999999999,0.031863109519587124
359.1459698488764,-1099.0625806657144,697.52725333300305,32.140000000000001,0.031783303452701951
359.125616767753,-1099.0663806650221,698.23368766709405,32.530000000000001,0.032204051196254468
359.10525751403702,-1099.3997006623779,698.23368766709405,32.119999999999997,0.032081034862144059
359.08489574056819,-1099.5357673173676,699.66157670755103,32.119999999999997,0.032463955390935058
359.06453924770352,-1099.2506146904543,702.05076957354197,32.57,0.032688038845504488
359.04418253443225,-1099.2625166489113,701.39869468196605,32.140000000000001,0.032537168716954744
359.02383166778992,-1098.9467986859181,701.15479244646895,32.520000000000003,0.032725702559196275
359.00348345232118,-1098.8036353118866,704.31407741476005,32.140000000000001,0.032380507837887991
358.98313079960514,-1099.043246666356,701.63043756847799,32.399999999999999,0.032516513024002082
358.96276895370352,-1099.5396786875888,701.63043756847799,32.399999999999999,0.032740920375675386
358.94239618753056,-1100.1293733404384,700.85319290795201,32.159999999999997,0.032824703188701433
358.92202881992586,-1099.8378506534198,699.60960145111096,32.159999999999997,0.033405833983218655
358.90166288138255,-1099.7606813386278,701.47928017130903,32.32,0.033219262126537481
358.88130544788879,-1099.3014086645269,701.47928017130903,32.119999999999997,0.033351582370240287
358.86094597996282,-1099.411268002463,701.68956538314399,32.390000000000001,0.033365740546404392
358.84057841056784,-1099.8487473278012,703.64698215091005,32.390000000000001,0.033179374621529735
358.82020957458013,-1099.9171433362364,705.14830412248398,32.549999999999997,0.033487717929173669
358.79983159196325,-1100.411061311888,705.14830412248398,32.549999999999997,0.033256779935718253
358.77944377975308,-1100.941859350012,703.64912791837799,32.140000000000001,0.033477733116257284
358.7590583331114,-1100.8141186490861,701.47331970612004,32.5,0.033535723467701492
358.73867354872823,-1100.7783566925464,700.58497197448901,32.170000000000002,0.033128610301015202
358.71829372106191,-1100.5106939816264,702.17140938894897,32.170000000000002,0.033170671927354331
358.69791321041964,-1100.5475746816346,706.90616451575295,32.189999999999998,0.032677980559637637
358.67752456106183,-1100.9870653225803,707.45953410381503,32.189999999999998,0.032932879407226258
358.6571326034325,-1101.165711984044,700.33129457608402,32.259999999999998,0.03336258025648714
358.63674434419733,-1100.965998698706,700.33129457608402,32.25,0.033444421771705368
358.61636825837041,-1100.3086346523894,700.39805178618997,32.119999999999997,0.033614924178850807
358.59600313214833,-1099.7168159939793,703.23284902964201,32.119999999999997,0.032909119290977437
358.57562963125969,-1100.1690479862391,700.54992443918297,32.329999999999998,0.032489130069717792
358.55525676781485,-1100.1346260200828,699.87758396596701,32.090000000000003,0.032205966614423175
358.53486782560498,-1101.0028793327622,699.87758396596701,32.090000000000003,0.031802256903832649
358.51447386149408,-1101.2740619888909,702.04647803860598,32.090000000000003,0.032049310915029668
358.49407892881521,-1101.3263646585169,704.55201918506805,32.539999999999999,0.03194194079419619
358.47368430864168,-1101.3094893710265,703.477466520961,32.539999999999999,0.032133911217119934
358.45328892166646,-1101.3508966633269,700.54444081121005,32.380000000000003,0.032207373952772407
358.43290109083949,-1100.9428646560716,701.40131728664801,32.380000000000003,0.031662994169797801
358.41252288677782,-1100.4230193295296,703.92736243335696,32.210000000000001,0.031513582091378903
358.39214337782732,-1100.4934833283085,703.92736243335696,32.140000000000001,0.030948056111835331
358.37175649487688,-1100.8916793229387,703.87157247919697,32.310000000000002,0.030900529682294058
358.35136789621009,-1100.9843280075565,699.28725949373995,32.310000000000002,0.031158060048971033
358.33098888086414,-1100.4668286809458,699.68136545197603,32.100000000000001,0.030950283015107771
358.31061809013579,-1100.022699329339,699.68136545197603,32.409999999999997,0.031155555813136591
358.29024975395055,-1099.8901540045497,699.42268126281294,32.509999999999998,0.030865182898772638
358.26988046988873,-1099.9413393376828,697.02538216416599,32.509999999999998,0.030680028720245854
358.24949723150587,-1100.694872673346,698.42680673918801,32.159999999999997,0.030631037022902825
358.2291102378274,-1100.8976586395354,698.42680673918801,32.159999999999997,0.030206687131917154
358.2087255383085,-1100.773774019086,701.75918361654101,32.210000000000001,0.030355041640587582
358.18834239099965,-1100.6899546780253,699.97342824619204,32.210000000000001,0.030171094049498089
358.16796468053116,-1100.3963652977186,699.97342824619204,32.280000000000001,0.030103666297986172
358.14759814491356,-1099.792923349959,696.98389732645705,32.259999999999998,0.030112151675495965
358.12723392103715,-1099.6680893287464,696.51230532077602,32.140000000000001,0.029643490492101424
358.1068700365679,-1099.6497613389351,699.29798833107805,32.140000000000001,0.029816543691073845
358.08649867980222,-1100.0532653469227,699.29798833107805,32.399999999999999,0.029737146367295894
358.06612091139533,-1100.3994939718029,698.55149967092302,32.07,0.02975611015375353
358.04574318850626,-1100.3970360073904,700.78381309316296,32.159999999999997,0.029900421702935949
358.02537388478999,-1099.9424006809429,702.38622455432699,32.159999999999997,0.029448072108928816
358.00500440618526,-1099.9518446530037,702.38622455432699,32.450000000000003,0.029568800493879565
357.98463453124708,-1099.9732466646899,697.47813909985302,32.450000000000003,0.029320283282190447
357.96425063680283,-1100.7302999895296,697.47813909985302,32.299999999999997,0.029078409496279115
357.94385790618531,-1101.2074533451164,698.91961800093895,32.299999999999997,0.029164470933994494
357.92346724308629,-1101.0958073460074,703.75355526847295,32.240000000000002,0.028850408272925048
357.90308992275311,-1100.3752979923404,705.41676347455495,32.170000000000002,0.029122141286129024
357.88271548019799,-1100.2198979755281,701.70291682516495,32.329999999999998,0.029056223311050181
357.86233695223439,-1100.4405100369468,702.68663199980597,32.329999999999998,0.028865309434804965
357.84196055391357,-1100.3255093243276,702.68663199980597,32.460000000000001,0.028963201775452044
357.82158554014791,-1100.2507433437231,703.73472019847895,32.460000000000001,0.028586383491238224
357.80121055845694,-1100.2490113127751,703.06118763222503,32.520000000000003,0.028943201112290925
357.78084408181508,-1099.7897386606583,699.38143484371096,32.520000000000003,0.029042738804254713
357.76048163780223,-1099.5719766921525,703.22378912255601,32.159999999999997,0.028997176427176335
357.74012497004924,-1099.2600586625149,703.22378912255601,32.159999999999997,0.029012976839850897
357.71976711332121,-1099.3242633125819,708.19720127549203,32.259999999999998,0.028332005148089662
357.69940900409892,-1099.3378980054747,706.46842795234102,32.259999999999998,0.028302056920225926
357.67903517207395,-1100.1869293492286,706.46842795234102,32.390000000000001,0.028303421825395705
357.65864820425958,-1100.8962619744152,703.12007702828396,32.390000000000001,0.02845974432927012
357.63826779193829,-1100.5422653492378,702.39146976369295,32.090000000000003,0.029050567080592206
357.6178897700002,-1100.4131846579285,706.71447595530503,32.090000000000003,0.029042459399090611
357.59753316123471,-1099.2568733356784,704.86220179345605,32.159999999999997,0.029340922414681878
357.57718668629616,-1098.7096466808532,704.86220179345605,32.159999999999997,0.029265896113055558
357.55683967843225,-1098.7384246522724,704.98451053911594,32.479999999999997,0.02893349156706956
357.53648865037042,-1098.9555153395227,709.44699161612903,32.229999999999997,0.02908044494909039
