candidate_id,direction,input_speed_rpm,output_torque_nm,oil_temperature_deg_c,curve_mae_deg,curve_rmse_deg,centered_curve_mae_deg,absolute_curve_mean_error_deg,metric_contract
PF_A_LOCAL_QUADRATIC,Fw,500.0,1200.0,25.0,0.0005800689167586187,0.000724447638230487,0.0005657526809557316,0.00014682438584637247,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,500.0,1400.0,35.0,0.0006461457184242945,0.0008022203942838834,0.0005932294126796664,0.00029097492435958827,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,500.0,1600.0,30.0,0.0007444423662479452,0.000910987649012803,0.0006143203487893607,0.0004872629729262973,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,500.0,1700.0,25.0,0.0014308690910260983,0.0016362290036482697,0.000695786297499498,0.0013823966590234549,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,600.0,100.0,30.0,0.0009290911346363825,0.0010482732481990422,0.00041147157400008873,0.0009080142776424494,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,600.0,100.0,35.0,0.0013042946670223194,0.001440997815207664,0.0005028053999477627,0.001298108734529374,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,600.0,200.0,35.0,0.0017693879400937531,0.0018503134831657447,0.0004325733213399977,0.0017693879400937501,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,600.0,500.0,30.0,0.0005756041484531009,0.0007108645786115245,0.0004303010044168687,0.00046840099855634254,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,600.0,500.0,35.0,0.0017333376539846485,0.0018188946786635801,0.0004371688601184138,0.0017333376539846457,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,600.0,700.0,35.0,0.0011270412464703013,0.0012563339772457636,0.0004718281887512865,0.0011101652300117074,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,600.0,1000.0,30.0,0.0006063785674758257,0.0007374265089937052,0.0005133927379492526,0.0003745869816113301,phase1_full_resolution_degree
