term_name,output_index,coefficient,selected,selection_probability,sign_agreement
one,0,-0.004628335576327656,True,1.0,0.7083333333333334
one,1,0.008270723436777332,True,1.0,0.6875
one,2,0.05065651809291887,True,1.0,0.8229166666666666
one,3,0.022548731185009455,True,1.0,0.96875
one,4,0.017852196906788836,True,1.0,0.9583333333333334
one,5,0.014707169446615796,True,1.0,0.6145833333333334
one,6,0.008490388159073796,True,1.0,0.9479166666666666
one,7,0.006361048071337787,True,1.0,0.53125
one,8,0.012610113140214332,True,1.0,0.5729166666666666
one,9,0.01242010688811962,True,1.0,0.875
one,10,-0.0020152168602485137,True,1.0,0.5625
one,11,-0.04249659731663352,True,1.0,0.9791666666666666
one,12,-0.01823318029674735,True,1.0,0.9479166666666666
one,13,0.019015789701046077,True,1.0,0.6041666666666666
one,14,-0.016113797954728677,True,1.0,0.7604166666666666
one,15,-0.03359983429219085,True,1.0,0.7083333333333334
one,16,0.012724062949259103,True,1.0,0.7083333333333334
one,17,-0.019113897237025616,True,1.0,0.8020833333333334
one,18,-0.0337699203169665,True,1.0,0.7604166666666666
torque,0,-10.269433246206605,True,1.0,1.0
torque,1,-94.50966963603008,True,1.0,1.0
torque,2,157.76723161985626,True,1.0,1.0
torque,3,67.50082079493583,True,1.0,1.0
torque,4,22.536410256686963,True,1.0,1.0
torque,5,0.31129055860452237,True,1.0,0.8541666666666666
torque,6,16.92140393321073,True,1.0,1.0
torque,7,40.868480680416,True,1.0,0.9791666666666666
torque,8,-53.02790743593053,True,1.0,1.0
torque,9,10.538380896624496,True,1.0,0.9791666666666666
torque,10,-10.683605242789824,True,1.0,1.0
torque,11,-2.4677883445560567,True,1.0,0.8854166666666666
torque,12,-32.95342503010345,True,1.0,1.0
torque,13,0.0,False,1.0,0.65625
torque,14,0.0,False,1.0,0.5625
torque,15,-20.89087002724344,True,1.0,0.9895833333333334
torque,16,17.95791109557602,True,1.0,0.9270833333333334
torque,17,27.76281577673282,True,1.0,1.0
torque,18,0.0,False,1.0,0.84375
speed,0,-2.507773403648728,True,0.9895833333333334,0.8947368421052632
speed,1,71.30511691914806,True,1.0,1.0
speed,2,0.0,False,1.0,0.5
speed,3,0.0,False,1.0,0.5520833333333334
speed,4,10.244289538781436,True,1.0,0.9583333333333334
speed,5,-7.14298130552192,True,1.0,0.8958333333333334
speed,6,-5.232067953397936,True,1.0,0.96875
speed,7,0.0,False,1.0,0.5208333333333334
speed,8,22.06155248177733,True,1.0,0.8854166666666666
speed,9,0.0,False,1.0,0.84375
speed,10,0.0,False,1.0,0.84375
speed,11,44.54908885085177,True,1.0,1.0
speed,12,0.0,False,1.0,0.6041666666666666
speed,13,123.44691543233701,True,1.0,0.9895833333333334
speed,14,-230.00221042209574,True,1.0,1.0
speed,15,-160.4287171874727,True,1.0,1.0
speed,16,158.49819514080914,True,1.0,1.0
speed,17,0.0,False,1.0,0.6666666666666666
speed,18,-89.03261900113385,True,1.0,1.0
temperature,0,0.0,False,0.7708333333333334,0.0
temperature,1,0.0,False,0.9375,0.6
temperature,2,0.0,False,0.9583333333333334,0.6521739130434783
temperature,3,0.0,False,0.9791666666666666,0.8085106382978723
temperature,4,0.0,False,0.9375,0.6888888888888889
temperature,5,0.0,False,0.9270833333333334,0.6179775280898876
temperature,6,0.0,False,0.9166666666666666,0.6818181818181818
temperature,7,0.0,False,0.9791666666666666,0.5957446808510638
temperature,8,0.0,False,0.9791666666666666,0.0
temperature,9,0.0,False,0.9375,0.6666666666666666
temperature,10,0.0,False,0.8645833333333334,0.0
temperature,11,0.0,False,0.9895833333333334,0.6
temperature,12,0.0,False,0.9791666666666666,0.6063829787234043
temperature,13,0.0,False,0.9895833333333334,0.5263157894736842
temperature,14,0.0,False,0.9895833333333334,0.5894736842105263
temperature,15,0.0,False,1.0,0.5729166666666666
temperature,16,0.0,False,0.9895833333333334,0.5473684210526316
temperature,17,0.0,False,1.0,0.5416666666666666
temperature,18,0.0,False,0.9791666666666666,0.5425531914893617
torque_speed,0,0.0,False,0.17708333333333334,0.0
torque_speed,1,0.0,False,0.8333333333333334,0.0
torque_speed,2,0.0,False,0.8645833333333334,0.0
torque_speed,3,0.0,False,0.6458333333333334,0.0
torque_speed,4,0.0,False,0.7395833333333334,0.0
torque_speed,5,0.0,False,0.5729166666666666,0.0
torque_speed,6,0.0,False,0.28125,0.0
torque_speed,7,0.0,False,0.8854166666666666,0.6
torque_speed,8,0.0,False,0.8229166666666666,0.620253164556962
torque_speed,9,0.0,False,0.6041666666666666,0.0
torque_speed,10,0.0,False,0.2604166666666667,0.0
torque_speed,11,0.0,False,0.8958333333333334,0.0
torque_speed,12,0.0,False,0.71875,0.0
torque_speed,13,0.0,False,0.9166666666666666,0.0
torque_speed,14,0.0,False,0.9270833333333334,0.5730337078651685
torque_speed,15,0.0,False,0.90625,0.5517241379310345
torque_speed,16,0.0,False,0.8854166666666666,0.0
torque_speed,17,0.0,False,0.8020833333333334,0.8051948051948052
torque_speed,18,0.0,False,0.7916666666666666,0.8289473684210527
