candidate_id,optimization_profile,random_seed,run_instance_id,best_epoch,best_validation_score,best_validation_mae_deg,checkpoint_path,parameter_count,runtime_target_derived_input_count,adaptive_effective_sample_size,lbfgs_evaluation_count,mae_deg,rmse_deg,centered_mae_deg,centered_rmse_deg,offset_abs_error_deg,peak_to_peak_abs_error_deg,derivative_mae_deg_per_sample,periodic_closure_error_deg,retained_amplitude_mae_deg,retained_phase_mae_rad,sobolev_derivative_mae,sobolev_derivative_correlation,per_curve_mae_p95,per_curve_mae_worst,unsupported_high_frequency_energy_ratio,mean_mae_deg,centered_shape_mae_deg,residual_rms_deg,residual_abs_max_deg,shuffled_order_prediction_difference_mae_deg,hidden_state_mean_norm,hidden_state_max_batch_mean_norm,reset_reproducibility_max_abs_deg,chunk_equivalence_max_abs_deg,prefix_1_mae_deg,prefix_9_mae_deg,prefix_17_mae_deg,prefix_33_mae_deg,prefix_129_mae_deg,prefix_512_mae_deg,prefix_2048_mae_deg
C00,frozen_k01_replay,314159,frozen_stage9_k01,0,nan,nan,output/training_runs/temporal_analytical_residual_models/2026-07-29-19-21-15__stage9_k01/best_model.pt,159891,0,675.0,0,0.0013715533536374368,0.0016408219167274854,0.0012272697615027643,0.0014733995172601965,0.0004958660145720023,0.003312668850788276,0.00089425991476543,0.0006385078442465398,0.00016566389065408304,0.29732804617916025,0.26880707044411084,0.42280235177237757,0.004148434427621059,0.009145499743213678,0.010458052591193617,0.0004958660145720023,0.001227269761502764,0.0012160178739577532,0.00882837176322937,0.0005735295708291233,3.2279468263898576,4.733699798583984,0.0,2.8401613235473633e-05,0.001563179544463003,0.0014100734819536662,0.0014288243588450704,0.001443378574436097,0.0014351229045337763,0.0014013529791330318,0.0013715533536374368
F01,failure_informed_resampling,314159,2026-07-29-22-41-21__stage12_f01,36,0.0023146807216107845,0.0015856099780648947,output/training_runs/advanced_constraint_optimization/2026-07-29-22-41-21__stage12_f01/best_model.pt,159891,0,583.8681700011836,0,0.001440558105104524,0.001720458097930093,0.0011443835331762268,0.0013981666943821546,0.0007401741911798258,0.00258584025511087,0.0008500981102365226,0.00039926883716558673,0.00015754110489580797,0.3208243454615352,0.2549118782215276,0.43878812362549935,0.003585551473088279,0.010399313037429218,0.026058691589523147,0.0007401741911798258,0.0011443835331762268,0.0014744241489097476,0.012107595801353455,0.0005277001764625311,3.240629162107195,5.114320755004883,0.0,0.00010193511843681335,0.0015452228415743963,0.0014027271027457788,0.0014828728606607275,0.0014853456488128506,0.0014886483405264776,0.001440359169191253,0.001440558105104524
S01,self_adaptive_curve_weighting,314159,2026-07-29-22-25-57__stage12_s01,35,0.002313436008989811,0.0016027858946472406,output/training_runs/advanced_constraint_optimization/2026-07-29-22-25-57__stage12_s01/best_model.pt,159891,0,539.8700976100272,0,0.0014915841366087677,0.0017639409207893184,0.0012130570501950144,0.0014640703779830015,0.0006772398888961029,0.003381223747365614,0.0008857622817660453,0.00027343018230089206,0.00017177393300793375,0.3256281787338194,0.2663558197910177,0.4324492438907682,0.0038197883713256098,0.008768810652991971,0.021298742068974984,0.0006772398888961029,0.0012130570501950144,0.0008796529145911336,0.009370870888233185,0.0004092325980309397,3.168686968939645,4.790168762207031,0.0,1.6413629055023193e-05,0.0015390794644038535,0.0013773901748866722,0.0014359891135818333,0.0014695929267434485,0.0015059833691646975,0.0015083642854657401,0.0014915841366087675
C01,standard_adamw,314159,2026-07-29-21-58-08__stage12_c01,35,0.002354860072955489,0.0016400570748373866,output/training_runs/advanced_constraint_optimization/2026-07-29-21-58-08__stage12_c01/best_model.pt,159891,0,675.0000000000001,0,0.0015789309717687515,0.0018572645780383214,0.0012807738829512122,0.0015348315452972357,0.0007142410443681412,0.0037263835239037505,0.000915965980775285,0.00031884913284754016,0.00018404686178691008,0.33345805156769154,0.2763306601933753,0.3873679167309294,0.00392506410982602,0.009683998150570293,0.007599827617524072,0.0007142410443681412,0.0012807738829512122,0.0007288348861038685,0.003886498510837555,0.000335716234985739,3.094623701913016,3.318241596221924,0.0,2.689659595489502e-06,0.001539889907069042,0.0014283888770100415,0.0014778168476157073,0.0014968519605216425,0.0015593572078299951,0.0015936867987189753,0.0015789309717687515
A01,augmented_lagrangian,314159,2026-07-29-22-31-06__stage12_a01,35,0.002354860072955489,0.0016400570748373866,output/training_runs/advanced_constraint_optimization/2026-07-29-22-31-06__stage12_a01/best_model.pt,159891,0,675.0000000000001,0,0.0015789309717687515,0.0018572645780383214,0.0012807738829512122,0.0015348315452972357,0.0007142410443681412,0.0037263835239037505,0.000915965980775285,0.00031884913284754016,0.00018404686178691008,0.33345805156769154,0.2763306601933753,0.3873679167309294,0.00392506410982602,0.009683998150570293,0.007599827617524072,0.0007142410443681412,0.0012807738829512122,0.0007288348861038685,0.003886498510837555,0.000335716234985739,3.094623701913016,3.318241596221924,0.0,2.689659595489502e-06,0.001539889907069042,0.0014283888770100415,0.0014778168476157073,0.0014968519605216425,0.0015593572078299951,0.0015936867987189753,0.0015789309717687515
L01,adamw_lbfgs_refinement,314159,2026-07-29-23-10-10__stage12_l01,35,0.002354860072955489,0.0016400570748373866,output/training_runs/advanced_constraint_optimization/2026-07-29-23-10-10__stage12_l01/best_model.pt,159891,0,675.0000000000001,7,0.0015789309717687515,0.0018572645780383214,0.0012807738829512122,0.0015348315452972357,0.0007142410443681412,0.0037263835239037505,0.000915965980775285,0.00031884913284754016,0.00018404686178691008,0.33345805156769154,0.2763306601933753,0.3873679167309294,0.00392506410982602,0.009683998150570293,0.007599827617524072,0.0007142410443681412,0.0012807738829512122,0.0007288348861038685,0.003886498510837555,0.000335716234985739,3.094623701913016,3.318241596221924,0.0,2.689659595489502e-06,0.001539889907069042,0.0014283888770100415,0.0014778168476157073,0.0014968519605216425,0.0015593572078299951,0.0015936867987189753,0.0015789309717687515
R01,relobralo_style,314159,2026-07-29-22-20-45__stage12_r01,34,0.002474020002409816,0.0017186973709613085,output/training_runs/advanced_constraint_optimization/2026-07-29-22-20-45__stage12_r01/best_model.pt,159891,0,675.0000000000001,0,0.0016019115672207887,0.0018904364063061676,0.0013036379555512302,0.0015629620010838329,0.0007545407185448396,0.004126703470574591,0.0009191209016755487,0.0002924242853811107,0.0001825895540731351,0.34826508688223057,0.277685752934179,0.36375795850823567,0.003923754076026858,0.009510581270204911,0.003987583059387448,0.0007545407185448396,0.0013036379555512302,0.0005520330159924924,0.0022374391555786133,0.000250575365498662,2.581964901515416,2.8298749923706055,0.0,1.9505620002746582e-05,0.0015689102151239627,0.0014610190109690141,0.0014893123972686282,0.0015198039289948111,0.0015790853628856341,0.0016205397569646386,0.0016019115672207887
G01,gradient_statistics,314159,2026-07-29-22-15-37__stage12_g01,36,0.0022389113437384367,0.001571384258568287,output/training_runs/advanced_constraint_optimization/2026-07-29-22-15-37__stage12_g01/best_model.pt,159891,0,675.0000000000001,0,0.0016370614872737955,0.001909484570161768,0.0012886024504269401,0.001544046680267239,0.0007376761229612719,0.0037152872406858322,0.0009143581725883208,0.0005448515882197115,0.00018685671980050634,0.31388190032897345,0.275687483627526,0.38659092919088367,0.003947517901694467,0.009651905781656766,0.009057295097228382,0.0007376761229612719,0.0012886024504269403,0.0011445092968642712,0.003758043050765991,0.00036817690124735236,3.0796171937670027,3.4511704444885254,0.0,2.3087486624717712e-05,0.0015543793533147618,0.0014135846287638414,0.0014698648345947182,0.0015073517580569235,0.0015950240943748682,0.0016624591279843163,0.0016370614872737955
U01,curriculum_regularization,314159,2026-07-29-22-36-14__stage12_u01,36,0.0022434040438383818,0.0015746975550428033,output/training_runs/advanced_constraint_optimization/2026-07-29-22-36-14__stage12_u01/best_model.pt,159891,0,675.0000000000001,0,0.0016638367264788917,0.0019371982297553155,0.0013060569223050523,0.0015642521101627586,0.0007515007894945885,0.003483846179873713,0.0009222781900546841,0.00028209501550984135,0.00019729995661130922,0.3208548718553833,0.2785020897450133,0.3798501566885988,0.00403669913740557,0.009840623919247235,0.009013062425310641,0.0007515007894945885,0.0013060569223050527,0.001193029573187232,0.005684524774551392,0.00039616439607925713,3.3651722839900424,3.832387924194336,0.0,6.278976798057556e-06,0.0015475427578801946,0.0014370039111937778,0.0014893978017887668,0.0015315185404513923,0.0016117593584100008,0.0016841423276745884,0.0016638367264788917
P01,main_loss_preserving_projection,314159,2026-07-29-23-04-54__stage12_p01,36,0.0022677122615277767,0.001587883336469531,output/training_runs/advanced_constraint_optimization/2026-07-29-23-04-54__stage12_p01/best_model.pt,159891,0,675.0000000000001,0,0.0016935698090900127,0.0019663985454216396,0.0013019977912356337,0.001560047329610524,0.0007938975678687141,0.0036012736675782755,0.0009207845412026453,0.000362454126252956,0.00019765222928544053,0.32037811631315655,0.2781230438249409,0.3825550288884125,0.004027727935482006,0.00978788967145634,0.0104451257291278,0.0007938975678687141,0.0013019977912356337,0.001185548841021955,0.004726432263851166,0.0003956556029152125,3.342182227543422,3.813093662261963,0.0,7.945671677589417e-05,0.0015396746083328238,0.001438176735623402,0.0014994221179209222,0.0015533681814015258,0.0016355928384456963,0.001708668644829526,0.0016935698090900127
